datetime,open,high,low,close,volume
2021-01-29,97.19,97.829,92.11,92.93,4406373
2021-01-28,97.24,99.03,96.69,97.51,3121600
2021-01-27,98.23,103.5,96.09,96.64,5771500
2021-01-26,98.5,99.66,96.64,99.05,3718800
2021-01-25,94.66,100.17,94.0,97.48,5200662
2021-01-22,93.0,96.0,92.05,95.49,3689700
2021-01-21,94.99,95.76,93.7,94.51,3059400
2021-01-20,92.33,96.01,92.02,95.29,3902600
2021-01-19,94.0,94.0,90.74,92.67,2934826
2021-01-15,94.0,94.24,92.33,93.0,4005500
2021-01-14,89.42,95.75,89.31,94.95,7459200
2021-01-13,85.4,89.28,85.4,88.87,4292200
2021-01-12,83.84,85.99,83.21,85.43,4101700
2021-01-11,85.54,85.6,82.85,83.14,3916099
2021-01-08,85.34,86.5,83.7,86.49,3691500
2021-01-07,85.84,87.24,84.51,85.13,4225800
2021-01-06,84.0,86.48,83.75,85.07,8354100
2021-01-05,83.15,84.32,82.93,83.17,4646400
2021-01-04,85.66,86.24,82.06,82.81,4295350
2020-12-31,83.52,85.35,82.36,85.28,2486700
2020-12-30,83.21,85.55,83.21,83.97,2790000
2020-12-29,85.79,86.57,82.94,83.29,2279300
2020-12-28,84.53,86.15,84.51,85.48,3040411
2020-12-24,83.6,84.585,83.05,84.37,803276
2020-12-23,83.34,85.25,83.21,83.65,2766300
2020-12-22,85.5,85.56,82.02,83.72,4139900
2020-12-21,83.95,84.5,82.25,83.65,4490495
2020-12-18,88.845,89.04,84.92,85.48,4479331
2020-12-17,89.06,89.23,87.49,89.03,2385138
2020-12-16,88.34,90.3,88.13,88.28,3369600
2020-12-15,88.2425,89.76,87.221,89.74,4714204
2020-12-14,90.0,90.18,86.7556,87.32,4679237
2020-12-11,89.21,89.93,86.31,87.93,4523738
2020-12-10,89.12,90.96,89.08,90.44,3035200
2020-12-09,90.62,92.16,89.19,90.84,4592200
2020-12-08,89.73,91.89,88.5,90.04,4012253
2020-12-07,93.7,93.8,89.0,89.37,5057436
2020-12-04,91.82,94.3596,90.7075,93.94,4780593
2020-12-03,87.89,91.7,87.29,89.63,5484900
2020-12-02,83.73,87.99,82.6,87.25,4329700
2020-12-01,84.65,86.29,83.89,84.99,4869700
2020-11-30,85.32,86.9,82.4,82.57,6180706
2020-11-27,87.96,88.6,85.53,85.55,2305900
2020-11-25,88.41,88.88,86.3,87.19,5970500
2020-11-24,88.74,91.37,88.42,88.79,9718100
2020-11-23,84.75,86.3,82.3,85.41,10844122
2020-11-20,80.48,81.79,79.26,81.12,9721800
2020-11-19,75.99,81.33,75.49,80.63,16255000
2020-11-18,78.0,81.0408,76.6,76.61,6967786
2020-11-17,77.95,81.33,76.98,78.96,6169700
2020-11-16,79.95,82.42,78.85,78.96,12797573
2020-11-13,71.8,75.1,70.805,74.7,7047066
2020-11-12,71.66,72.63,68.01,69.14,8143000
2020-11-11,77.98,78.5,72.52,73.41,6827100
2020-11-10,76.7,84.49,75.31,78.84,14432200
2020-11-09,74.87,82.5,73.1,79.1,24966417
2020-11-06,63.5,64.83,61.64,61.86,4871000
2020-11-05,62.93,64.1,62.46,63.47,3278300
2020-11-04,64.9,64.91,62.12,62.28,4420700
2020-11-03,65.6,66.0,64.4,64.99,3549400
2020-11-02,62.96,64.88,62.59,64.71,3664908
2020-10-30,62.98,63.62,60.83,62.81,3704500
2020-10-29,60.69,64.11,60.17,63.41,5847600
2020-10-28,60.27,61.63,59.35,60.76,6591900
2020-10-27,64.24,64.57,61.95,61.97,3522204
2020-10-26,66.01,66.1,63.87,64.68,3797561
2020-10-23,66.71,67.77,65.9221,66.9,2527070
2020-10-22,64.01,66.54,63.9,66.35,2901400
2020-10-21,64.12,65.01,63.34,64.21,3134100
2020-10-20,64.89,66.08,64.43,64.46,2902200
2020-10-19,65.0,65.35,63.84,63.91,3372247
2020-10-16,65.53,65.7,64.15,64.82,3939100
2020-10-15,64.71,66.52,64.59,65.12,2900600
2020-10-14,65.9,66.5395,65.26,65.71,2423092
2020-10-13,66.77,67.2999,65.47,65.82,3410326
2020-10-12,67.64,68.11,66.7,68.02,2969550
2020-10-09,70.24,70.77,67.51,67.76,3490237
2020-10-08,70.7535,71.23,69.42,70.1,3414171
2020-10-07,70.32,72.16,69.8,71.03,4163700
2020-10-06,69.75,72.63,69.01,69.98,6503600
2020-10-05,68.71,69.33,67.42,68.76,3522473
2020-10-02,64.13,68.5,64.08,68.2,3827010
2020-10-01,64.97,66.56,64.25,66.54,2827887
2020-09-30,64.15,66.12,63.7,64.68,4183700
2020-09-29,65.2,65.23,62.9,63.99,2386414
2020-09-28,65.8,66.535,64.8,65.79,3432119
2020-09-25,62.19,63.92,62.09,63.58,0
2020-09-24,62.1,64.16,59.67,62.83,106984
2020-09-23,65.33,66.8,62.74,62.89,0
2020-09-22,65.02,67.03,64.78,65.11,0
2020-09-21,67.08,67.22,64.3525,64.87,3940880
2020-09-18,71.7,71.82,69.62,69.83,1423167
2020-09-17,71.4,74.21,70.89,71.88,1708912
2020-09-16,71.01,75.2,70.06,74.11,4745719
2020-09-15,67.97,71.82,67.69,71.07,2744061
2020-09-14,64.87,67.91,64.54,67.8,1564697
2020-09-11,66.22,66.44,63.42,64.15,1643162
2020-09-10,68.6,69.8,66.0,66.18,1552611
2020-09-09,69.91,70.08,68.0,68.86,1659576
2020-09-08,69.63,70.72,68.83,70.05,1915942
2020-09-04,69.74,72.48,68.89,70.24,3482027
2020-09-03,68.47,70.95,66.95,68.0,2650770
2020-09-02,66.75,68.02,65.96,67.84,1127702
2020-09-01,66.3,67.86,65.93,67.2,1684707
