datetime,open,high,low,close,volume
2021-01-29,71.2,71.97,69.02,70.0,2146952
2021-01-28,71.27,72.46,70.66,71.63,2485100
2021-01-27,71.24,71.49,69.86,70.14,2445300
2021-01-26,73.16,73.54,72.26,72.63,1727000
2021-01-25,73.18,73.53,72.18,72.55,1932112
2021-01-22,73.46,74.75,73.22,74.17,3920300
2021-01-21,76.74,77.03,74.52,74.58,2562600
2021-01-20,78.66,78.79,76.11,76.64,3542800
2021-01-19,75.15,79.3579,74.07,78.4,5058310
2021-01-15,78.28,78.74,76.43,77.18,2502400
2021-01-14,79.38,79.98,78.67,79.58,2111500
2021-01-13,80.2,81.08,78.53,78.66,2039300
2021-01-12,78.7,80.71,78.19,80.42,2391400
2021-01-11,76.12,78.35,75.53,78.14,1683175
2021-01-08,77.73,78.29,76.12,77.13,1773600
2021-01-07,78.45,79.3,77.62,77.73,1810400
2021-01-06,74.87,78.58,74.61,77.63,3674600
2021-01-05,69.77,72.91,69.63,72.68,1730500
2021-01-04,73.34,73.5422,71.02,72.25,1308432
2020-12-31,71.93,72.91,71.47,72.78,951000
2020-12-30,71.76,72.92,71.76,72.42,909900
2020-12-29,72.52,72.81,71.73,71.94,1168700
2020-12-28,72.37,72.89,71.45,72.12,1647229
2020-12-24,72.02,72.02,70.8,71.78,665800
2020-12-23,70.52,72.47,70.52,71.58,2694400
2020-12-22,70.34,70.94,69.84,70.19,5568400
2020-12-21,70.7,72.27,68.8,70.34,4878561
2020-12-18,70.26,71.24,70.02,70.66,1560503
2020-12-17,71.54,71.54,70.5,70.74,1374930
2020-12-16,71.65,71.91,70.88,71.2,3391200
2020-12-15,71.82,72.49,70.62,71.79,1175078
2020-12-14,73.67,73.74,70.58,70.7,1990112
2020-12-11,70.41,75.11,69.37,72.81,5292927
2020-12-10,72.18,72.18,70.1,71.73,4203900
2020-12-09,76.52,77.31,72.28,72.76,4151500
2020-12-08,75.1564,76.83,75.1564,75.85,1430598
2020-12-07,75.75,76.3544,75.08,75.96,2237660
2020-12-04,74.48,76.43,74.41,76.38,1863187
2020-12-03,74.3,74.71,73.68,73.88,2073300
2020-12-02,72.24,74.12,72.0,74.06,2011800
2020-12-01,72.1,72.95,71.17,72.26,1756000
2020-11-30,72.02,72.505,70.15,70.48,2309333
2020-11-27,72.01,72.6,71.52,71.59,591000
2020-11-25,72.73,72.73,71.32,72.24,1108900
2020-11-24,72.02,74.53,71.4,73.42,1574100
2020-11-23,68.72,70.7,68.44,70.56,1164581
2020-11-20,68.5,68.97,67.8,67.95,1324500
2020-11-19,69.26,69.98,68.48,69.27,1225000
2020-11-18,70.52,71.58,69.17,69.2,1133956
2020-11-17,68.45,70.58,68.23,70.56,1318300
2020-11-16,70.5,70.5,68.78,69.81,1769637
2020-11-13,67.79,69.005,67.44,68.53,1032552
2020-11-12,67.51,68.83,66.07,66.9,1853500
2020-11-11,71.08,71.42,67.82,68.48,2064800
2020-11-10,70.55,70.64,69.2,70.05,1845000
2020-11-09,67.49,71.18,67.41,70.1,3046449
2020-11-06,62.87,62.94,62.0,62.23,1255800
2020-11-05,61.0,63.84,60.95,62.83,1625400
2020-11-04,60.81,62.21,59.47,60.42,1920700
2020-11-03,61.0,62.86,60.89,62.38,1969100
2020-11-02,59.97,60.36,58.98,59.68,2060411
2020-10-30,58.56,58.98,57.42,58.9,2706100
2020-10-29,58.25,59.55,57.16,58.8,2409400
2020-10-28,60.54,61.03,58.32,58.48,2515600
2020-10-27,63.53,63.53,61.62,61.65,1445866
2020-10-26,64.44,64.44,62.475,63.51,1331958
2020-10-23,66.15,66.5,65.0,65.33,738224
2020-10-22,64.24,65.63,63.82,65.6,1696500
2020-10-21,64.25,65.04,63.93,64.0,1831400
2020-10-20,65.0,65.96,64.46,64.58,1723900
2020-10-19,66.75,66.92,64.17,64.35,1987021
2020-10-16,67.02,67.75,64.72,66.58,3625100
2020-10-15,65.06,67.08,65.04,66.95,2169700
2020-10-14,66.15,67.29,65.96,66.02,1312303
2020-10-13,67.31,67.35,65.775,66.08,1699635
2020-10-12,66.29,67.635,65.73,67.22,1695649
2020-10-09,65.94,67.31,65.64,66.44,2607881
2020-10-08,64.1645,65.05,63.47,65.03,1260443
2020-10-07,61.46,63.72,61.46,63.41,1877700
2020-10-06,61.99,62.96,60.72,61.02,1587800
2020-10-05,60.1,61.67,60.095,61.39,1257579
2020-10-02,57.76,59.88,57.6,59.67,1510824
2020-10-01,59.71,60.06,58.06,58.74,2020871
2020-09-30,59.53,60.34,58.73,59.33,2789900
2020-09-29,60.12,60.59,59.26,59.89,959418
2020-09-28,59.68,61.2,59.5,60.49,2027270
2020-09-25,57.7,58.61,56.8,58.5,1112752
2020-09-24,57.83,58.465,56.65,57.67,1046742
2020-09-23,59.0,59.7825,57.65,57.77,1233931
2020-09-22,59.71,59.98,57.86,58.86,2084002
2020-09-21,60.51,61.37,58.7893,59.91,2004080
2020-09-18,61.94,63.61,61.78,61.95,2059949
2020-09-17,62.26,63.16,62.1,62.38,1832638
2020-09-16,63.335,64.68,63.05,63.3,2265564
2020-09-15,64.7665,64.7665,62.522,63.19,1554031
2020-09-14,65.3006,66.79,63.9,64.43,2513896
2020-09-11,64.195,66.19,63.87,64.9,2196561
2020-09-10,65.99,66.2,64.06,64.23,2244923
2020-09-09,66.14,66.49,65.76,65.79,2829140
2020-09-08,67.46,67.56,65.4,65.56,1736489
2020-09-04,68.8,69.77,67.01,68.36,2868260
2020-09-03,70.25,71.14,66.84,67.38,2399521
2020-09-02,68.58,70.23,68.27,69.86,2964704
2020-09-01,67.8,69.04,67.31,68.58,1438244
2020-08-31,69.05,69.47,68.07,68.07,961347
2020-08-28,69.68,70.24,68.99,70.12,942166
2020-08-27,68.15,69.7,68.15,69.24,873413
2020-08-26,68.79,69.04,67.92,67.99,1129770
2020-08-25,69.529,70.06,68.8879,69.05,1172576
2020-08-24,67.96,69.2,67.65,68.91,1591219
2020-08-21,67.68,68.19,67.28,67.55,1141203
2020-08-20,69.33,69.44,67.74,67.95,1616539
2020-08-19,69.61,70.68,69.515,70.46,1600431
2020-08-18,68.84,69.74,68.6,69.68,1263320
2020-08-17,70.205,70.34,68.7971,69.2,1360151
2020-08-14,70.0,71.02,70.0,70.54,686909
2020-08-13,70.47,71.14,69.74,70.345,1216030
2020-08-12,71.66,71.955,69.82,71.18,1301212
2020-08-11,71.18,72.13,70.15,70.35,1876880
2020-08-10,69.765,70.0691,68.69,69.89,1458894
2020-08-07,66.42,69.59,66.11,69.58,1875909
2020-08-06,66.65,67.23,65.87,66.56,1511588
2020-08-05,64.94,66.89,64.94,66.78,2377825
2020-08-04,64.35,64.94,64.13,64.94,1107031
2020-08-03,64.18,64.7,63.11,64.35,1248772
2020-07-31,63.17,63.91,62.94,63.81,1918566
2020-07-30,64.4,64.4,62.18,63.5,1304324
2020-07-29,63.015,64.52,62.355,64.39,1353340
2020-07-28,62.37,63.445,62.33,63.13,2173643
2020-07-27,61.89,62.92,60.79,62.85,1767767
2020-07-24,62.46,63.3,61.76,62.36,1529684
2020-07-23,61.06,62.75,60.56,62.41,1857775
2020-07-22,61.22,61.755,60.27,61.39,1656343
2020-07-21,60.875,62.1,60.85,61.83,1520174
2020-07-20,61.69,61.69,60.02,60.36,2423526
2020-07-17,64.05,64.43,61.14,61.66,1588829
2020-07-16,64.095,65.54,63.67,64.52,361480
2020-07-15,64.58,64.98,62.94,64.64,287764
2020-07-14,64.59,65.17,63.34,65.01,195536
2020-07-13,65.06,65.74,63.31,64.61,199336
2020-07-10,61.65,64.24,61.65,64.12,145095
2020-07-09,64.41,64.41,61.02,61.68,194815
2020-07-08,63.37,65.225,63.19,64.92,209227
2020-07-07,63.65,63.9,62.94,63.18,319434
2020-07-06,64.45,65.5,64.28,64.49,326314
2020-07-02,64.22,65.17,62.76,63.16,338117
2020-07-01,63.65,64.04,61.36,62.13,1829265
2020-06-30,60.73,64.07,60.73,63.55,1983100
2020-06-29,61.45,62.875,61.005,61.56,2319601
2020-06-26,63.04,63.37,59.53,60.53,4653000
2020-06-25,61.26,64.55,61.16,64.15,769922
2020-06-24,64.07,64.27,61.58,61.63,766445
2020-06-23,65.17,65.95,64.45,64.68,313714
2020-06-22,64.42,64.87,63.62,63.75,514299
2020-06-19,64.5,65.26,62.46,65.06,975795
2020-06-18,62.53,63.93,62.31,63.39,390705
2020-06-17,64.23,64.3,62.5,63.21,378190
2020-06-16,65.41,65.96,63.195,64.32,640270
2020-06-15,60.5,63.22,60.1,62.67,469236
2020-06-12,64.01,64.01,60.93,63.12,709990
2020-06-11,62.8,64.72,61.06,61.2,780898
2020-06-10,70.05,70.37,66.13,66.14,725047
2020-06-09,69.16,71.57,68.31,70.49,588847
2020-06-08,71.2859,71.74,69.36,71.03,624923
2020-06-05,72.86,74.25,70.02,70.7,3560700
2020-06-04,65.25,69.04,65.25,69.03,2798000
2020-06-03,64.64,66.1,63.83,65.9,1793200
2020-06-02,63.11,63.87,62.27,62.81,1822400
2020-06-01,61.43,62.89,61.16,62.35,1702900
2020-05-29,61.58,62.68,60.57,60.96,2993900
2020-05-28,65.0,65.0,61.88,62.46,3164100
2020-05-27,63.68,64.4,62.56,64.34,2998000
2020-05-26,57.67,61.32,57.45,60.52,3969000
2020-05-22,55.92,56.63,54.26,55.32,3883200
2020-05-21,58.04,58.87,57.84,58.09,1667100
2020-05-20,57.59,58.86,57.59,58.38,1909500
2020-05-19,57.99,58.42,56.69,56.74,1801600
2020-05-18,56.31,58.84,55.97,58.46,2540800
2020-05-15,53.84,55.09,53.39,54.41,1836400
2020-05-14,52.32,54.99,51.21,54.7,2484500
