datetime,open,high,low,close,volume
2021-01-29,67.36,68.55,65.14,66.12,4009860
2021-01-28,70.0,70.46,66.3,66.65,7262200
2021-01-27,64.64,77.07,64.13,71.72,20287900
2021-01-26,61.45,64.91,61.45,64.86,4650500
2021-01-25,60.11,61.82,59.1901,61.19,4524250
2021-01-22,60.51,60.75,58.35,60.0,9763600
2021-01-21,61.42,63.01,61.15,62.94,6121800
2021-01-20,61.5,62.03,61.17,61.42,2795600
2021-01-19,61.195,61.68,59.94,61.22,4425501
2021-01-15,59.75,61.09,59.72,60.51,6259900
2021-01-14,60.0,60.69,59.47,59.96,3074900
2021-01-13,59.02,60.11,58.99,59.89,4296200
2021-01-12,58.94,59.41,58.7,59.03,4107700
2021-01-11,58.42,59.19,58.04,58.72,4922657
2021-01-08,60.71,60.78,58.78,59.0,3144300
2021-01-07,60.15,60.52,59.42,60.11,3533700
2021-01-06,59.92,60.67,59.33,59.87,3192300
2021-01-05,59.85,60.69,59.85,60.16,2998900
2021-01-04,62.29,62.64,59.83,60.08,3233589
2020-12-31,60.6,62.28,60.26,62.16,3483700
2020-12-30,60.23,61.34,60.1,60.6,3257900
2020-12-29,62.17,62.3,60.6,60.76,2520500
2020-12-28,63.86,63.9801,62.1875,62.52,1712136
2020-12-24,63.19,63.19,62.4,62.95,797300
2020-12-23,63.78,63.87,63.0,63.03,1457800
2020-12-22,64.51,64.88,63.57,63.71,1794300
2020-12-21,64.21,65.09,63.67,65.05,2270466
2020-12-18,66.4449,66.68,64.6,64.7,2994991
2020-12-17,66.56,66.69,65.9,66.2,2186972
2020-12-16,66.0,66.51,65.8,66.31,2064200
2020-12-15,65.12,66.0,64.84,66.0,2695053
2020-12-14,65.2,65.76,64.5,64.64,2653346
2020-12-11,64.82,65.965,63.5636,64.76,2564420
2020-12-10,62.93,65.05,62.62,64.82,3157100
2020-12-09,64.18,65.32,63.19,63.53,2886900
2020-12-08,62.67,64.42,62.6,63.85,2556674
2020-12-07,63.78,64.405,63.15,63.22,3171218
2020-12-04,62.22,64.32,62.13,64.06,2784991
2020-12-03,61.03,62.83,61.01,62.34,3649000
2020-12-02,60.2,61.4,60.11,61.2,2433000
2020-12-01,59.35,60.91,58.85,60.29,3974400
2020-11-30,58.53,59.33,58.12,58.81,4122812
2020-11-27,58.69,59.13,58.31,58.48,1463300
2020-11-25,58.38,58.51,57.55,58.34,2488800
2020-11-24,57.57,58.81,57.04,58.55,3470800
2020-11-23,56.11,57.04,56.057,56.92,2826184
2020-11-20,55.81,56.45,55.58,55.61,2174800
2020-11-19,54.8,56.08,54.53,55.92,1931300
2020-11-18,55.67,56.45,55.24,55.24,2277582
2020-11-17,55.41,55.89,55.0,55.51,2207000
2020-11-16,55.0,56.0,54.98,55.94,3213684
2020-11-13,53.46,55.0,53.46,54.71,2318828
2020-11-12,54.57,54.57,52.77,53.19,3013200
2020-11-11,55.0,55.22,54.27,54.63,2669000
2020-11-10,54.1,55.21,54.1,54.72,3698300
2020-11-09,54.9,55.57,54.11,54.15,4092104
2020-11-06,52.61,53.79,52.0,53.49,2880700
2020-11-05,50.75,52.95,50.6,52.75,3147000
2020-11-04,50.64,51.31,50.25,50.47,3435500
2020-11-03,49.19,50.64,48.9,50.35,2763800
2020-11-02,48.48,48.79,47.95,48.57,2765483
2020-10-30,47.33,47.87,47.1,47.82,3416300
2020-10-29,47.7,47.88,46.92,47.66,3599600
2020-10-28,48.0,48.31,47.1,47.74,3613000
2020-10-27,49.0,49.15,48.46,48.55,3303400
2020-10-26,50.45,50.82,48.6,48.96,4007483
2020-10-23,49.84,51.555,48.93,50.74,10734604
2020-10-22,51.3,52.1,51.23,51.79,3717100
2020-10-21,52.05,52.25,51.46,51.69,3469100
2020-10-20,52.49,52.85,51.81,51.89,2285300
2020-10-19,51.6,53.0,51.39,52.15,3693085
2020-10-16,50.96,51.77,50.61,51.44,2280500
2020-10-15,50.59,51.36,50.26,51.35,1501300
2020-10-14,51.24,51.7,50.93,51.04,1731747
2020-10-13,51.76,52.49,51.15,51.18,2116379
2020-10-12,50.75,51.54,50.735,51.29,2078197
2020-10-09,51.53,51.83,50.74,50.97,2036817
2020-10-08,50.81,51.38,50.6,51.34,2063277
2020-10-07,49.7,50.79,49.65,50.45,2602900
2020-10-06,49.35,50.41,49.05,49.6,2660800
2020-10-05,49.18,49.48,48.775,49.11,1999967
2020-10-02,48.6641,49.16,48.08,48.75,1567363
2020-10-01,49.775,49.82,48.83,49.05,1636659
2020-09-30,49.97,50.07,49.07,49.27,2922500
2020-09-29,49.48,50.67,49.48,50.08,2412302
2020-09-28,48.56,49.8,48.31,49.66,3475341
2020-09-25,47.45,48.27,47.08,48.22,0
2020-09-24,47.09,47.85,46.89,47.42,0
2020-09-23,47.4,49.15,47.4,47.62,0
2020-09-22,47.73,47.86,47.13,47.71,2305209
2020-09-21,48.08,48.32,47.34,48.23,1948881
2020-09-18,49.34,49.52,48.25,48.82,1522821
2020-09-17,47.62,49.17,47.59,49.14,1132117
2020-09-16,47.712,49.26,47.63,48.67,1145817
2020-09-15,47.92,48.1,47.19,47.34,871814
2020-09-14,47.06,47.81,47.06,47.65,1092164
2020-09-11,45.96,46.69,45.85,46.53,1417542
2020-09-10,46.7,47.06,45.81,45.93,1113896
2020-09-09,46.58,46.73,46.06,46.23,1056981
2020-09-08,46.1,46.19,45.25,45.69,2311838
2020-09-04,47.4,47.72,46.16,47.01,1274836
2020-09-03,48.31,48.5,46.76,47.09,3026720
2020-09-02,47.2,48.84,47.11,48.59,1247117
2020-09-01,48.01,48.04,46.2683,47.07,2948079
2020-08-31,47.06,48.2,46.67,47.99,2313474
2020-08-28,45.55,46.89,45.52,46.6,1230958
2020-08-27,46.1,46.11,45.31,45.55,1075979
2020-08-26,45.31,45.79,45.15,45.73,664173
2020-08-25,45.62,46.21,45.15,45.44,754957
2020-08-24,44.98,45.61,44.77,45.61,1120358
2020-08-21,44.75,44.93,44.51,44.84,1443213
2020-08-20,45.11,45.26,44.66,45.03,1294257
2020-08-19,45.21,45.99,45.17,45.4,1036655
2020-08-18,44.85,45.21,44.55,45.06,1065405
2020-08-17,45.16,45.42,44.84,44.9,904339
2020-08-14,45.05,45.345,44.87,45.07,1005370
2020-08-13,45.65,45.65,44.545,44.9,2824421
2020-08-12,45.7,45.91,45.27,45.64,1283504
2020-08-11,46.38,46.73,45.68,45.78,1114897
2020-08-10,45.4,46.56,45.4,46.07,2586766
2020-08-07,44.84,45.49,44.47,45.31,1194977
2020-08-06,44.4,45.0,44.19,44.96,1624203
2020-08-05,45.65,45.79,44.72,45.13,1923782
2020-08-04,45.03,45.8,44.8117,45.39,1253601
2020-08-03,45.36,45.57,44.66,44.76,1631157
2020-07-31,44.45,45.39,44.19,45.22,2376096
2020-07-30,43.93,44.46,43.68,44.4,1920389
2020-07-29,45.0372,45.73,43.53,44.31,14154272
2020-07-28,49.59,50.07,48.56,48.57,1827456
2020-07-27,47.97,49.59,47.87,49.58,1613223
2020-07-24,49.5,49.5,47.74,48.04,2283452
2020-07-23,49.48,50.82,49.415,50.0,3574091
2020-07-22,49.67,49.71,49.16,49.47,1994844
2020-07-21,48.91,49.53,48.86,49.43,732108
