datetime,open,high,low,close,volume
2021-01-29,214.95,216.52991,211.13251,211.7075,555984
2021-01-28,213.83,218.46001,210.75999,216.85001,1398200
2021-01-27,216.44,217.87,211.89999,213.32001,1815500
2021-01-26,222.85001,223.25,219.46001,219.85001,986200
2021-01-25,225.53,227.0,220.10001,222.17,1447579
2021-01-22,226.35001,228.67999,225.75,226.91,757300
2021-01-21,226.98,228.89999,225.84,228.69,944000
2021-01-20,224.0,228.58,223.89999,227.50999,1124600
2021-01-19,221.25999,224.47,219.17,222.91,1204807
2021-01-15,222.99001,222.99001,219.63,219.99001,1068900
2021-01-14,224.5,226.53999,222.64999,223.89999,1109900
2021-01-13,227.0,228.63,224.14999,224.57001,1542000
2021-01-12,227.0,231.0,226.00999,228.09,1679100
2021-01-11,228.64,230.97,225.25,226.88,1077679
2021-01-08,230.14,232.47,225.25999,230.21001,1595000
2021-01-07,233.0,240.75999,227.31,228.87,2526400
2021-01-06,219.23,226.32001,219.0,223.72,1860800
2021-01-05,216.33,217.8,215.63,216.89,1530200
2021-01-04,220.0,220.27,212.78,216.74001,1173211
2020-12-31,217.67,219.34,217.27,219.05,696300
2020-12-30,217.46001,219.78,217.00999,218.21001,429500
2020-12-29,219.94,220.0,217.08,217.44,685600
2020-12-28,217.42999,219.78,215.75,218.64,740498
2020-12-24,214.74001,216.10001,213.86,215.91,217679
2020-12-23,214.25999,216.5,212.89,215.48,614100
2020-12-22,215.07001,215.48,212.0,212.95,880900
2020-12-21,213.83,215.605,212.7579,214.46001,726320
2020-12-18,218.64,219.56,214.7709,218.66,1097331
2020-12-17,216.02,218.89,215.675,217.81,904088
2020-12-16,212.52,216.55,212.52,214.81,866300
2020-12-15,207.75,214.78,207.75,212.37,1468093
2020-12-14,207.53999,208.86,206.05,207.0,1352441
2020-12-11,206.11,207.60249,204.48,205.25,996661
2020-12-10,208.13,210.19,206.77,207.28999,1054900
2020-12-09,212.25,212.60001,208.56,209.38,806900
2020-12-08,212.52,214.64,211.64999,213.0,477236
2020-12-07,214.02,214.11,211.50999,212.03999,655893
2020-12-04,210.02,213.78999,209.71001,213.78999,949114
2020-12-03,205.91,211.64,205.0,209.78,1335700
2020-12-02,205.0,206.21001,202.7,204.99001,749100
2020-12-01,208.35001,210.5,205.0,205.74001,1040000
2020-11-30,203.53,205.94,202.53999,205.84,1062848
2020-11-27,204.64999,205.56,203.42,204.81,534000
2020-11-25,207.2,207.38,204.05,204.7,1144100
2020-11-24,203.35001,208.66,202.84,207.8,1015700
2020-11-23,201.08,203.41499,200.36,201.58,615863
2020-11-20,203.47,204.27,200.13,200.57001,569700
2020-11-19,202.38,204.34,201.35001,204.21001,759100
2020-11-18,205.09,207.64999,203.10001,203.75,807300
2020-11-17,204.0,205.92999,201.2,205.05,944900
2020-11-16,205.95,207.89999,203.33,206.10001,925118
2020-11-13,196.25,202.49001,195.5,202.00999,760620
2020-11-12,193.5,197.50999,192.2,194.89999,863000
2020-11-11,202.45,202.59,194.08,194.53,1741000
2020-11-10,202.89,203.64999,198.44,200.56,1967600
2020-11-09,195.16,206.86,193.49001,200.75,2394036
2020-11-06,183.09,186.97,182.14,185.78,886000
2020-11-05,183.08,184.72,182.42999,183.48,979400
2020-11-04,185.36,186.37,180.74001,180.85001,1130400
2020-11-03,180.00999,185.74001,180.00999,184.84,1684300
2020-11-02,168.55,176.96001,166.855,176.39,1674769
2020-10-30,164.78999,165.24001,160.63,165.23,1549200
2020-10-29,164.61,167.03,163.67999,165.84,1047875
2020-10-28,169.60001,169.75,164.89999,165.00999,1820500
2020-10-27,174.72,177.3,172.13,172.14999,678132
2020-10-26,178.22,178.33501,173.82291,174.97,992918
2020-10-23,179.935,180.33,176.96001,179.47,988738
2020-10-22,179.07001,179.92999,177.7,178.39999,1035200
2020-10-21,180.0,181.5,179.19,179.64,619300
2020-10-20,182.5,183.46001,180.3,180.33,617800
2020-10-19,182.0,183.53,179.3,180.64,895807
2020-10-16,182.3,184.14999,181.25,181.48,827400
2020-10-15,180.49001,182.87,180.49001,181.55,790900
2020-10-14,184.17999,186.3,183.05,183.08,549823
2020-10-13,186.125,188.155,185.49001,187.47,519202
2020-10-12,187.25999,189.56,186.35001,187.00999,634882
2020-10-09,186.1895,187.44,184.83501,186.69,706497
2020-10-08,181.58,185.23,180.7,185.14,968982
2020-10-07,182.02,183.98,181.12,181.48,848600
2020-10-06,183.5,184.87,180.31,180.58,850600
2020-10-05,185.39999,186.045,182.82001,183.60001,943390
2020-10-02,184.25,189.2962,183.2989,185.61,1174871
2020-10-01,189.58501,190.48,183.41,184.60001,1734080
2020-09-30,187.97,190.57001,187.56,189.39,1097881
2020-09-29,186.03,190.16,186.03,187.53,877909
2020-09-28,184.69,186.05,183.88,185.45,1489956
2020-09-25,181.00999,182.23,180.12,181.77,1716222
2020-09-24,185.755,185.9899,179.78999,181.86,1140466
2020-09-23,188.39999,190.06,186.48,186.60001,764549
2020-09-22,185.645,189.3,185.07001,188.59,495820
2020-09-21,185.3,185.4995,180.584,185.07001,996821
2020-09-18,191.6946,193.06,185.08,187.84,1228830
2020-09-17,191.34,194.92999,190.91,192.2,626432
2020-09-16,196.77,197.10001,192.83,193.11,916907
2020-09-15,196.60001,197.96001,195.25,196.58,915813
2020-09-14,189.47,196.3998,189.37,195.25999,1195527
2020-09-11,188.77,190.2858,186.505,188.86,772620
2020-09-10,189.7925,191.11,188.0882,188.74001,806911
2020-09-09,189.83,191.35001,185.82001,189.89999,1276552
2020-09-08,190.0,190.71001,185.48,187.81,838021
2020-09-04,191.6291,192.48,187.55,191.50999,873503
2020-09-03,189.395,191.36,187.855,190.57001,1452105
2020-09-02,186.77,189.47,185.98,188.0,1174677
2020-09-01,183.41,186.095,183.41,185.96001,779427
2020-08-31,185.50999,185.64999,183.35001,184.39999,532680
2020-08-28,182.67,185.75,181.39999,185.38,674800
2020-08-27,182.00999,183.935,181.64,182.66,609506
2020-08-26,179.745,181.72,179.11,181.36,653373
2020-08-25,181.3,181.55701000000002,179.21001,180.19,629972
2020-08-24,179.07001,181.5,177.88,181.5,626155
2020-08-21,178.39999,179.56,177.1442,179.36,703006
2020-08-20,178.3532,179.63,177.77,178.28,663709
2020-08-19,178.11,180.39999,177.785,179.99001,799189
2020-08-18,174.08,178.62,173.73,178.16,932544
2020-08-17,176.23421000000002,177.13,173.39,173.67999,693698
2020-08-14,175.875,178.08,175.8,176.08,441931
2020-08-13,174.39,177.14,174.12,176.67,575273
2020-08-12,174.21001,177.05,173.89,175.44,933705
2020-08-11,173.66,174.5,171.9388,172.89,859812
2020-08-10,171.78,172.925,170.94,171.55,677599
2020-08-07,170.36099,173.00999,170.08,172.28999,1360571
2020-08-06,171.08,173.0,170.38,171.14999,1198412
2020-08-05,172.29691,173.57001,172.19,173.47,641479
2020-08-04,172.955,174.49001,171.57001,171.69,1010145
2020-08-03,177.89999,178.14999,172.74001,173.21001,1081057
2020-07-31,180.21001,180.91,175.75999,178.22,940412
2020-07-30,180.03999,181.88,178.87,180.92,543994
2020-07-29,180.3186,182.3,179.5,181.57001,421652
2020-07-28,178.91,182.11,178.17999,179.48,814232
2020-07-27,179.619,179.87,177.28999,178.8,663781
2020-07-24,178.69,180.22031,177.71001,179.85001,719360
2020-07-23,180.49001,182.9231,178.78999,179.0,1429871
2020-07-22,180.11,181.0,178.83,179.47,888897
2020-07-21,178.4106,184.06,178.4106,180.81,1096513
2020-07-20,179.5,180.32001,175.39999,177.60001,1043306
2020-07-17,182.31,183.0,180.395,180.50999,635874
2020-07-16,181.99001,183.73,180.61,181.24001,333664
2020-07-15,181.73,182.66,179.69,182.63,128430
2020-07-14,179.205,179.896,176.24001,179.25999,176846
2020-07-13,185.5,185.73,179.24001,179.86,109187
2020-07-10,182.55,184.99001,182.11,184.92,71760
2020-07-09,184.28999,185.5,181.75,182.28,196395
2020-07-08,183.27499,183.98,181.3,183.46001,80756
2020-07-07,184.02,186.59,182.27,182.5,261459
2020-07-06,188.39,189.36501,185.205,186.49001,144525
2020-07-02,189.3392,190.74001,185.3927,185.81,160913
2020-07-01,182.92999,189.92,182.03999,185.88,3069083
2020-06-30,174.78999,175.11,172.34,174.95,1128800
2020-06-29,170.0,174.49001,168.39661,174.17,1037220
2020-06-26,174.09,174.09,166.52,168.99001,1662800
2020-06-25,171.74001,174.00999,168.89,173.25,218278
2020-06-24,179.74001,179.74001,171.42,171.7,372614
2020-06-23,181.74001,182.12801000000002,179.44,180.44,218931
2020-06-22,180.23,181.99001,178.12,179.61,242327
2020-06-19,188.35001,189.36,181.22,181.25,440542
2020-06-18,178.0,184.50999,177.85001,184.34,341885
2020-06-17,179.95,180.46001,177.46001,178.72,194810
2020-06-16,178.41,180.25999,173.7,177.59,415728
2020-06-15,166.92999,174.95,164.39999,173.69,288968
2020-06-12,173.77,173.83,167.27,170.28999,284321
2020-06-11,173.2,175.57001,167.85001,168.67,419825
2020-06-10,183.46001,183.53,179.285,180.53999,347637
2020-06-09,185.78,185.78,180.09,183.42999,310644
2020-06-08,183.645,186.3299,183.00999,185.92,220603
2020-06-05,179.07001,183.25999,177.59,181.42,1753200
2020-06-04,174.69,176.25999,173.36,175.73,1898800
2020-06-03,173.47,176.17,172.77,174.82001,1201500
2020-06-02,174.28999,175.24001,171.37,173.23,1158300
2020-06-01,172.39999,176.28,171.28,173.25,1401200
2020-05-29,172.71001,176.23,170.53999,172.7,1668800
2020-05-28,180.0,180.0,175.23,175.44,823000
2020-05-27,179.24001,179.42999,171.36,179.38,1428400
2020-05-26,175.10001,179.08,174.95,176.41,1505500
2020-05-22,170.87,172.82001,168.16,172.31,1051300
2020-05-21,171.78999,172.50999,168.28999,171.0,971800
2020-05-20,171.39,173.62,169.36,172.47,1125500
2020-05-19,167.63,172.66,165.45,168.89999,1094300
2020-05-18,161.84,169.48,161.84,168.50999,1848200
2020-05-15,157.23,160.09,155.89999,158.49001,1112400
2020-05-14,152.77,158.28,151.53,157.96001,1376900
2020-05-13,161.0,161.0,153.10001,155.32001,1669200
2020-05-12,165.19,165.37,160.47,160.52,917700
2020-05-11,163.02,166.33,162.12,163.3,1262400
2020-05-08,160.8,166.85001,159.55,166.06,1129100
2020-05-07,167.73,168.0,163.67,164.77,860000
2020-05-06,164.11,166.96001,163.14,165.48,931900
2020-05-05,164.0,165.61,162.38,163.00999,1054900
2020-05-04,159.59,164.21001,158.42,163.75,911800
2020-05-01,162.60001,164.78,160.75,161.57001,968500
2020-04-30,166.95,167.61,162.39,164.69,1161100
2020-04-29,169.39,172.77,168.28,169.42,1230400
2020-04-28,166.2,169.28999,164.08,167.42999,1410300
2020-04-27,160.0,164.06,155.82001,163.14999,1679100
2020-04-24,155.09,159.09,153.50999,158.83,1266700
2020-04-23,156.53,158.32001,152.41,153.05,1185100
2020-04-22,157.0,157.0,152.37,155.22,1531400
2020-04-21,153.21001,155.23,151.25,153.02,1437400
2020-04-20,159.89,163.37,156.5,156.62,1520300
2020-04-17,167.28,168.08,160.81,162.7,1540600
2020-04-16,163.31,164.33,159.81,162.14999,1358300
2020-04-15,164.0,164.56,159.37,162.36,1735900
2020-04-14,162.0,169.37,161.5,167.83,2111900
2020-04-13,165.88,166.8,157.31,157.63,1783300
2020-04-09,162.64,167.75,161.11,166.24001,2346600
2020-04-08,150.00999,163.8,149.00999,157.77,3432700
2020-04-07,156.49001,162.99001,149.53,149.59,2491800
2020-04-06,138.05,143.81,137.00999,142.25999,2402100
2020-04-03,135.00999,135.00999,125.61,132.17,3291100
2020-04-02,127.0,132.92999,117.72,131.22,5828600
2020-04-01,138.58,142.66,135.52,136.88,1643200
2020-03-31,144.60001,149.48,142.0,143.36,1790500
2020-03-30,144.2,147.89,140.0,146.44,1793600
2020-03-27,135.0,148.8,135.0,144.88,3154000
2020-03-26,128.39,142.50999,127.8,140.69,2699600
2020-03-25,124.75,133.73,123.73,126.61,3302500
2020-03-24,111.14,125.0,107.69,123.82,3815000
2020-03-23,117.25,119.7,104.28,105.64,5876300
2020-03-20,126.6,129.98,116.39,119.7,3165500
2020-03-19,120.0,125.53,114.67,123.06,2497200
2020-03-18,116.43,124.31,107.16,121.25,3366600
2020-03-17,125.58,127.11,110.04,124.45,3369600
2020-03-16,118.23,127.4,107.0,124.75,3623300
2020-03-13,141.24001,143.24001,122.37,132.98,3842200
2020-03-12,144.10001,144.7,129.85001,131.42999,3220900
2020-03-11,161.16,162.81,153.85001,155.07001,1912500
2020-03-10,168.41,169.92,160.50999,165.32001,2004200
2020-03-09,168.0,172.09,161.46001,164.24001,1775400
2020-03-06,176.69,181.31,175.25,179.07001,1667400
2020-03-05,181.69,186.19,179.45,182.77,1602000
2020-03-04,179.47,186.8,178.0,185.96001,1444800
2020-03-03,178.28,183.45,174.92,177.59,1956900
2020-03-02,173.25,177.22,169.27,177.22,2010400
2020-02-28,170.27,172.39,163.53,172.38,3371200
2020-02-27,188.09,188.41,175.55,175.66,2282200
2020-02-26,196.44,197.66,190.78,190.97,1125400
2020-02-25,202.0,202.42999,193.7,195.28999,1369600
2020-02-24,202.39999,204.35001,200.39,201.53999,1145900
2020-02-21,207.89999,208.24001,205.97,207.39999,798900
2020-02-20,206.64,208.55,205.24001,208.34,821700
2020-02-19,204.21001,207.5,203.98,206.64,805700
2020-02-18,203.14,205.32001,200.72,203.82001,903700
2020-02-14,202.7,206.44,202.22,203.83,1373700
2020-02-13,198.92,202.60001,198.0,201.19,819500
2020-02-12,199.67,200.44,197.87,198.72,713400
2020-02-11,200.00999,201.21001,198.10001,199.94,994500
2020-02-10,199.42999,201.46001,198.63,200.07001,918400
2020-02-07,198.64,200.81,197.58,200.34,1223800
2020-02-06,198.0,200.39,197.63,199.8,1171600
2020-02-05,193.82001,197.66,193.82001,197.14,1338300
2020-02-04,191.60001,194.96001,191.48,192.89,1205800
2020-02-03,188.96001,189.89999,188.0,189.12,826500
2020-01-31,189.89999,191.42999,187.71001,188.3,1003700
2020-01-30,192.14,192.3,189.86,190.78999,723200
2020-01-29,192.78999,193.78999,190.83,192.58,624300
2020-01-28,191.45,194.97,190.67999,192.75,985400
2020-01-27,190.0,191.92,189.05,190.89999,1028100
2020-01-24,193.98,194.67999,190.46001,191.56,853100
2020-01-23,191.32001,194.13,190.91,193.97,1089800
2020-01-22,192.66,194.44,191.38,191.94,1695500
2020-01-21,187.45,191.39,187.2,190.23,2038100
2020-01-17,191.12,193.38,189.67,189.95,1787900
2020-01-16,191.53999,192.25,190.33,190.86,856000
2020-01-15,189.99001,192.62,189.69,190.85001,842600
2020-01-14,189.27,191.59,188.97,190.83,1292100
2020-01-13,188.11,190.0,187.45,188.44,1401500
2020-01-10,192.09,192.64,187.60001,188.38,1881300
2020-01-09,191.89999,195.96001,190.61,193.59,2475500
2020-01-08,188.75,193.75,182.17,190.28999,4577800
2020-01-07,189.17999,189.94,183.31,183.60001,2301500
2020-01-06,188.98,191.74001,187.52,190.39999,1615100
2020-01-03,187.36,189.91,186.28,189.53,1311500
2020-01-02,189.97,190.0,186.66,188.3,1060500
2019-12-31,188.0,189.78999,187.10001,189.75,896900
2019-12-30,189.14999,189.37,187.8,188.37,901000
2019-12-27,189.92999,190.57001,188.87,189.23,568600
2019-12-26,187.25999,189.92999,186.73,189.66,807700
2019-12-24,188.73,188.82001,186.42,186.83,400200
2019-12-23,189.03,189.2,187.00999,188.03999,804400
2019-12-20,186.94,189.07001,186.23,188.89999,2342600
2019-12-19,184.25,186.35001,184.0,185.82001,1046800
2019-12-18,183.62,184.45,182.32001,183.67999,860400
2019-12-17,182.89999,184.60001,182.53,183.12,920100
2019-12-16,181.78999,184.23,180.12,182.89,1311100
2019-12-13,181.53,182.83,179.87,182.06,945400
2019-12-12,181.05,183.42,179.67,179.78999,884600
2019-12-11,180.92999,181.97,179.00999,181.62,926000
2019-12-10,181.0,181.48,179.02,180.92999,819600
2019-12-09,182.86,183.5,179.52,181.27,1303300
2019-12-06,183.52,184.85001,182.89,183.64999,722200
2019-12-05,184.0,185.16,180.95,182.46001,1339200
2019-12-04,184.64999,184.87,181.24001,184.28999,991900
2019-12-03,184.75999,184.87,181.74001,184.49001,996000
2019-12-02,185.98,186.3,184.78,186.08,798600
2019-11-29,185.53999,186.31,184.72,186.06,369400
2019-11-27,184.75,186.47,183.96001,185.75,676000
2019-11-26,182.62,185.12,181.5,184.06,1028100
2019-11-25,182.34,183.72,181.64999,183.57001,987000
2019-11-22,186.42999,186.56,180.98,181.22,2098500
2019-11-21,186.10001,187.42999,185.22,186.63,1112700
2019-11-20,182.02,186.03999,181.84,185.86,2139700
2019-11-19,174.92,181.05,174.75,180.96001,1670100
2019-11-18,179.86,179.86,174.13,174.89,2433300
2019-11-15,182.94,183.39999,179.45,179.64999,1852600
2019-11-14,183.0,185.13,181.88,182.86,1273500
2019-11-13,184.0,185.92,183.02,184.00999,794900
2019-11-12,184.88,184.91,182.17,183.83,1501100
2019-11-11,187.0,187.17,184.02,184.52,1484900
2019-11-08,190.39999,190.60001,186.5,187.56,1435900
2019-11-07,193.27,193.97,190.14,190.28,741200
2019-11-06,192.0,193.64999,190.83,193.21001,712900
2019-11-05,194.22,195.5,191.66,191.72,788500
2019-11-04,191.56,194.09,191.00999,193.92,835600
2019-11-01,191.25999,193.48,190.56,191.0,1116600
2019-10-31,191.32001,191.81,189.0,190.33,1002300
2019-10-30,192.72,192.97,190.82001,191.53999,928600
2019-10-29,192.98,194.92999,192.2,192.98,695400
2019-10-28,195.41,196.46001,192.85001,192.92,933300
2019-10-25,195.83,197.38,194.44,195.84,765100
2019-10-24,197.7,197.7,195.48,196.69,665700
2019-10-23,196.0,198.0,195.17,197.53999,601200
2019-10-22,194.64,197.16,193.86,196.81,627900
2019-10-21,196.75999,196.89,194.34,194.58,758500
2019-10-18,197.13,198.60001,196.0,197.02,843400
2019-10-17,198.7,199.3,196.53,197.28999,978200
2019-10-16,197.27,198.64999,195.87,198.48,854500
2019-10-15,192.94,197.61,192.58,196.75999,1102700
2019-10-14,192.42999,193.28,191.03999,192.97,759500
2019-10-11,193.61,198.5,192.61,193.08,963800
2019-10-10,191.44,194.08,190.41,192.71001,957000
2019-10-09,189.78,192.22,189.08,191.46001,1091400
2019-10-08,187.84,190.28,186.41,189.52,1334500
2019-10-07,193.39,193.73,188.10001,188.74001,1721100
2019-10-04,196.02,198.67,190.89,193.74001,2105800
2019-10-03,201.03,202.24001,191.02,194.25999,4711800
2019-10-02,208.14,208.14,204.31,206.78999,1406700
2019-10-01,207.60001,210.64999,207.59,209.41,1169200
2019-09-30,206.74001,208.47,206.0,207.28,992300
