datetime,open,high,low,close,volume
2021-01-29,73.8,73.8,71.38,71.51,2519477
2021-01-28,72.78,75.27,72.2,74.15,1960100
2021-01-27,73.25,74.19,71.59,72.02,2671500
2021-01-26,74.02,75.64,73.66,74.17,2061100
2021-01-25,73.0,74.13,71.88,73.0,3954869
2021-01-22,76.36,76.61,75.15,75.19,1539100
2021-01-21,76.9,77.24,76.32,76.83,1988300
2021-01-20,74.55,77.19,74.15,77.02,2274600
2021-01-19,76.04,76.21,74.82,74.87,1772455
2021-01-15,75.25,76.04,74.72,75.57,2049700
2021-01-14,76.6,77.5,74.96,75.51,2659600
2021-01-13,78.35,78.35,76.13,76.14,2262000
2021-01-12,77.24,79.96,77.02,78.37,3281400
2021-01-11,76.46,78.84,75.86,77.55,2913780
2021-01-08,75.53,77.82,75.21,77.55,3682900
2021-01-07,75.94,76.39,74.49,75.59,4194100
2021-01-06,73.24,76.06,73.01,76.0,3641900
2021-01-05,72.02,73.77,72.02,72.77,1662600
2021-01-04,74.14,74.38,70.75,72.31,2414089
2020-12-31,73.43,74.47,72.66,74.26,1163700
2020-12-30,72.71,73.52,72.69,73.29,1108100
2020-12-29,74.19,75.24,72.71,72.83,1409000
2020-12-28,72.85,74.38,72.73,73.83,1900820
2020-12-24,72.58,72.7999,71.5,72.42,797287
2020-12-23,72.66,73.43,72.51,72.87,1752900
2020-12-22,72.26,72.47,71.06,71.92,2173700
2020-12-21,70.52,73.0,70.32,72.47,3956269
2020-12-18,74.3121,74.38,71.91,72.28,4234270
2020-12-17,74.22,75.88,74.22,74.43,2382961
2020-12-16,74.31,74.35,72.59,73.88,3116400
2020-12-15,73.8235,74.7,72.8,74.32,1699786
2020-12-14,76.62,76.62,73.31,73.43,2906029
2020-12-11,76.87,77.47,75.38,75.89,3597869
2020-12-10,75.73,77.5,75.46,77.24,2750700
2020-12-09,76.6,77.0,75.63,76.41,2630200
2020-12-08,75.2591,77.05,75.2591,76.71,1215990
2020-12-07,76.91,77.97,75.32,75.87,2436186
2020-12-04,74.89,78.14,74.89,78.11,3667452
2020-12-03,72.78,75.75,72.3,74.68,3494400
2020-12-02,72.81,73.26,72.01,72.75,3101500
2020-12-01,71.42,74.07,71.42,73.43,3007500
