datetime,open,high,low,close,volume
2021-01-29,48.88,49.61,47.69,47.98,6970373
2021-01-28,49.08,49.87,48.61,49.15,5336300
2021-01-27,49.21,49.52,48.26,48.39,5679700
2021-01-26,51.6,51.7,50.23,50.24,3623000
2021-01-25,51.0,51.27,50.01,51.05,4867543
2021-01-22,50.22,51.41,50.13,51.18,4132700
2021-01-21,51.3,52.47,50.72,51.07,6039900
2021-01-20,51.98,52.0,51.22,51.63,6583600
2021-01-19,52.19,52.4,51.62,52.15,5815629
2021-01-15,52.19,52.6,51.4,51.97,4901700
2021-01-14,52.42,53.49,52.31,53.14,6217300
2021-01-13,51.94,52.28,51.15,52.08,4780800
2021-01-12,51.43,52.48,51.01,52.25,4738500
2021-01-11,50.12,50.99,49.63,50.94,3604810
2021-01-08,51.44,51.44,49.87,50.65,4703200
2021-01-07,50.0,51.68,49.98,51.49,8188400
2021-01-06,49.2,51.08,48.65,50.0,12915100
2021-01-05,47.28,47.96,46.71,47.5,6814200
2021-01-04,48.25,48.36,46.7086,47.18,5900081
2020-12-31,47.41,48.0,46.97,47.93,3559600
2020-12-30,46.96,47.52,46.83,47.37,2931100
2020-12-29,47.55,47.66,46.58,46.72,2791900
2020-12-28,47.32,47.84,47.02,47.53,3242366
2020-12-24,47.29,47.38,46.7,46.99,2259373
2020-12-23,46.6,47.57,46.31,47.29,5170300
2020-12-22,46.67,46.76,45.96,46.03,4526900
2020-12-21,46.09,46.6243,45.44,46.32,6031576
2020-12-18,46.7102,47.093,45.565,45.9,4280536
2020-12-17,47.17,47.28,46.3,47.1,5214523
2020-12-16,46.72,47.27,46.4,47.23,7242000
2020-12-15,45.915,46.94,45.72,46.73,4115333
2020-12-14,47.68,47.68,45.79,45.91,5723493
2020-12-11,47.115,47.305,46.692,47.01,3363901
2020-12-10,47.19,48.13,47.06,47.95,8441500
2020-12-09,48.19,48.32,47.58,47.88,5539900
2020-12-08,47.59,48.06,47.23,47.71,3083188
2020-12-07,47.67,48.14,47.14,47.86,3514883
2020-12-04,47.87,48.305,47.44,48.23,4142830
2020-12-03,47.65,47.78,46.96,47.41,4782400
2020-12-02,47.14,47.72,46.83,47.56,5015900
2020-12-01,47.85,48.26,47.3,47.52,6260100
2020-11-30,48.18,48.49,46.36,46.42,6160563
2020-11-27,48.61,49.03,48.17,48.5,2898500
2020-11-25,48.38,48.8,47.64,48.51,4010200
2020-11-24,48.1,49.15,48.0,48.97,6587600
2020-11-23,47.0,47.235,46.45,46.98,4440590
2020-11-20,46.73,46.89,46.07,46.21,6019000
2020-11-19,46.7,47.03,46.15,46.9,6361000
2020-11-18,48.17,48.88,47.44,47.45,4362559
2020-11-17,47.62,48.32,47.07,48.17,5144900
2020-11-16,49.0,49.15,48.07,48.57,5673653
2020-11-13,46.65,47.65,46.64,47.2,4083587
2020-11-12,47.27,47.63,45.63,46.33,4603400
2020-11-11,49.2,49.28,47.91,48.82,5777100
2020-11-10,47.44,49.32,46.98,49.04,6279300
2020-11-09,47.42,49.72,47.4,48.52,10476469
2020-11-06,45.2,45.2,42.81,42.99,4892500
2020-11-05,42.7,45.21,42.66,44.93,6606400
2020-11-04,43.26,43.89,41.98,42.68,5209300
2020-11-03,44.73,45.18,44.19,44.76,5812000
2020-11-02,42.76,43.77,42.09,43.48,6153851
2020-10-30,41.7,42.18,41.22,42.12,5415000
2020-10-29,40.79,42.12,40.05,41.85,4418800
2020-10-28,40.56,41.77,40.52,41.12,7172200
2020-10-27,42.745,42.9216,41.71,41.73,3417426
2020-10-26,43.13,43.31,42.53,43.03,4417559
2020-10-23,43.89,44.4,43.18,43.95,2844949
2020-10-22,41.8,43.53,41.77,43.45,3894200
2020-10-21,41.72,42.19,41.55,41.9,5700300
2020-10-20,42.02,43.2,41.96,42.09,4306500
2020-10-19,41.82,42.33,41.375,41.57,3490436
2020-10-16,42.08,42.2,40.94,41.65,4698700
2020-10-15,42.97,43.0,41.0,42.11,6180200
2020-10-14,42.6,43.11,42.1,42.24,5045302
2020-10-13,43.095,43.34,42.38,42.59,4198441
2020-10-12,43.03,43.615,42.825,43.46,4440208
2020-10-09,43.32,43.455,42.5,43.22,5002966
2020-10-08,42.33,43.16,42.05,43.055,4112603
2020-10-07,41.43,42.68,41.43,42.03,6073200
2020-10-06,41.63,42.67,40.65,40.82,5845800
2020-10-05,40.42,41.4,40.4101,41.24,5146285
2020-10-02,38.01,40.23,37.9707,39.97,5551084
2020-10-01,38.18,38.86,37.86,38.75,7311241
2020-09-30,37.04,38.24,37.0,38.05,7951800
2020-09-29,37.2,37.235,36.235,37.01,4380039
2020-09-28,36.82,37.795,36.725,37.45,4699292
2020-09-25,35.475,36.23,34.86,36.17,2815503
2020-09-24,35.78,36.335,35.09,35.47,3117964
2020-09-23,36.25,37.145,35.43,35.43,3686159
2020-09-22,37.29,37.7,35.925,36.25,3770390
2020-09-21,38.12,38.31,36.78,37.34,4950066
2020-09-18,39.13,39.63,38.85,39.16,2990762
2020-09-17,39.81,40.04,39.01,39.27,4375332
2020-09-16,39.282,40.6501,38.98,40.29,4273936
2020-09-15,39.76,39.76,38.94,39.41,5135794
2020-09-14,38.21,39.89,38.21,39.76,4537411
2020-09-11,37.2,38.24,37.05,38.21,3987611
2020-09-10,38.1,38.455,37.18,37.2,3694546
2020-09-09,38.1,38.36,37.44,37.82,4370542
2020-09-08,38.69,38.75,37.17,37.9,6484618
2020-09-04,39.72,40.09,38.58,39.15,7524948
2020-09-03,39.82,41.03,38.445,38.6,6604491
2020-09-02,39.1,39.71,38.62,39.42,5422188
2020-09-01,38.75,39.56,38.13,39.18,4075378
2020-08-31,39.515,39.515,38.71,38.8,2748851
2020-08-28,39.74,39.74,39.0,39.58,2370530
2020-08-27,37.88,39.46,37.815,39.23,3100953
2020-08-26,38.47,38.58,37.86,37.87,2271617
2020-08-25,39.11,39.53,38.33,38.83,2505818
2020-08-24,37.21,38.67,36.883,38.66,2683460
2020-08-21,37.21,37.53,36.7586,36.9,2374085
2020-08-20,37.34,37.72,36.89,37.21,1969979
2020-08-19,38.08,38.769,37.785,37.95,2820213
2020-08-18,38.74,38.79,37.78,37.92,2152789
2020-08-17,39.16,39.39,38.515,38.75,2677724
2020-08-14,38.82,39.95,38.38,39.51,2980434
2020-08-13,40.8,40.8,38.54,38.82,4525080
