datetime,open,high,low,close,volume
2021-01-29,182.12,183.5,180.25999,181.17,3577219
2021-01-28,177.92999,185.42,177.75999,183.58,3961600
2021-01-27,187.61,187.7,176.82001,178.28,6983300
2021-01-26,190.11,190.56,186.67,187.7,3461200
2021-01-25,191.56,193.11,189.23,190.14999,3123859
2021-01-22,190.89999,192.38,189.48,191.91,3257100
2021-01-21,190.10001,194.09,189.0,191.27,4585100
2021-01-20,188.5,188.7,184.53999,188.3,3442700
2021-01-19,197.64999,197.64999,187.19769,188.16,5225266
2021-01-15,197.64999,198.85001,194.00999,194.8,4244000
2021-01-14,196.99001,199.39999,196.89999,198.00999,3320300
2021-01-13,198.52,199.96001,195.28,196.82001,4074900
2021-01-12,196.17,199.28999,195.64999,199.10001,3865900
2021-01-11,193.03999,199.5,192.18961000000002,195.28,7002133
2021-01-08,191.58,193.88,190.81,193.60001,3320900
2021-01-07,189.21001,192.35001,189.17,191.10001,4226200
2021-01-06,180.33,189.47,180.11,188.92,5607800
2021-01-05,176.8,181.97,176.42999,180.37,4842700
2021-01-04,176.50999,178.09,174.12,177.63,3286669
2020-12-31,174.41,176.67,174.10001,176.53,2570400
2020-12-30,175.7,176.06,172.82001,173.88,1934600
2020-12-29,177.11,177.77,174.46001,175.03999,2359100
2020-12-28,177.11,177.46001,174.89,176.39,2404422
2020-12-24,175.98,176.50999,174.73,175.27,1615490
2020-12-23,172.00999,176.33,171.89,174.91,4752300
2020-12-22,172.39999,173.11,171.46001,172.35001,3103200
2020-12-21,169.63,173.06,168.94,171.75999,3352725
2020-12-18,171.2,172.17,168.97,170.0,3777108
2020-12-17,172.13,172.28,170.28999,171.24001,2439680
2020-12-16,172.00999,172.99001,170.71001,171.69,2192800
2020-12-15,171.24001,172.75,170.77,171.39,2819630
2020-12-14,172.96001,172.96001,170.17,170.99001,3617091
2020-12-11,171.5,172.75,171.07001,171.71001,1941863
2020-12-10,173.59,174.24001,172.07001,172.39999,2636700
2020-12-09,173.35001,174.92,172.41,174.07001,2853000
