datetime,open,high,low,close,volume
2021-01-29,126.56,129.23,125.38,126.08,4386262
2021-01-28,125.79,129.60001,124.5,127.77,4996400
2021-01-27,129.69,130.0,122.45,123.27,7017800
2021-01-26,130.02,132.71001,130.0,131.41,3218500
2021-01-25,130.75,132.39999,129.67081000000002,131.10001,2746350
2021-01-22,130.44,131.32001,129.12,130.36,2494100
2021-01-21,132.71001,132.71001,129.85001,130.39999,2687200
2021-01-20,130.12,132.42,129.5,132.3,4230000
2021-01-19,128.69,130.42,127.12,129.85001,4033823
2021-01-15,124.75,127.9,124.75,127.28,4736000
2021-01-14,129.03,130.42,123.9,124.69,6357100
2021-01-13,129.14,129.89999,128.45,128.5,2915600
2021-01-12,132.88,133.47,127.67,128.69,5371200
2021-01-11,134.0,135.53999,132.75,132.92999,3084163
2021-01-08,133.25999,135.2,132.23,135.06,2948600
2021-01-07,133.81,135.45,133.16,133.19,4843400
2021-01-06,130.72,131.98,129.61,131.53,4484000
2021-01-05,131.95,132.24001,130.46001,131.85001,2544200
2021-01-04,134.299,134.98,130.47,132.42999,3433164
2020-12-31,133.14999,135.0,133.10001,134.85001,2080200
2020-12-30,133.52,133.83,132.50999,133.28,1673100
2020-12-29,133.52,133.97,131.64999,133.14,1672000
2020-12-28,134.23,134.75999,131.39999,133.0,2569114
2020-12-24,132.88,133.83,132.59,132.92,901293
2020-12-23,132.25,132.87,130.95,132.23,2152300
2020-12-22,131.92999,132.42,130.25999,132.25,3061300
2020-12-21,130.0,131.23,127.63,130.22,2978867
2020-12-18,130.24001,132.14,129.52,131.92,3101447
2020-12-17,130.23,130.7597,129.64999,129.99001,2562784
2020-12-16,130.64999,130.64999,129.11,129.81,3262000
2020-12-15,129.7,130.71001,128.78,130.0,1992018
2020-12-14,131.02,132.97,129.23,129.36,5296987
2020-12-11,130.57001,131.63,129.69,131.27,1816171
2020-12-10,130.73,131.88,130.03999,130.56,4163600
2020-12-09,133.88,133.88,130.57001,131.12,3659300
2020-12-08,132.875,133.42,131.825,133.09,1882460
2020-12-07,132.08,133.08,132.0,132.96001,2637360
2020-12-04,131.63,131.98,130.67999,131.81,1517974
2020-12-03,131.64999,132.97,131.09,131.19,3587800
2020-12-02,133.64,134.24001,132.41,133.14,2926700
2020-12-01,132.92,133.94,132.24001,133.73,3967100
