datetime,open,high,low,close,volume
2021-01-29,67.52,67.64,65.37,65.91,2094800
2021-01-28,67.9,68.84,67.5,67.63,1895800
2021-01-27,68.2,68.48,65.65,66.65,1500200
2021-01-26,71.02,71.22,69.42,69.67,1072400
2021-01-25,72.41,72.41,69.98,70.86,1569761
2021-01-22,69.79,70.88,69.12,70.76,1509500
2021-01-21,72.8,72.8,69.71,70.31,2860600
2021-01-20,70.26,71.67,69.24,71.42,53092800
2021-01-19,68.89,71.99,68.89,69.19,4082370
2021-01-15,69.55,70.21,68.22,69.46,994700
2021-01-14,72.56,72.56,69.74,69.87,2026200
2021-01-13,71.69,71.91,69.72,70.02,1461900
2021-01-12,72.99,73.9,71.79,71.91,1234400
2021-01-11,70.95,73.15,70.35,73.08,878044
2021-01-08,74.0,74.0,71.32,72.32,989800
2021-01-07,68.77,71.96,68.49,71.84,1168400
2021-01-06,69.35,69.47,67.51,68.41,1703800
2021-01-05,65.95,68.15,65.95,66.85,1426100
2021-01-04,67.58,67.71,65.29,66.29,924457
2020-12-31,66.51,67.27,65.93,66.77,698100
2020-12-30,66.23,67.23,66.14,66.33,586200
2020-12-29,67.2,67.93,65.52,65.77,473400
2020-12-28,67.59,67.86,66.4,66.43,463639
2020-12-24,66.88,66.88,66.12,66.65,131852
2020-12-23,66.46,67.0,66.03,66.58,383800
2020-12-22,66.72,67.48,65.74,66.18,573100
2020-12-21,65.03,66.64,64.37,66.63,715653
2020-12-18,66.11,67.025,65.56,66.15,833607
2020-12-17,66.0,66.2,65.425,65.97,724609
2020-12-16,65.93,66.04,65.03,65.62,934200
2020-12-15,65.35,65.7,64.11,65.3,533014
2020-12-14,63.87,65.24,63.47,64.64,1116066
2020-12-11,62.37,63.26,61.99,62.85,508732
2020-12-10,62.91,62.91,61.74,62.38,771700
2020-12-09,63.24,64.13,62.74,63.24,1155500
2020-12-08,63.36,63.9,62.64,63.13,896330
2020-12-07,63.23,63.84,62.41,63.08,535778
2020-12-04,61.34,63.275,61.01,63.02,656167
2020-12-03,60.93,61.99,60.7,61.01,647600
2020-12-02,60.73,61.27,60.12,60.67,890900
2020-12-01,60.28,61.46,60.01,60.73,1777200
2020-11-30,60.2,60.2,59.0,59.87,1173183
2020-11-27,59.77,60.485,59.44,60.45,474609
2020-11-25,60.32,60.51,59.09,59.39,649900
2020-11-24,59.68,61.09,59.24,60.59,1131700
2020-11-23,59.0,59.51,58.14,58.96,664047
2020-11-20,57.8,58.56,57.41,58.31,942600
2020-11-19,56.52,57.8,56.01,57.74,689400
2020-11-18,57.32,57.595,56.325,56.85,1276595
2020-11-17,57.77,58.15,57.13,57.31,1169200
2020-11-16,59.0,59.02,57.55,58.59,1023845
2020-11-13,57.64,58.29,57.1,58.1,781990
2020-11-12,56.88,57.61,56.26,56.89,1564400
2020-11-11,58.54,60.0,57.08,57.4,820000
2020-11-10,57.66,58.34,56.94,58.25,850700
2020-11-09,58.67,60.32,57.26,57.54,1598385
2020-11-06,56.32,56.37,55.22,56.0,951400
2020-11-05,54.73,58.25,53.4,55.83,1963000
2020-11-04,52.08,53.25,50.51,53.03,1117700
2020-11-03,51.65,53.18,51.49,52.68,1829800
2020-11-02,49.13,50.79,48.58,50.74,1069974
2020-10-30,48.38,49.57,47.19,48.13,1299200
2020-10-29,47.74,48.98,47.24,48.48,876200
2020-10-28,49.49,49.55,47.76,47.88,662400
2020-10-27,49.56,51.1,49.23,50.66,1301667
2020-10-26,49.27,49.67,48.51,49.23,715117
2020-10-23,51.14,51.15,49.37,50.09,1021487
2020-10-22,51.01,51.79,50.01,50.94,1473400
2020-10-21,52.22,52.96,50.61,50.74,970800
2020-10-20,52.51,52.89,51.83,51.92,561700
2020-10-19,52.41,53.2,51.76,51.97,671475
2020-10-16,52.66,53.29,52.2,52.34,798100
2020-10-15,50.06,52.59,49.58,52.29,1398900
2020-10-14,51.89,52.35,50.51,50.56,432996
2020-10-13,52.0,52.64,51.64,51.73,801028
2020-10-12,51.62,52.61,51.4,52.31,627008
2020-10-09,51.52,52.09,51.27,51.38,644667
2020-10-08,50.92,51.59,50.83,51.11,470530
2020-10-07,49.72,50.67,49.51,50.51,1542900
2020-10-06,50.72,50.88,48.88,48.93,1201800
2020-10-05,49.71,51.13,49.69,50.72,861253
2020-10-02,47.84,49.62,47.51,49.31,486811
2020-10-01,48.76,49.68,48.63,48.87,739305
2020-09-30,49.0,49.85,48.49,48.7,1143100
2020-09-29,48.62,49.21,48.43,48.92,744109
2020-09-28,48.8,49.19,48.55,48.7,845598
2020-09-25,47.01,47.85,46.78,47.84,1884999
2020-09-24,47.36,47.61,46.82,47.08,1435340
2020-09-23,49.25,49.25,47.64,47.64,646687
2020-09-22,48.26,48.75,47.96,48.54,617754
2020-09-21,48.0355,48.37,47.2812,47.79,647093
2020-09-18,50.21,50.345,48.83,49.42,727773
2020-09-17,50.24,50.72,49.65,49.79,679448
2020-09-16,52.55,52.73,51.24,51.25,570128
2020-09-15,51.12,52.2085,50.84,52.1,489086
2020-09-14,50.48,50.84,50.05,50.43,481830
2020-09-11,49.76,50.8,49.32,50.17,606603
2020-09-10,50.51,50.78,49.04,49.14,700121
2020-09-09,49.98,50.37,49.475,50.13,671312
2020-09-08,49.02,50.01,48.51,49.16,741311
2020-09-04,51.04,51.53,49.07,49.95,757817
2020-09-03,54.132,54.132,50.66,50.89,1054928
2020-09-02,53.625,54.51,52.96,54.32,647325
2020-09-01,52.98,53.47,52.1,53.41,456919
2020-08-31,52.381,52.75,51.935,52.37,509941
2020-08-28,52.0,52.19,51.6,52.05,514647
2020-08-27,52.76,52.76,51.55,52.05,625852
2020-08-26,53.06,53.7341,52.5,52.585,561483
2020-08-25,52.09,52.62,51.79,52.57,582077
2020-08-24,51.02,52.23,50.7,52.2,1427589
2020-08-21,50.34,51.04,50.27,50.69,973231
2020-08-20,50.11,50.81,50.0011,50.63,536817
2020-08-19,51.65,51.66,50.6,50.65,1070124
2020-08-18,51.0,51.96,50.9,51.72,1287220
2020-08-17,50.61,51.32,50.4,50.86,634705
2020-08-14,49.76,50.77,48.7225,50.39,742856
2020-08-13,49.16,50.49,49.085,50.1,1271861
2020-08-12,48.23,49.59,47.96,49.49,856224
2020-08-11,48.54,48.93,47.86,47.95,933508
2020-08-10,49.28,49.48,48.23,48.42,811304
2020-08-07,48.86,49.3894,48.45,49.18,1050660
2020-08-06,47.42,50.3,47.2,49.05,2399556
2020-08-05,45.82,46.15,45.28,45.89,1800040
2020-08-04,45.46,45.63,44.775,45.11,728804
2020-08-03,45.11,45.635,44.86,45.53,938939
2020-07-31,45.69,45.79,44.35,44.5,1239942
2020-07-30,44.88,45.64,44.5,45.57,434290
2020-07-29,44.76,45.75,44.76,45.54,570622
2020-07-28,45.07,45.49,44.69,44.75,610001
2020-07-27,44.41,45.21,43.92,45.04,512787
2020-07-24,44.95,45.04,43.93,44.03,690286
2020-07-23,44.43,45.77,44.43,45.32,1184777
2020-07-22,44.67,45.1,44.17,44.44,702520
2020-07-21,44.87,45.4534,44.4357,44.86,974291
2020-07-20,43.93,44.45,43.78,44.34,585979
2020-07-17,43.72,44.379,43.59,43.96,265985
2020-07-16,44.14,44.14,43.225,43.47,127395
2020-07-15,43.81,44.45,43.43,44.31,872100
2020-07-14,41.52,43.07,41.41,42.94,130207
2020-07-13,42.8,43.2,41.65,41.6703,142808
2020-07-10,42.54,42.75,42.0766,42.55,103232
2020-07-09,42.56,42.71,41.69,42.37,115044
2020-07-08,42.17,43.29,41.705,42.39,164628
2020-07-07,43.03,43.19,41.98,41.98,164555
2020-07-06,43.54,43.795,42.99,43.42,121600
2020-07-02,43.54,44.14,42.435,42.55,250722
2020-07-01,43.17,43.5,42.69,42.75,665832
2020-06-30,42.57,43.44,42.4,43.19,775600
2020-06-29,42.92,43.21,42.16,42.64,1041269
2020-06-26,42.96,43.16,42.05,42.37,1915200
2020-06-25,42.42,43.18,41.8,43.18,159737
2020-06-24,43.65,43.68,42.24,42.65,196231
2020-06-23,43.89,43.89,43.3,43.65,283358
2020-06-22,43.0,43.49,42.32,43.33,138640
2020-06-19,43.58,44.03,42.52,43.0,402560
2020-06-18,42.8,43.28,42.0,43.025,190278
2020-06-17,43.26,43.55,42.66,43.03,207191
2020-06-16,43.92,43.92,42.055,43.04,259325
2020-06-15,40.11,42.34,39.71,42.22,268005
2020-06-12,42.67,42.68,40.25,41.1,518607
2020-06-11,42.23,42.8,40.8367,41.0,550296
2020-06-10,43.75,44.72,43.13,43.95,280313
2020-06-09,44.1,44.98,43.25,43.93,525943
2020-06-08,44.7,45.26,44.165,45.16,286689
2020-06-05,44.0,45.33,43.6,45.11,622903
2020-06-04,42.04,43.16,41.83,43.05,355660
2020-06-03,40.88,42.34,40.55,42.25,1003444
2020-06-02,40.52,40.54,39.9,40.35,555754
2020-06-01,39.33,40.3,38.88,40.07,944618
2020-05-29,40.57,40.78,38.75,39.12,2349900
2020-05-28,42.59,43.56,41.74,41.99,1407700
2020-05-27,41.84,42.66,41.31,42.54,996200
2020-05-26,40.6,41.84,39.6,41.22,1723451
2020-05-22,39.37,39.69,38.73,39.33,514200
2020-05-21,39.4,39.87,38.91,39.38,972800
2020-05-20,39.82,40.87,38.53,39.53,1373400
2020-05-19,38.62,40.15,38.2,39.24,2278100
2020-05-18,34.66,38.79,35.89,38.64,1333269
2020-05-15,34.66,35.42,34.38,35.4,884100
2020-05-14,33.84,34.95,33.11,34.88,1778500
2020-05-13,35.16,36.08,33.84,34.37,740200
2020-05-12,37.37,37.37,35.45,35.5,806600
2020-05-11,35.97,37.45,35.48,37.11,1424480
2020-05-08,37.39,37.63,36.08,37.0,1039900
2020-05-07,33.45,36.98,32.49,36.45,1751200
2020-05-06,33.51,33.53,31.67,31.86,1339800
2020-05-05,32.64,33.42,32.26,32.83,1440900
2020-05-04,32.49,32.96,31.65,32.11,1960357
2020-05-01,33.93,33.97,32.64,32.86,834400
2020-04-30,35.14,35.47,34.45,34.63,1298100
2020-04-29,34.83,36.05,34.79,35.71,968600
2020-04-28,35.4,35.73,34.23,34.23,875500
2020-04-27,33.2,34.54,32.79,34.35,792272
2020-04-24,33.2,33.35,32.01,32.63,826000
2020-04-23,32.55,33.37,32.44,32.91,949800
2020-04-22,32.34,32.45,31.745,32.18,540479
2020-04-21,31.77,32.06,31.39,31.68,766400
2020-04-20,30.93,33.08,30.93,32.32,640106
2020-04-17,32.23,32.78,31.48,32.46,1266703
2020-04-16,32.37,32.65,31.145,31.34,2402723
2020-04-15,31.69,32.34,30.88,32.19,462249
2020-04-14,32.2,33.07,32.15,32.57,1532061
2020-04-13,33.96,33.96,32.02,32.19,512040
2020-04-09,34.02,34.7137,33.84,34.45,467083
2020-04-08,31.95,33.68,31.93,33.24,629875
2020-04-07,32.01,33.42,31.88,32.01,590722
2020-04-06,29.79,31.55,29.79,31.14,1206827
2020-04-03,29.57,30.03,27.79,28.46,917176
