datetime,open,high,low,close,volume
2021-01-29,64.49,64.78,63.15,64.31,2708679
2021-01-28,64.55,65.42,64.54,64.96,1361414
2021-01-27,65.79,66.64,64.35,64.78,2226900
2021-01-26,66.65,67.1,65.34,66.57,1609100
2021-01-25,66.32,67.25,65.95,66.6,1622096
2021-01-22,65.88,67.07,65.5,66.52,1909800
2021-01-21,66.39,67.46,65.74,65.9,2040300
2021-01-20,64.6,66.57,64.25,66.25,2786600
2021-01-19,65.23,65.33,63.51,63.9,2544164
2021-01-15,64.73,65.15,63.85,64.75,1653600
2021-01-14,64.46,65.22,64.01,64.76,1719100
2021-01-13,63.7,64.75,63.35,64.09,2496400
2021-01-12,65.02,65.81,63.64,64.01,3261000
2021-01-11,64.0,65.0,63.802,64.77,1977799
2021-01-08,65.0,65.01,63.51,64.03,2672000
2021-01-07,65.46,65.57,63.84,64.61,2968500
2021-01-06,63.7,65.8,63.69,65.36,1941500
2021-01-05,63.2,64.11,62.89,63.45,2293200
2021-01-04,64.55,64.65,62.66,63.5,1875742
2020-12-31,63.38,64.63,62.51,64.44,1906700
2020-12-30,63.61,63.97,63.5,63.59,1173400
2020-12-29,64.6,64.82,63.13,63.5,1452900
2020-12-28,64.97,65.24,64.06,64.38,1561309
2020-12-24,64.56,64.9499,64.215,64.79,1153004
2020-12-23,62.97,64.77,62.83,64.55,2315000
2020-12-22,63.85,63.85,62.47,62.48,2602000
2020-12-21,64.16,64.16,63.1507,63.85,2043523
2020-12-18,65.0,66.28,64.35,64.96,2365218
2020-12-17,65.26,65.8,64.595,65.0,2874979
2020-12-16,67.48,68.0,65.21,65.24,4095200
2020-12-15,70.0,70.13,68.01,68.27,1775671
2020-12-14,69.66,70.48,69.5,69.78,2999400
2020-12-11,69.29,69.78,69.06,69.29,1382003
2020-12-10,68.8,69.72,68.8,69.41,1638500
2020-12-09,68.8,69.25,68.21,69.16,1986200
2020-12-08,68.3,68.83,68.0,68.4,1914979
2020-12-07,69.63,69.78,68.0,68.7,2693127
2020-12-04,69.37,70.21,68.51,70.1,2175462
2020-12-03,67.61,69.17,66.7,69.13,3534600
2020-12-02,66.75,67.58,66.02,66.1,3891600
2020-12-01,65.48,67.19,65.39,66.76,3449300
