datetime,open,high,low,close,volume
2021-01-29,141.77,145.28999,141.03999,143.35001,1759960
2021-01-28,141.53,144.17999,139.56,142.8,2342700
2021-01-27,144.95,145.58,137.98,138.83,1721600
2021-01-26,151.64999,151.64999,147.50999,147.89,1468600
2021-01-25,152.50999,153.00999,147.36,150.92,978738
2021-01-22,153.5,154.42999,151.0,152.67,1091300
2021-01-21,155.69,156.27,153.73,154.44,952900
2021-01-20,153.52,155.78999,152.67,155.24001,1136200
2021-01-19,150.16,155.306,150.16,153.49001,1701390
2021-01-15,150.75,150.75,147.05,149.50999,1252400
2021-01-14,150.99001,152.56,150.25999,150.75,731500
2021-01-13,151.28999,151.82001,149.57001,150.95,1067000
2021-01-12,152.25999,152.78999,150.14999,151.94,1024100
2021-01-11,150.16,153.5,150.0851,152.25,837275
2021-01-08,153.72,154.3,149.94,152.58,1062000
2021-01-07,153.71001,154.42999,150.41,153.72,1734100
2021-01-06,147.45,152.25999,147.45,149.84,3425100
2021-01-05,144.05,146.24001,143.91,145.85001,1134400
2021-01-04,144.09,146.23,142.6891,143.98,1178157
2020-12-31,144.75,145.34,143.8,145.16,734500
2020-12-30,142.89999,145.57001,142.89999,144.83,658600
2020-12-29,145.5,146.58,141.5,142.89999,666500
2020-12-28,144.8,145.67999,144.11,144.2,606879
2020-12-24,142.96001,144.32001,142.96001,143.66,292000
2020-12-23,142.96001,144.14999,142.09,142.5,857900
2020-12-22,142.35001,144.17999,141.06,143.0,1073100
2020-12-21,139.33,143.39999,139.19501,142.14999,1130421
2020-12-18,141.92,142.99001,139.755,141.06,990382
2020-12-17,139.19501,141.67999,138.92999,140.88,1405077
2020-12-16,141.25,141.88,138.39,138.57001,1109600
2020-12-15,139.32001,140.64,138.48,140.38,1247258
2020-12-14,140.85001,141.7,137.08,137.71001,1776532
2020-12-11,137.394,140.0,137.394,139.94,830425
2020-12-10,139.81,141.28,138.53,139.22,995300
2020-12-09,141.34,142.25999,139.83,141.05,1267900
2020-12-08,141.56,142.11,139.81,140.00999,901459
