datetime,open,high,low,close,volume
2021-01-29,17.66,17.915,17.29,17.5,4301386
2021-01-28,17.55,18.19,17.51,17.81,8391900
2021-01-27,17.98,18.31,17.16,17.35,11089800
2021-01-26,19.24,19.24,18.32,18.51,5648700
2021-01-25,18.56,18.99,18.11,18.64,5880404
2021-01-22,18.54,18.7,18.2,18.51,3360200
2021-01-21,19.38,19.55,18.68,18.68,5914900
2021-01-20,18.15,18.82,18.12,18.61,6607600
2021-01-19,18.29,18.34,17.941,18.13,4201919
2021-01-15,18.36,18.49,17.72,18.09,4157800
2021-01-14,18.63,18.92,18.45,18.5,3480100
2021-01-13,18.86,18.92,18.31,18.45,3255000
2021-01-12,17.96,19.01,17.88,18.87,6735200
2021-01-11,17.43,18.015,17.3089,17.98,4961588
2021-01-08,18.13,18.21,17.67,17.7,4376900
2021-01-07,18.1,18.28,17.79,18.03,5284300
2021-01-06,17.86,18.32,17.74,17.97,4523600
2021-01-05,17.37,18.0,17.26,17.85,4976000
2021-01-04,17.58,17.58,17.05,17.35,4829280
2020-12-31,17.39,17.48,17.1,17.17,3205000
2020-12-30,17.01,17.5,16.96,17.45,5024300
2020-12-29,17.07,17.21,16.72,16.87,4910200
2020-12-28,17.42,17.66,17.21,17.27,3987823
2020-12-24,17.42,17.43,16.9,17.41,3020200
2020-12-23,16.87,17.47,16.86,17.36,4838600
2020-12-22,17.4,17.41,16.86,16.88,4577600
2020-12-21,17.05,17.45,16.98,17.35,4291140
2020-12-18,17.3,17.535,17.2001,17.37,3683083
2020-12-17,17.48,17.58,17.31,17.42,3376713
2020-12-16,17.68,17.85,17.25,17.46,3502100
2020-12-15,17.28,17.69,17.28,17.68,4288601
2020-12-14,17.43,17.49,17.085,17.14,3568255
2020-12-11,17.35,17.67,17.11,17.175,3314862
2020-12-10,17.39,17.6,17.13,17.6,3910100
2020-12-09,17.44,17.94,17.3,17.57,7241200
2020-12-08,16.9,17.62,16.83,17.23,5915715
2020-12-07,16.73,17.08,16.55,17.06,4263281
2020-12-04,17.09,17.155,16.7,16.84,3976899
2020-12-03,16.35,17.16,16.3,17.0,6261700
2020-12-02,16.45,16.61,16.23,16.32,6699100
2020-12-01,16.78,16.91,16.22,16.54,13306600
2020-11-30,16.7,16.76,16.33,16.57,4605136
2020-11-27,16.94,17.02,16.64,16.68,2524500
2020-11-25,16.82,16.95,16.33,16.86,4624700
2020-11-24,16.83,17.15,16.6,17.01,6144700
2020-11-23,16.91,16.98,16.405,16.54,6148746
2020-11-20,16.67,16.89,16.48,16.73,6643600
2020-11-19,16.15,16.72,16.06,16.69,4458400
2020-11-18,16.295,16.78,16.235,16.26,6066095
2020-11-17,15.76,16.16,15.43,16.1,6162900
2020-11-16,15.41,15.795,15.205,15.76,7259607
2020-11-13,14.48,14.98,14.44,14.88,3809306
2020-11-12,14.37,14.61,14.05,14.33,6014900
2020-11-11,15.13,15.13,14.36,14.51,8675100
2020-11-10,15.37,15.61,14.9,15.06,9724800
2020-11-09,15.82,16.2,15.37,15.37,9356914
2020-11-06,14.92,15.25,14.57,14.81,5833100
2020-11-05,14.46,15.05,14.45,14.97,8328400
2020-11-04,14.37,14.71,14.08,14.4,6009100
2020-11-03,14.76,14.84,14.44,14.77,6601400
2020-11-02,14.14,14.7734,14.01,14.46,8532173
2020-10-30,15.21,15.39,13.52,13.84,21993900
2020-10-29,13.3,13.99,13.16,13.79,15063500
2020-10-28,13.27,13.51,13.12,13.31,6510600
2020-10-27,13.87,13.97,13.56,13.66,6972577
2020-10-26,14.54,14.54,13.695,13.93,9297491
2020-10-23,14.45,14.67,13.86,14.65,7264776
2020-10-22,14.05,14.21,13.88,14.18,6294500
2020-10-21,13.6,14.04,13.54,13.94,9055000
2020-10-20,13.37,13.95,13.31,13.47,8806200
2020-10-19,12.93,13.4674,12.84,13.26,5946697
2020-10-16,13.02,13.21,12.7,13.0,7309100
2020-10-15,12.29,12.95,12.26,12.92,7797400
2020-10-14,12.7269,13.041,12.52,12.53,3906836
2020-10-13,12.66,13.02,12.51,12.82,6620590
2020-10-12,12.59,12.74,12.445,12.73,4990228
2020-10-09,12.67,12.708,12.29,12.55,5079168
2020-10-08,12.31,12.65,12.22,12.59,5367859
2020-10-07,11.88,12.23,11.85,12.17,3982400
2020-10-06,12.2,12.3,11.64,11.69,4546800
2020-10-05,12.25,12.31,12.07,12.16,4126341
2020-10-02,11.4625,12.1,11.41,12.07,4164970
2020-10-01,11.395,11.935,11.34,11.86,7027997
2020-09-30,11.17,11.47,11.13,11.23,4808400
2020-09-29,11.29,11.35,10.89,11.07,4645054
2020-09-28,11.37,11.53,11.25,11.43,4834990
2020-09-25,10.98,11.3,10.89,11.16,5426868
2020-09-24,11.36,11.36,10.75,11.02,7407166
2020-09-23,11.27,11.985,11.27,11.43,12954214
2020-09-22,10.7,10.97,10.51,10.92,6689483
2020-09-21,11.24,11.25,10.57,10.69,5882988
2020-09-18,11.95,11.97,11.3701,11.515,5762521
2020-09-17,12.01,12.27,11.775,11.96,9130071
2020-09-16,11.73,12.41,11.66,12.24,8551090
2020-09-15,11.74,11.79,11.495,11.66,16684311
2020-09-14,11.3865,11.745,11.13,11.72,9115002
2020-09-11,10.96,11.4282,10.82,11.32,11516481
2020-09-10,10.68,10.85,10.595,10.73,9054969
2020-09-09,10.88,10.91,10.53,10.58,7610902
2020-09-08,10.26,11.04,10.23,10.96,8968173
2020-09-04,10.57,10.62,10.14,10.43,5506751
2020-09-03,10.28,10.755,10.28,10.43,7680191
2020-09-02,10.3135,10.56,10.18,10.39,5847920
2020-09-01,9.7,10.26,9.67,10.26,4978681
2020-08-31,10.06,10.095,9.725,9.82,3475057
2020-08-28,10.0,10.17,9.84,10.15,3707632
2020-08-27,9.94,10.2405,9.895,9.92,7366261
2020-08-26,10.18,10.19,9.87,9.89,5423010
2020-08-25,10.3,10.39,10.0949,10.165,3541737
2020-08-24,9.77,10.25,9.71,10.23,7354699
2020-08-21,9.92,9.995,9.7,9.725,3789080
2020-08-20,9.92,10.01,9.71,9.76,5078057
2020-08-19,10.25,10.355,9.96,9.98,4785038
2020-08-18,10.42,10.45,10.07,10.24,4748481
2020-08-17,10.72,10.72,10.28,10.46,5855495
2020-08-14,10.67,10.91,10.56,10.74,6155142
2020-08-13,10.97,11.02,10.69,10.83,4729139
2020-08-12,11.24,11.26,10.72,11.01,7336987
2020-08-11,11.06,11.32,10.77,10.97,7896430
2020-08-10,10.41,10.88,10.39,10.715,5278716
2020-08-07,10.05,10.35,10.0,10.3299,5107311
2020-08-06,10.54,10.55,10.14,10.14,5197316
2020-08-05,10.01,10.645,10.01,10.6,7101886
2020-08-04,9.71,10.025,9.63,9.935,7634723
2020-08-03,10.67,10.67,9.66,9.66,13541525
2020-07-31,11.37,11.9,10.3,10.515,19490559
2020-07-30,11.49,11.84,11.35,11.46,9368826
2020-07-29,11.29,11.835,11.29,11.615,7675327
2020-07-28,11.12,11.41,11.07,11.29,9721601
2020-07-27,10.86,11.22,10.71,11.21,11450924
2020-07-24,11.05,11.245,10.765,10.915,8881888
2020-07-23,10.46,11.15,10.41,10.87,7795549
2020-07-22,10.33,10.67,10.28,10.44,5364697
2020-07-21,10.09,10.575,10.04,10.49,6001738
2020-07-20,10.17,10.25,9.8618,9.91,5636274
2020-07-17,10.39,10.6025,10.15,10.2,2901058
2020-07-16,10.16,10.47,10.07,10.34,1222503
2020-07-15,9.725,10.35,9.715,10.315,418691
2020-07-14,9.27,9.56,9.19,9.46,548601
2020-07-13,9.53,9.6459,9.215,9.4,460659
2020-07-10,9.19,9.555,9.07,9.52,665815
2020-07-09,9.52,9.568,9.12,9.18,477297
2020-07-08,9.53,9.63,9.3,9.62,476179
2020-07-07,9.7786,10.04,9.47,9.51,1906778
2020-07-06,9.72,9.94,9.545,9.91,842040
2020-07-02,9.87,9.995,9.53,9.58,723661
2020-07-01,9.68,10.01,9.55,9.57,7431045
2020-06-30,9.78,9.84,9.46,9.74,6886100
2020-06-29,9.23,9.965,9.05,9.83,6979103
2020-06-26,9.46,9.66,8.95,9.11,13563100
2020-06-25,9.28,9.6216,9.19,9.6,1479054
2020-06-24,9.64,9.69,9.185,9.47,2178401
2020-06-23,9.67,9.9298,9.45,9.88,1909646
2020-06-22,9.49,9.62,9.23,9.52,1822965
2020-06-19,10.03,10.03,9.36,9.52,2796884
2020-06-18,9.69,10.01,9.51,9.78,1590562
2020-06-17,10.28,10.3,9.78,9.82,1951308
2020-06-16,10.45,10.55,9.995,10.36,2695213
2020-06-15,9.2,9.93,9.15,9.85,2364980
2020-06-12,10.0,10.05,9.255,9.695,2096978
2020-06-11,9.61,9.73,9.4,9.46,3114891
2020-06-10,10.9,10.9,10.16,10.5,2693523
2020-06-09,11.31,11.43,10.74,10.92,2908198
2020-06-08,11.65,11.795,11.365,11.5,2896401
2020-06-05,11.41,11.59,10.97,11.1,13743100
2020-06-04,10.28,10.63,10.01,10.41,10675100
2020-06-03,9.65,10.38,9.65,10.3,11609700
2020-06-02,9.42,9.68,9.29,9.41,8628400
2020-06-01,8.82,9.33,8.73,9.26,7321900
2020-05-29,8.91,9.13,8.68,8.75,15492000
2020-05-28,9.94,10.0,9.01,9.05,8789600
2020-05-27,9.28,9.61,8.99,9.61,10146000
2020-05-26,8.75,8.99,8.59,8.88,10964000
2020-05-22,8.74,8.75,8.26,8.34,9182800
2020-05-21,7.78,8.94,7.66,8.68,17328900
2020-05-20,7.97,8.35,7.86,8.24,12753400
2020-05-19,8.24,8.24,7.73,7.81,17607000
2020-05-18,8.25,8.48,8.09,8.23,19171000
2020-05-15,7.5,7.8,7.36,7.71,11275900
2020-05-14,7.7,7.85,7.15,7.71,9998100
2020-05-13,8.49,8.53,7.64,7.79,15082600
2020-05-12,9.13,9.32,8.54,8.63,10755500
2020-05-11,9.04,9.38,8.62,9.01,23284900
2020-05-08,9.9,10.05,9.7,9.98,15620000
2020-05-07,9.35,9.88,9.3,9.61,8331800
2020-05-06,9.36,9.57,9.01,9.19,7891800
2020-05-05,9.91,9.95,9.32,9.38,7331900
2020-05-04,9.5,9.9,9.28,9.69,6656200
2020-05-01,10.08,10.15,9.64,9.8,7183400
2020-04-30,10.37,10.82,10.25,10.42,7306400
2020-04-29,11.03,11.31,10.82,10.87,5765300
2020-04-28,10.82,11.05,10.51,10.83,4622400
2020-04-27,10.02,10.59,9.91,10.44,3961700
