datetime,open,high,low,close,volume
2021-01-29,38.64,39.13,37.99,38.45,1152400
2021-01-28,38.25,39.51,38.08,38.92,1798300
2021-01-27,38.95,39.39,37.93,38.16,1390400
2021-01-26,39.1,39.46,38.78,39.21,1453400
2021-01-25,38.98,39.345,38.6,39.01,1519826
2021-01-22,39.09,39.38,38.96,39.11,1201300
2021-01-21,39.15,39.55,38.79,39.27,1117200
2021-01-20,38.38,39.6,38.11,39.47,2074900
2021-01-19,39.64,39.64,38.47,38.68,1839502
2021-01-15,38.67,39.52,38.56,39.42,1972200
2021-01-14,38.46,38.98,38.14,38.73,2074900
2021-01-13,37.55,38.28,37.34,38.25,1291600
2021-01-12,37.0,37.71,36.75,37.53,2524600
2021-01-11,37.38,37.52,36.765,37.05,1446612
2021-01-08,37.23,37.44,36.97,37.38,879100
2021-01-07,38.13,38.16,37.25,37.56,1860200
2021-01-06,37.21,38.33,36.87,38.16,2765900
2021-01-05,37.0,37.3,36.73,36.79,1826700
2021-01-04,38.43,38.675,36.84,36.85,2060743
2020-12-31,37.95,38.5,37.49,38.43,1255500
2020-12-30,37.53,38.06,37.51,37.97,904600
2020-12-29,38.05,38.35,37.4,37.47,1126500
2020-12-28,37.4,38.09,37.4,38.02,823930
2020-12-24,37.04,37.355,36.85,37.32,319330
2020-12-23,37.6,37.95,37.0,37.03,1257600
2020-12-22,37.08,37.44,36.69,37.37,1135700
2020-12-21,36.37,37.13,36.11,36.94,2073047
2020-12-18,38.4,38.435,36.675,37.01,2697313
2020-12-17,38.255,38.41,37.69,38.4,1296875
2020-12-16,38.56,38.79,37.87,37.99,2251000
2020-12-15,37.74,38.4,37.13,38.39,1611700
2020-12-14,38.66,38.86,37.51,37.59,1314108
2020-12-11,38.33,38.43,37.82,38.14,1262797
2020-12-10,39.24,39.72,38.32,38.33,2662900
2020-12-09,40.1,40.47,39.31,39.62,3112800
2020-12-08,40.62,40.8,40.175,40.18,1432648
2020-12-07,40.69,41.07,40.29,40.61,2649375
2020-12-04,40.24,40.855,40.13,40.68,1194905
2020-12-03,39.4,40.28,39.21,40.0,1460600
2020-12-02,38.74,40.03,38.6,39.38,2147200
2020-12-01,39.17,39.44,38.53,38.63,2008000
2020-11-30,39.18,39.41,38.23,38.47,7137845
2020-11-27,39.65,39.65,38.62,39.22,781975
2020-11-25,40.02,40.07,39.34,39.76,2189000
2020-11-24,40.37,40.6,39.94,40.14,2087700
2020-11-23,39.61,40.03,39.21,39.67,2220930
2020-11-20,39.05,39.38,38.64,39.23,1812100
2020-11-19,38.23,38.87,37.69,38.8,1998800
2020-11-18,40.285,40.44,38.61,38.61,1633690
2020-11-17,39.79,40.48,39.41,40.28,1376300
2020-11-16,40.28,40.64,39.3,40.27,2078486
2020-11-13,38.29,39.01,38.29,38.86,1395768
2020-11-12,38.39,38.68,37.46,38.12,1752100
2020-11-11,39.93,40.23,38.4,38.68,2679600
2020-11-10,38.3,40.34,38.24,39.92,4248100
2020-11-09,36.67,41.295,36.64,38.15,3484078
