datetime,open,high,low,close,volume
2021-01-29,127.4,127.98,123.85,124.68,616725
2021-01-28,127.16,129.59,126.25,127.84,927400
2021-01-27,125.0,126.63,123.82,125.69,1241400
2021-01-26,128.7,129.10001,126.84,127.75,605400
2021-01-25,128.62,128.67,125.77,127.56,518150
2021-01-22,130.03999,131.02,128.53,129.10001,502100
2021-01-21,132.25999,132.78,130.27,130.74001,333600
2021-01-20,130.41,132.64999,129.75,131.7,381300
2021-01-19,133.31,133.87,129.82001,130.39999,503732
2021-01-15,132.75,133.82001,131.83,132.48,521100
2021-01-14,136.11,136.78,133.14,133.59,454000
2021-01-13,137.10001,137.99001,133.94,135.67999,584700
2021-01-12,135.14999,138.00999,134.0,137.57001,838500
2021-01-11,138.0,140.57001,131.7,135.12,1054025
2021-01-08,142.77,143.53999,140.16,141.14,510700
2021-01-07,142.53999,143.84,140.97,142.46001,527200
2021-01-06,138.13,143.21001,138.13,141.71001,634800
2021-01-05,133.10001,138.09,131.85001,136.10001,514800
2021-01-04,137.8,138.47,133.11501,135.28,441699
2020-12-31,136.55,137.92,135.17999,137.5,225000
2020-12-30,136.27,137.5,135.16,136.13,287500
2020-12-29,136.84,137.3,135.23,136.17999,288300
2020-12-28,137.86,138.49001,136.08,136.53,276711
2020-12-24,137.56,137.60001,135.33,136.92999,98600
2020-12-23,137.0,138.17,136.64,137.06,257800
2020-12-22,136.39,137.24001,134.69,135.8,298100
2020-12-21,135.14999,136.39999,132.8846,135.81,457937
2020-12-18,139.8,140.14,136.47,137.31,480923
2020-12-17,138.31,140.145,137.81,139.69,481179
2020-12-16,135.13,138.73,134.85001,137.63,650400
2020-12-15,136.0,137.45,133.34081,135.64,551984
2020-12-14,133.99001,137.0,131.78101,134.56,776993
2020-12-11,134.34,135.015,131.14,132.34,425551
2020-12-10,132.60001,135.97,132.14999,135.37,553500
2020-12-09,133.58,134.21001,132.25999,133.91,329000
2020-12-08,130.75999,133.57001,130.56,132.67,290049
2020-12-07,133.92,134.83501,130.25999,131.02,581248
2020-12-04,133.86,135.61501,133.60001,135.31,283712
2020-12-03,131.64999,132.88,130.12,132.39999,758700
2020-12-02,130.48,132.7,130.03999,132.00999,295700
2020-12-01,133.05,134.33,130.19,130.84,615900
2020-11-30,131.99001,131.99001,129.065,130.58,1496704
2020-11-27,133.75999,134.28999,131.34,132.11,309000
2020-11-25,133.42999,134.28999,131.31,133.25,413300
2020-11-24,132.55,134.77,131.67999,133.95,523200
2020-11-23,132.10001,133.545,130.24001,131.23,425215
2020-11-20,134.17999,134.39,130.14999,130.97,437600
2020-11-19,131.69,134.17999,129.17999,133.95,512600
2020-11-18,132.89999,134.78,131.03,132.78,454017
2020-11-17,131.55,134.07001,129.7,133.27,497100
2020-11-16,136.45,136.61,131.58,132.91,471100
2020-11-13,127.2,134.14,127.2,133.17999,371296
2020-11-12,128.52,131.59,125.42,127.14,624000
2020-11-11,132.39999,132.57001,127.28,129.61,624200
2020-11-10,127.83,133.99001,127.76,132.50999,699200
2020-11-09,126.42,134.52,125.35,126.77,975313
2020-11-06,117.47,118.44,116.5,116.62,405700
2020-11-05,113.46,119.69,113.04,117.82,623900
2020-11-04,119.34,119.34,111.13,112.28,1525400
2020-11-03,115.14,118.88,113.81,118.21,949300
2020-11-02,111.51,114.15,110.22,113.88,745707
2020-10-30,109.49,112.65,106.01,109.55,1215700
2020-10-29,105.79,106.98,103.35,105.45,688600
2020-10-28,109.13,110.24,105.78,106.37,767200
2020-10-27,113.64,115.19,111.125,111.36,375893
2020-10-26,113.31,115.755,112.1568,114.79,663666
2020-10-23,112.51,115.85,112.51,115.42,332635
2020-10-22,112.46,114.05,110.87,112.13,446000
2020-10-21,112.14,113.15,110.01,111.88,353800
2020-10-20,111.12,114.22,110.49,112.72,323500
2020-10-19,112.43,113.25,110.07,110.35,394113
2020-10-16,112.81,114.65,111.74,112.89,445400
2020-10-15,109.29,112.83,108.76,112.71,482500
2020-10-14,109.2,112.84,109.2,111.06,338651
