datetime,open,high,low,close,volume
2021-01-29,336.53,339.01999,330.63,333.57999,3899259
2021-01-28,336.64001,346.57999,334.51001,338.14999,2769900
2021-01-27,337.04001,338.0,329.01001,332.98999,4770100
2021-01-26,350.51001,351.51001,342.57001,343.10999,2464500
2021-01-25,347.14999,350.39001,344.60461000000004,347.81,2366464
2021-01-22,353.31,354.62,347.54001,347.54999,2585100
2021-01-21,350.81,360.89001,350.73999,355.0,3749800
2021-01-20,351.88,352.07999,345.82999,350.84,3036300
2021-01-19,356.20999,356.95999,351.56,352.19,3361269
2021-01-15,349.12,353.04999,345.73999,351.29999,3737900
2021-01-14,356.85001,358.81,350.42001,350.53,2918900
2021-01-13,356.04001,356.81,351.23001,355.04001,1972000
2021-01-12,357.94,360.07999,355.23001,357.37,2372500
2021-01-11,362.62,364.29001,359.19,360.75,2491296
2021-01-08,367.0,367.48999,358.76001,363.39001,2947800
2021-01-07,358.54001,366.45001,357.92001,365.03,3365400
2021-01-06,337.10999,359.48999,335.10999,359.26999,6560300
2021-01-05,348.69,351.35999,344.48001,344.79999,3159100
2021-01-04,351.45001,352.07501,340.38,349.5,4202457
2020-12-31,345.04001,351.09,344.04999,350.67999,1969000
2020-12-30,347.07999,349.01001,344.47,344.98999,1866000
2020-12-29,347.98999,351.29001,345.0,347.35001,2275700
2020-12-28,343.20999,347.79001,343.06,345.95001,2203136
2020-12-24,336.5878,341.38901,336.5878,340.79001,1470730
2020-12-23,336.48999,341.64999,336.03,337.59,2348100
2020-12-22,335.16,336.98001,333.47,335.01001,2069700
2020-12-21,332.07001,336.95001,329.39999,336.07999,2422573
2020-12-18,341.995,342.59,334.04999,338.23001,3582646
2020-12-17,339.33499,342.60001,337.36499,341.82001,1878248
2020-12-16,336.82999,341.66,334.26001,339.34,2365600
2020-12-15,339.31,340.98999,337.04001,339.85001,1632235
2020-12-14,340.03,343.23001,335.85999,336.13,2142427
2020-12-11,338.815,338.88,334.32999,337.07001,2231979
2020-12-10,345.16,345.45999,339.26001,339.64999,2896200
2020-12-09,348.89001,349.41,341.60999,344.41,2600400
2020-12-08,345.45499,349.85001,344.07999,347.73001,1554171
2020-12-07,348.72,349.89001,345.22061,347.85999,2636254
2020-12-04,347.27499,351.2493,345.75,349.89001,2026125
2020-12-03,347.89999,352.76999,346.48999,348.67999,4168000
2020-12-02,341.76999,351.82999,341.5,347.56,2863100
2020-12-01,344.76999,354.10001,339.92999,341.19,3817700
2020-11-30,335.10999,337.94,330.29001,336.34,4569774
2020-11-27,333.53,338.89999,331.84,337.94,1558600
2020-11-25,338.82001,338.82001,329.14001,333.19,3145100
2020-11-24,336.17999,340.0,334.42999,336.01001,3759700
2020-11-23,335.54999,336.259,331.59,335.06,2453753
2020-11-20,335.0,337.66,331.70999,334.70001,3702000
2020-11-19,342.29001,343.07001,334.32999,337.0,3934500
2020-11-18,353.42999,354.04999,343.09,344.51001,2721500
2020-11-17,352.39001,353.35999,347.5,352.10001,2557600
2020-11-16,358.95001,359.57999,351.01001,356.82001,2774974
2020-11-13,357.23001,357.94,352.79001,355.67999,1694696
2020-11-12,351.39999,360.51999,349.75,354.41,2907300
2020-11-11,356.16,356.81,349.41,351.70001,2048200
2020-11-10,349.48999,355.89999,348.17001,353.69,3732100
2020-11-09,366.31,367.95001,348.98001,350.0,4312718
2020-11-06,350.35999,352.0,344.57001,347.45999,2994400
2020-11-05,358.07001,360.98001,349.67999,354.39999,4785700
2020-11-04,345.23001,360.44,341.14001,354.56,10343000
2020-11-03,317.47,326.44,315.01999,321.35001,4039700
2020-11-02,312.64001,312.64001,307.35999,312.10001,4519149
2020-10-30,303.23001,307.17001,299.60001,305.14001,3556800
2020-10-29,307.00101,309.47501,301.45999,303.51999,2491072
2020-10-28,313.32999,317.81,307.44,308.0,3301400
2020-10-27,323.07001,323.34,319.47,320.53,1597227
2020-10-26,326.32001,327.75,318.535,323.06,2405259
2020-10-23,329.16,335.59,328.29001,330.59,1942168
2020-10-22,322.32001,328.06,322.25,325.73001,2100600
2020-10-21,323.41,326.48999,322.17999,322.79001,2137700
2020-10-20,326.62,328.62,323.28,323.41,1988600
2020-10-19,328.54001,330.78,322.06,324.22,2299694
2020-10-16,325.45999,332.35001,324.73001,329.89999,3293300
2020-10-15,318.85001,326.97,316.32999,324.57001,3172200
2020-10-14,322.31,330.5383,320.20001,322.0,3838237
2020-10-13,328.12,333.69,327.70999,331.54999,2266028
2020-10-12,329.12,333.56189,329.01001,329.97,2423446
2020-10-09,324.66,328.17001,324.07999,327.84,1612721
2020-10-08,323.13,325.32999,320.98999,322.23001,1611786
2020-10-07,315.82001,324.73999,315.82001,323.17001,2594600
2020-10-06,318.95001,320.29999,313.48999,314.45001,2434400
2020-10-05,315.07001,318.42001,313.12,318.14999,1528505
2020-10-02,311.98999,317.39001,308.35999,311.92999,1783075
2020-10-01,312.04999,315.17001,309.14999,313.07001,1989541
2020-09-30,304.01999,314.51999,303.98999,311.76999,3497300
2020-09-29,304.14999,305.5,300.67999,304.14001,1062970
2020-09-28,306.39001,310.01001,302.82999,303.23001,2343467
2020-09-25,291.76001,303.22,291.76001,302.5,0
2020-09-24,291.51999,294.88,289.72,292.66,56033
2020-09-23,295.13,295.95001,291.89999,292.14001,0
2020-09-22,298.14001,300.42001,292.94,294.26001,0
2020-09-21,300.10999,300.53,291.66,299.19,2557296
2020-09-18,304.98999,310.39001,303.85999,308.01999,1865549
2020-09-17,304.29001,307.38,302.10999,304.98001,954391
2020-09-16,308.09,312.01999,306.31,306.51999,2190130
2020-09-15,309.60001,311.45999,306.06,307.23001,776140
2020-09-14,303.47,311.07001,303.47,308.57001,700607
2020-09-11,305.5,306.32999,297.29001,301.41,1112234
2020-09-10,312.47,314.26001,303.79999,304.60001,881172
2020-09-09,308.70999,315.315,308.70999,312.01999,657267
2020-09-08,310.98999,310.98999,304.10001,307.25,931986
2020-09-04,317.22,317.82721000000004,306.64001,312.0,1257475
2020-09-03,321.26999,323.82001,313.76999,316.29001,2097990
2020-09-02,313.25,321.23001,312.62,320.23999,1295619
2020-09-01,311.45999,314.72,310.10999,313.03,1024808
2020-08-31,314.79999,319.53,312.54999,312.54999,1632860
2020-08-28,312.42999,315.81,309.0,314.37,875944
2020-08-27,309.17999,314.75,305.5,311.67001,962545
2020-08-26,310.13,310.81,303.67001,308.82001,1663412
2020-08-25,311.54999,312.32001,307.88,312.22,1025382
2020-08-24,316.67999,316.89999,306.48999,308.85001,1388426
