datetime,open,high,low,close,volume
2021-01-29,24.29,24.495,23.14,23.23,5475020
2021-01-28,24.69,25.05,24.27,24.31,4021400
2021-01-27,24.74,25.05,24.44,24.71,2450500
2021-01-26,25.17,25.35,24.8,25.18,1503000
2021-01-25,25.05,25.22,24.595,25.03,1684834
2021-01-22,25.1,25.51,24.93,25.4,2409700
2021-01-21,25.84,26.11,25.49,25.49,1488700
2021-01-20,26.01,26.16,25.73,25.87,1704100
2021-01-19,25.44,26.3,25.37,26.06,2807258
2021-01-15,24.98,25.36,24.7,25.22,2330500
2021-01-14,24.66,25.54,24.59,25.38,1867300
2021-01-13,24.5,24.61,24.18,24.47,1659300
2021-01-12,23.8,24.88,23.69,24.59,2792300
2021-01-11,23.07,23.64,22.88,23.54,1373015
2021-01-08,23.89,23.9,22.88,23.34,2377700
2021-01-07,24.07,24.1,23.51,23.52,2217200
2021-01-06,22.96,24.1,22.83,23.74,3259700
2021-01-05,22.06,22.52,21.87,22.27,2351200
2021-01-04,22.96,23.15,22.07,22.09,2424948
2020-12-31,22.4,23.05,22.29,22.94,1806600
2020-12-30,22.18,22.6,22.18,22.44,1158800
2020-12-29,22.2,22.4,22.02,22.19,1356600
2020-12-28,22.11,22.67,22.075,22.09,1507482
2020-12-24,21.965,22.01,21.59,21.92,572460
2020-12-23,21.59,22.13,21.56,21.92,1362600
2020-12-22,21.45,21.77,21.3,21.32,2541800
2020-12-21,21.48,21.5,20.78,21.36,2804161
2020-12-18,22.0,22.19,21.285,21.63,2970585
2020-12-17,23.64,23.99,21.98,22.13,2943451
2020-12-16,22.8,22.85,22.2,22.27,2695000
2020-12-15,22.796,22.845,22.22,22.74,2421354
2020-12-14,23.82,23.82,22.44,22.46,3255998
2020-12-11,23.44,23.5,23.015,23.27,1465391
2020-12-10,23.22,23.87,23.13,23.81,1580400
2020-12-09,23.86,24.03,23.47,23.65,1565200
2020-12-08,23.3233,23.895,23.23,23.57,1310663
2020-12-07,24.0,24.02,23.47,23.7,1540040
2020-12-04,23.42,24.33,23.42,24.26,2480497
2020-12-03,22.79,23.5,22.72,23.41,2301100
2020-12-02,22.29,22.91,22.25,22.81,2428600
2020-12-01,22.99,23.07,22.47,22.49,2454200
2020-11-30,22.86,23.2,22.195,22.23,1920166
2020-11-27,23.47,23.5,23.08,23.14,765100
2020-11-25,23.31,23.42,22.89,23.18,1361300
2020-11-24,23.0,23.83,22.73,23.72,2392200
2020-11-23,21.88,22.415,21.73,22.4,2154031
2020-11-20,21.27,21.54,21.09,21.41,2995100
2020-11-19,21.16,21.47,20.85,21.44,2062400
2020-11-18,21.49,22.26,21.395,21.395,2467182
2020-11-17,21.01,21.45,20.54,21.4,1801300
2020-11-16,21.82,21.88,21.155,21.44,2129699
2020-11-13,20.15,20.985,20.15,20.88,1703172
2020-11-12,20.75,20.75,19.41,19.96,3025200
2020-11-11,21.57,21.57,20.64,21.09,2278600
2020-11-10,21.21,21.53,20.93,21.49,4039100
2020-11-09,19.94,21.23,19.94,20.73,6798328
