datetime,open,high,low,close,volume
2021-01-29,50.99,53.28,48.385,48.5,23340813
2021-01-28,55.07,56.17,48.22,50.61,29755700
2021-01-27,52.27,60.73,52.1,56.0,45146900
2021-01-26,48.24,52.3,48.09,51.92,18862000
2021-01-25,45.42,51.29,45.33,47.71,24130831
2021-01-22,44.52,45.82,43.63,45.58,14450000
2021-01-21,44.0,45.74,43.62,45.11,24194100
2021-01-20,43.73,44.24,42.89,43.36,13047800
2021-01-19,44.12,44.5,43.341,43.75,21067165
2021-01-15,45.59,46.32,44.85,45.3,11512600
2021-01-14,43.12,46.86,42.91,46.0,29652800
2021-01-13,41.58,43.43,41.41,43.12,14473000
2021-01-12,41.36,42.59,41.21,41.78,12477500
2021-01-11,39.6,41.17,39.44,41.06,7253457
2021-01-08,40.01,40.21,39.53,40.06,11158600
2021-01-07,39.99,40.38,39.35,40.12,13123100
2021-01-06,37.85,40.74,37.56,40.2,20358300
2021-01-05,36.64,37.04,36.21,36.99,13043400
2021-01-04,37.3,37.76,36.31,36.6,12491900
2020-12-31,36.75,37.46,36.55,37.26,7666500
2020-12-30,36.89,37.45,36.66,36.9,5264900
2020-12-29,36.81,36.99,36.4,36.72,8182000
2020-12-28,36.09,37.02,36.035,36.73,6108437
2020-12-24,35.74,36.03,35.45,35.99,4720500
2020-12-23,34.92,36.44,34.91,35.95,12425100
2020-12-22,34.88,35.05,34.12,34.89,8805700
2020-12-21,34.58,34.89,34.14,34.85,14495790
2020-12-18,35.47,35.7913,34.87,35.26,8108400
2020-12-17,36.0,36.28,35.39,36.21,6739206
2020-12-16,35.17,36.42,34.91,35.89,20983800
2020-12-15,34.93,35.415,34.45,35.15,5983777
2020-12-14,35.85,35.91,34.365,34.67,20752294
2020-12-11,35.4406,35.82,34.91,35.61,8530228
2020-12-10,35.93,36.6,35.57,35.87,12958800
2020-12-09,36.48,36.67,36.06,36.44,11807500
2020-12-08,36.8,37.3224,36.46,36.66,6188799
2020-12-07,36.64,36.87,36.08,36.82,7706863
2020-12-04,36.66,37.0,36.24,36.96,5473471
2020-12-03,36.59,37.02,36.25,36.59,10172100
2020-12-02,36.19,36.56,35.59,36.37,9383600
2020-12-01,35.5,37.24,35.37,36.36,18436500
2020-11-30,34.84,35.41,34.82,35.28,10634847
2020-11-27,34.79,35.28,34.7,35.065,3605870
2020-11-25,34.48,34.89,33.5,34.82,12092600
2020-11-24,34.55,34.92,34.14,34.51,12525600
2020-11-23,34.25,35.48,34.2,34.62,14833823
2020-11-20,33.41,34.1,33.13,33.99,16974700
2020-11-19,32.4,33.58,32.24,33.43,9218200
2020-11-18,32.45,33.245,32.1,32.7,6390065
2020-11-17,31.6,32.89,30.99,32.29,9860400
2020-11-16,30.77,32.53,30.65,31.9,21017113
2020-11-13,29.4,30.48,29.38,30.2,7115399
2020-11-12,30.0,30.0,29.12,29.25,8077300
2020-11-11,29.76,30.35,29.59,30.2,9280300
2020-11-10,29.16,30.08,28.86,30.07,8926700
2020-11-09,30.85,31.14,28.78,29.05,17020190
2020-11-06,30.75,30.98,28.85,29.3,26836500
2020-11-05,30.01,31.35,30.01,31.29,11685200
2020-11-04,29.96,30.28,29.31,29.77,8868900
2020-11-03,30.0,30.48,29.69,30.13,12409400
2020-11-02,28.8,29.65,28.36,29.6,11088856
2020-10-30,27.8,28.59,27.66,28.57,12162900
2020-10-29,27.66,28.3,27.52,28.13,7447800
2020-10-28,27.5,28.17,27.4,27.8,12124100
2020-10-27,28.56,28.64,28.06,28.2,6478228
2020-10-26,28.64,28.94,28.29,28.75,7403447
2020-10-23,29.3,29.5,28.7,29.3,5190362
2020-10-22,28.7,29.5,28.6,29.1,9179000
2020-10-21,27.46,28.57,27.1,28.47,9282200
2020-10-20,27.42,27.77,27.11,27.46,9204100
2020-10-19,28.15,28.16,27.01,27.13,13284840
2020-10-16,27.97,28.02,27.43,27.94,7503700
2020-10-15,27.47,27.87,27.22,27.83,6884900
2020-10-14,27.5,27.79,27.2045,27.34,6517288
2020-10-13,27.73,28.16,27.085,27.45,11832808
2020-10-12,28.83,28.96,28.27,28.325,6280743
2020-10-09,29.8921,30.08,28.9,28.91,4167099
2020-10-08,29.05,29.68,28.74,29.63,5526078
2020-10-07,28.95,29.11,28.64,28.85,4868300
2020-10-06,28.75,29.49,28.43,28.45,8723800
2020-10-05,28.1,28.63,28.06,28.39,5874880
2020-10-02,27.15,28.37,26.985,27.98,7550130
2020-10-01,28.09,28.16,27.04,27.69,11742641
2020-09-30,29.15,29.51,27.88,28.01,9320200
2020-09-29,29.65,29.91,28.9,28.96,8539631
2020-09-28,29.99,30.19,29.575,29.84,9323445
2020-09-25,28.86,29.59,28.84,29.52,6885434
2020-09-24,28.57,29.5,28.11,29.2,12072900
2020-09-23,29.72,29.96,28.64,28.845,7932739
2020-09-22,29.625,29.68,28.97,29.41,5257217
2020-09-21,29.51,29.72,28.77,28.99,13916814
2020-09-18,30.05,30.4782,29.8999,30.145,6517463
2020-09-17,30.2398,30.8114,29.895,30.27,6418549
2020-09-16,30.38,31.4,29.9275,30.69,7488095
2020-09-15,30.08,30.84,29.865,30.13,10576085
2020-09-14,29.37,30.04,29.2,29.73,10705903
2020-09-11,29.36,29.8117,29.04,29.3,8350824
2020-09-10,28.82,29.6,28.74,29.3,9313644
2020-09-09,28.81,29.035,28.19,28.7,6067169
2020-09-08,28.47,29.1,28.23,28.76,12286879
2020-09-04,28.45,28.86,27.98,28.79,8481742
2020-09-03,28.5478,29.02,27.88,28.25,8217167
2020-09-02,27.74,28.42,27.4,28.32,5577100
2020-09-01,27.425,27.9,27.19,27.71,4567157
2020-08-31,27.9,28.25,27.68,27.85,5594000
2020-08-28,28.29,28.44,27.92,27.99,4032479
2020-08-27,28.24,28.72,27.76,28.3,8728917
2020-08-26,27.49,27.99,27.17,27.91,5803803
2020-08-25,27.89,27.9,27.18,27.57,4551739
2020-08-24,26.5492,27.67,26.45,27.65,6246029
2020-08-21,26.7,26.89,26.2899,26.5,4220348
2020-08-20,27.0,27.0,26.34,26.7,8612855
2020-08-19,27.13,27.41,26.705,27.31,6586912
2020-08-18,27.21,28.1,26.5,26.978,5596281
2020-08-17,27.5,27.63,26.63,27.24,7513014
2020-08-14,26.67,28.24,26.55,27.46,16003448
2020-08-13,25.92,26.97,25.61,26.7,7752477
2020-08-12,27.2145,27.31,25.9,26.24,8557990
2020-08-11,26.77,27.8,26.155,26.51,11447294
2020-08-10,26.15,26.78,25.87,26.31,8976611
2020-08-07,26.6,26.88,25.6601,26.21,10911507
2020-08-06,26.6,27.57,25.905,26.89,16456544
2020-08-05,26.75,26.77,25.96,26.0,9014800
2020-08-04,25.84,26.69,25.61,26.57,8198895
2020-08-03,26.07,26.13,25.34,25.7,6886340
2020-07-31,25.6798,26.18,25.34,26.06,6923036
2020-07-30,24.64,26.05,24.44,25.83,7073133
2020-07-29,24.65,25.46,24.27,25.29,5747399
2020-07-28,24.47,24.96,24.335,24.53,4256766
2020-07-27,24.67,24.88,24.1133,24.83,6554570
2020-07-24,24.98,25.48,24.435,24.75,7969481
2020-07-23,24.96,25.265,24.6416,25.13,7433840
2020-07-22,24.33,24.96,24.12,24.85,5517671
