datetime,open,high,low,close,volume
2021-01-29,58.0,59.95,55.94,56.43,5383814
2021-01-28,59.55,60.54,57.15,58.33,4361000
2021-01-27,57.5,60.56,56.87,58.73,4743500
2021-01-26,59.99,60.61,58.15,58.15,3143200
2021-01-25,58.74,59.66,57.89,59.41,3045496
2021-01-22,57.61,59.64,57.2,59.45,2998700
2021-01-21,59.76,60.49,58.51,58.86,3083000
2021-01-20,60.51,61.99,59.51,60.57,3222300
2021-01-19,59.0,60.95,58.73,60.54,3794150
2021-01-15,59.57,59.64,57.2,58.3,3709600
2021-01-14,58.1,61.01,58.06,60.27,4458100
2021-01-13,59.35,59.42,57.44,57.7,4430900
2021-01-12,59.22,59.8,58.52,59.51,3631700
2021-01-11,56.31,59.19,55.69,58.64,2742088
2021-01-08,60.19,60.19,57.29,57.71,3908200
2021-01-07,59.07,60.01,58.29,59.67,3038300
2021-01-06,58.66,59.45,57.25,58.6,5594300
2021-01-05,56.15,58.93,56.08,57.32,3943600
2021-01-04,57.03,57.68,54.775,55.73,3027287
2020-12-31,56.58,57.14,55.96,56.57,2537300
2020-12-30,55.61,56.85,55.4,56.72,2729500
2020-12-29,55.41,55.88,54.53,55.45,2470800
2020-12-28,56.23,56.925,54.883,55.09,2361600
2020-12-24,55.277,55.75,54.6,55.68,1239721
2020-12-23,54.25,55.97,54.1,55.79,3281800
2020-12-22,53.64,54.74,53.55,53.7,4594200
2020-12-21,52.45,55.05,51.9,54.05,4954753
2020-12-18,56.0,56.25,54.35,54.77,5279152
2020-12-17,57.36,57.36,55.8,56.34,3115192
2020-12-16,57.03,57.87,56.3,56.92,5014600
2020-12-15,56.8,58.33,56.17,57.475,3070394
2020-12-14,59.92,60.05,56.24,56.39,3856939
2020-12-11,60.35,60.35,58.28,59.03,3152813
2020-12-10,58.22,61.47,58.21,59.87,3871400
2020-12-09,60.0,61.32,57.72,58.8,4383200
2020-12-08,58.356,60.09,58.3512,58.98,4040103
2020-12-07,60.66,60.86,59.0701,59.46,4274321
2020-12-04,59.07,61.65,59.06,61.28,4346581
2020-12-03,58.21,59.16,57.07,57.91,4011100
2020-12-02,53.69,58.16,53.55,58.07,5271800
2020-12-01,54.9,55.81,54.27,54.4,4155600
2020-11-30,55.7,56.39,53.71,53.77,5085455
2020-11-27,55.93,57.2,55.8,56.62,1755000
2020-11-25,57.42,57.79,56.36,56.43,4369700
2020-11-24,58.13,59.92,56.79,58.49,8712000
2020-11-23,51.8,56.17,51.6,56.09,7217590
2020-11-20,51.16,51.86,50.37,50.82,3000800
2020-11-19,49.85,51.45,49.4,51.21,4764000
2020-11-18,54.6,54.69,51.24,51.26,4959862
2020-11-17,52.92,54.29,51.98,54.15,5970400
2020-11-16,56.0,56.0,52.46,55.67,8909610
2020-11-13,47.82,51.39,47.8,50.91,4801258
2020-11-12,48.73,49.99,46.96,47.28,5754500
2020-11-11,50.21,50.83,49.07,49.79,6319500
2020-11-10,51.0,51.06,48.0,49.96,8812300
2020-11-09,44.91,50.91,44.9,50.08,19207355
2020-11-06,39.45,39.9,37.98,38.17,4378000
2020-11-05,39.07,40.27,38.9,39.53,4694400
2020-11-04,39.5,40.11,37.88,38.97,4642500
2020-11-03,40.58,40.69,38.96,39.48,3992900
2020-11-02,39.35,40.2999,38.45,39.9,4660139
2020-10-30,37.21,38.65,36.91,38.61,6549500
2020-10-29,35.79,37.73,35.44,37.53,5067600
2020-10-28,37.1,37.67,35.99,36.19,6337700
2020-10-27,39.45,39.45,38.23,38.25,4337460
2020-10-26,41.22,41.3,39.21,39.54,4901535
2020-10-23,41.75,43.42,40.99,41.96,5159300
2020-10-22,40.17,41.39,38.42,41.28,6561200
2020-10-21,40.27,41.54,39.75,40.54,5591000
2020-10-20,39.75,41.13,39.69,40.7,4103100
2020-10-19,40.42,40.46,39.15,39.29,5086644
2020-10-16,41.57,41.65,40.16,40.22,5518900
2020-10-15,40.9,41.72,39.78,41.56,5678300
2020-10-14,41.71,42.6236,41.49,41.71,3315642
2020-10-13,42.89,42.89,41.4,41.42,3307070
2020-10-12,43.26,43.49,42.22,43.09,3667448
2020-10-09,44.79,44.885,43.16,43.63,4102887
2020-10-08,42.4,44.38,42.285,44.36,2757775
2020-10-07,42.5,42.86,41.86,42.35,4239500
2020-10-06,43.87,44.32,42.09,42.33,4447800
2020-10-05,41.45,43.12,41.25,43.07,4990036
2020-10-02,39.24,41.24,38.87,40.71,6350466
2020-10-01,41.62,42.0,39.725,40.28,9526450
2020-09-30,43.57,44.4,42.93,43.32,4757000
2020-09-29,44.77,44.99,43.105,43.41,3735709
2020-09-28,44.82,45.57,44.63,44.82,3179892
2020-09-25,43.89,44.19,43.025,43.91,4227323
2020-09-24,44.04,45.55,42.93,44.58,3505289
2020-09-23,47.33,47.45,44.47,44.51,3891646
2020-09-22,47.28,47.95,47.0167,47.41,3179334
2020-09-21,47.23,47.9,46.31,47.35,4253999
2020-09-18,48.9,49.1,47.785,48.65,4846333
2020-09-17,48.06,49.03,47.85,49.01,4554435
2020-09-16,47.05,50.04,46.58,49.11,4202596
2020-09-15,47.75,48.15,46.54,46.56,2570144
2020-09-14,46.67,48.08,46.54,47.51,3765766
2020-09-11,45.59,46.78,45.1375,46.38,3675356
2020-09-10,47.885,48.06,45.39,45.62,4350033
2020-09-09,49.31,49.47,47.34,47.76,3853777
2020-09-08,50.5,51.0,48.68,48.73,4023653
2020-09-04,52.78,53.09,50.66,51.23,3348850
2020-09-03,52.99,54.48,51.66,52.32,3356617
2020-09-02,52.55,53.355,51.9,52.892,3030919
2020-09-01,52.32,53.4,51.6,52.46,2732169
2020-08-31,55.2,55.25,52.53,52.55,3203906
2020-08-28,53.69,55.02,53.69,54.89,3135703
2020-08-27,53.7001,53.945,52.34,53.44,3186566
2020-08-26,54.03,54.66,53.28,53.7,3614946
2020-08-25,55.21,55.81,53.71,54.24,3085655
2020-08-24,53.0005,55.18,52.82,55.03,4545856
2020-08-21,52.71,53.23,52.04,52.63,2291149
2020-08-20,53.68,53.94,52.0,52.7,3276811
2020-08-19,54.291,54.9799,53.68,54.26,2082307
2020-08-18,55.62,55.75,54.62,54.75,2261845
2020-08-17,54.4965,56.18,54.1683,55.6,3967445
2020-08-14,52.86,54.52,52.66,54.49,3197835
2020-08-13,54.57,54.93,53.11,53.2,2875483
2020-08-12,54.645,55.15,53.5,55.13,2766062
2020-08-11,55.17,55.7173,53.45,53.68,3408312
2020-08-10,52.83,53.77,52.4,53.56,2708671
2020-08-07,51.24,52.865,50.73,52.66,3041137
2020-08-06,51.4,52.98,51.1,51.48,3690542
2020-08-05,54.38,54.38,51.29,51.67,4874462
2020-08-04,53.655,53.93,51.94,53.03,5338571
2020-08-03,55.25,55.66,53.59,53.91,4828415
2020-07-31,55.57,56.46,55.07,56.22,3603331
2020-07-30,56.3,57.3689,54.4011,56.34,5894922
2020-07-29,57.67,59.76,57.15,59.6,3677528
2020-07-28,57.575,58.54,56.52,56.89,2645166
2020-07-27,57.75,58.14,56.81,58.02,2286352
2020-07-24,57.54,58.75,57.46,57.98,2713196
2020-07-23,56.61,57.8,56.39,57.68,3165960
2020-07-22,56.6,57.94,56.03,57.07,2450771
2020-07-21,55.02,57.94,55.02,57.59,3516957
2020-07-20,55.3,56.14,54.26,54.32,2143836
2020-07-17,56.85,57.92,55.323,55.46,1443713
2020-07-16,57.24,57.84,55.76,56.62,352350
2020-07-15,56.065,57.447,55.49,57.2,286256
2020-07-14,52.76,54.5,52.36,54.39,336591
2020-07-13,54.185,54.54,52.51,53.23,248895
2020-07-10,50.205,53.66,50.16,53.66,530441
2020-07-09,52.805,52.82,49.8699,50.23,616775
2020-07-08,52.74,54.13,52.16,52.97,489802
2020-07-07,55.57,55.57,53.01,53.14,845444
2020-07-06,57.55,57.8,55.15,56.47,509982
2020-07-02,57.83,58.28,56.16,56.34,462936
2020-07-01,59.2,60.3,56.374,56.44,3050859
2020-06-30,56.34,59.1,55.77,58.82,5122500
2020-06-29,56.7,58.19,56.06,56.95,3442525
2020-06-26,57.05,57.28,55.66,56.32,4851900
2020-06-25,57.34,58.44,56.59,57.31,1091504
2020-06-24,61.45,61.58,57.3,58.03,1419391
2020-06-23,62.58,63.75,62.51,62.66,707713
2020-06-22,62.47,63.0,61.46,62.57,699509
2020-06-19,66.04,66.86,63.04,63.17,1439323
2020-06-18,61.725,65.35,61.34,64.63,917793
2020-06-17,65.68,65.835,62.3,62.31,1197845
2020-06-16,66.61,67.71,64.41,66.26,992464
2020-06-15,60.8,63.97,59.59,63.63,4266500
2020-06-12,63.99,64.645,61.72,63.79,873865
2020-06-11,64.37,66.5,60.275,60.68,1553427
2020-06-10,71.63,72.35,68.68,69.05,1072419
