datetime,open,high,low,close,volume
2021-01-29,148.03999,150.64,146.25999,149.14,814034
2021-01-28,148.64999,150.10001,146.96001,148.96001,627700
2021-01-27,147.84,148.73,143.10001,146.03,913200
2021-01-26,158.03,158.03,150.22,150.5,695500
2021-01-25,158.0,158.06,155.08,156.81,650850
2021-01-22,157.63,159.17999,155.89,158.37,684300
2021-01-21,160.35001,162.35001,158.03999,158.86,624000
2021-01-20,159.48,161.00999,159.2,160.62,575600
2021-01-19,161.21001,161.55,158.28999,158.86,622732
2021-01-15,158.82001,161.31,157.12,160.92,717600
2021-01-14,162.11,162.71001,159.85001,160.62,694400
2021-01-13,165.00999,166.07001,160.97,161.60001,834100
2021-01-12,162.99001,168.24001,162.02,166.2,963000
2021-01-11,161.2,164.27,160.24001,163.0,597210
2021-01-08,161.91,164.12,160.0,162.83,801800
2021-01-07,162.2,163.97,159.55,162.00999,952300
2021-01-06,156.0,163.27,155.10001,160.75999,2826100
2021-01-05,146.53,148.02,145.60001,147.57001,663100
2021-01-04,149.03,151.0,145.58,146.53,716987
2020-12-31,145.89999,148.82001,144.5,148.31,464400
2020-12-30,143.24001,147.45,143.24001,146.47,514000
2020-12-29,146.25999,146.39999,142.24001,142.77,512200
2020-12-28,144.14,147.86501,143.39,146.17,553951
2020-12-24,142.66,143.37,141.72,143.22,198683
2020-12-23,143.19,143.87,141.24001,142.71001,644600
2020-12-22,144.99001,146.08,142.60001,143.27,641400
2020-12-21,141.42,146.78,140.74001,144.53999,987970
2020-12-18,139.7,145.87,139.09,145.17999,1192932
2020-12-17,138.39,139.8,137.73,139.64,530359
2020-12-16,138.98,139.42999,136.22,137.69,934400
2020-12-15,135.74001,137.92,134.53,137.56,790190
2020-12-14,139.5,140.0,135.32001,135.44,636608
2020-12-11,137.75,139.48,137.23621,138.88,492956
2020-12-10,140.85001,141.11,137.36,137.75999,1448400
2020-12-09,144.09,144.09,140.53999,141.75,904500
2020-12-08,144.855,146.41,144.17,144.41,352762
2020-12-07,145.19,146.41,144.39,146.08,472672
2020-12-04,144.2765,146.72,144.2765,146.44,460215
