datetime,open,high,low,close,volume
2021-01-29,39.6,40.89,38.88,39.76,6556259
2021-01-28,39.72,41.35,39.71,40.3,3828600
2021-01-27,38.74,40.48,38.68,39.63,2736200
2021-01-26,39.13,39.92,38.63,39.16,1802300
2021-01-25,37.54,39.11,37.31,38.78,3401022
2021-01-22,37.39,37.98,36.91,37.9,2290300
2021-01-21,37.95,38.07,37.27,37.56,2674000
2021-01-20,37.6,38.25,37.32,38.11,2649300
2021-01-19,38.78,38.8,37.61,37.72,2122651
2021-01-15,37.76,38.63,37.33,38.56,2547100
2021-01-14,36.89,38.17,36.58,37.92,2159600
2021-01-13,36.0,36.71,35.76,36.59,1360400
2021-01-12,35.8,35.99,35.32,35.91,1372200
2021-01-11,35.62,36.03,35.02,35.27,1977629
2021-01-08,36.15,36.17,35.23,36.08,2366800
2021-01-07,36.81,37.14,35.71,35.83,2222000
2021-01-06,36.12,37.28,35.89,36.77,2100100
2021-01-05,36.75,37.33,35.61,35.64,2664700
2021-01-04,37.63,37.95,36.245,36.66,3164676
2020-12-31,36.37,37.58,35.78,37.34,4474000
2020-12-30,36.03,36.95,36.03,36.43,1097800
2020-12-29,37.24,37.53,35.83,35.99,1458900
2020-12-28,36.23,37.28,36.21,36.98,1198324
2020-12-24,36.54,36.7,35.7,36.15,657178
2020-12-23,35.58,36.62,35.45,36.47,1226700
2020-12-22,36.27,36.32,35.02,35.41,2518200
2020-12-21,35.93,36.4,35.47,36.18,1838796
2020-12-18,38.24,38.24,36.15,36.7,2408832
2020-12-17,38.45,38.59,37.91,38.4,1354511
2020-12-16,39.21,39.39,37.86,38.21,2205500
2020-12-15,38.49,38.895,37.78,38.78,2320312
2020-12-14,39.22,39.58,37.975,38.08,2297779
2020-12-11,39.46,39.5,38.43,38.8,980018
2020-12-10,39.09,40.29,39.09,39.71,1994300
2020-12-09,40.17,40.35,39.1,39.68,1724200
2020-12-08,40.21,40.83,39.85,40.02,1239700
2020-12-07,41.4,41.6,40.31,40.58,2182215
2020-12-04,41.2567,41.64,40.41,41.63,1363533
2020-12-03,39.82,40.6,39.28,40.29,1752700
2020-12-02,39.05,39.98,38.63,39.72,1674100
2020-12-01,39.61,40.29,38.93,39.3,2142100
2020-11-30,40.32,40.705,38.86,38.91,3661667
2020-11-27,40.77,41.08,39.9,40.33,749700
2020-11-25,41.49,41.83,40.01,40.62,2195100
2020-11-24,41.9,43.35,41.66,41.84,3981900
2020-11-23,40.54,41.72,40.16,41.02,3071017
2020-11-20,39.74,40.38,39.05,39.93,4233000
2020-11-19,39.45,40.16,38.73,39.84,3452600
2020-11-18,41.83,41.92,39.78,39.78,1806027
2020-11-17,39.31,42.15,38.7,41.49,4083700
