datetime,open,high,low,close,volume
2021-01-29,185.5,185.89,182.52,183.5,933128
2021-01-28,183.53,189.41,182.7,186.42999,765900
2021-01-27,187.36,188.03,183.25,184.27,776800
2021-01-26,187.61,190.39,185.99001,188.5,1027600
2021-01-25,192.78999,192.78999,188.37,188.67999,1223761
2021-01-22,194.23,194.78999,191.74001,192.75999,521100
2021-01-21,193.14,196.16,193.07001,194.87,588700
2021-01-20,192.23,195.82001,191.22,194.71001,692000
2021-01-19,189.39,192.59,189.39,191.37,636085
2021-01-15,192.34,193.16,188.74001,190.02,1173300
2021-01-14,197.38,197.8,192.25,193.88,671800
2021-01-13,196.83,198.69,195.92,196.88,653500
2021-01-12,197.27,197.97,193.78,196.64,454400
2021-01-11,200.58,200.78,197.39999,197.87,454299
2021-01-08,201.25,202.05,199.60001,200.89999,626400
2021-01-07,201.58,202.96001,199.31,200.97,748700
2021-01-06,199.86,202.67999,198.94,200.06,825400
2021-01-05,203.33,204.45,200.11,201.97,622300
2021-01-04,207.60001,209.67,202.09,202.88,703369
2020-12-31,206.03999,207.78999,205.21001,207.59,358200
2020-12-30,205.39,207.22,205.14,205.78,339900
2020-12-29,209.64,210.66,205.13,205.67,415800
2020-12-28,203.33,208.75,202.521,207.98,917723
2020-12-24,200.3,201.78,200.02,201.23,137533
2020-12-23,202.73,203.10001,199.89999,199.97,357500
2020-12-22,201.53,202.72,200.81,201.92999,582400
2020-12-21,201.69,203.34,198.27,202.77,585097
2020-12-18,201.77,204.97,201.11,204.61,611570
2020-12-17,197.61,201.25999,197.61,201.23,555242
2020-12-16,197.25999,198.03,195.25999,195.88,824200
2020-12-15,196.02,198.67999,194.45,196.14999,402187
2020-12-14,194.14,197.73,194.14,194.77,459908
2020-12-11,192.21001,194.21001,191.495,194.08,257465
2020-12-10,193.24001,193.64,191.47,192.2,481700
2020-12-09,194.83,196.52,191.47,193.45,581500
2020-12-08,194.25,195.89,193.71001,194.83,354762
2020-12-07,195.22,196.08,194.03999,194.45,517339
2020-12-04,194.64999,196.2,194.13,195.67,483071
