datetime,open,high,low,close,volume
2021-01-29,194.89,195.715,192.8,194.07001,769086
2021-01-28,194.66,198.52,194.0,196.81,715700
2021-01-27,195.7,196.3,193.21001,194.58,748700
2021-01-26,192.03,196.17999,190.88,196.05,766900
2021-01-25,195.39,195.74001,191.31,192.0,539574
2021-01-22,196.97,197.88,194.64,194.75,448200
2021-01-21,199.78999,200.39999,196.92999,197.14,433600
2021-01-20,197.60001,201.56,197.55,199.94,547900
2021-01-19,196.12,197.5273,194.59,197.08,647877
2021-01-15,195.13,196.66,193.53,195.27,536700
2021-01-14,199.5,200.03,194.69,195.7,493900
2021-01-13,199.33,201.08,197.83,199.39999,564800
2021-01-12,198.5,199.5,195.91,198.58,530200
2021-01-11,202.00999,202.25,198.95,199.14999,413597
2021-01-08,200.92999,202.88,200.47,202.44,834600
2021-01-07,200.39999,200.75999,197.24001,200.0,891100
2021-01-06,203.69,204.78999,199.16,199.50999,945200
2021-01-05,211.81,212.97,206.0,206.5,755100
2021-01-04,216.92,217.81,210.52,213.58,563834
2020-12-31,214.84,216.69,213.38,216.39999,311100
2020-12-30,216.73,217.14999,214.38,214.5,248500
2020-12-29,218.14,218.86,214.94,215.63,287100
2020-12-28,216.27,217.19,215.09,216.8,296622
2020-12-24,215.23,215.23,213.19,214.59,138547
2020-12-23,215.92999,217.35001,213.98,214.00999,288300
2020-12-22,214.83,216.78999,213.3,216.34,427800
2020-12-21,215.2,216.49001,210.53,214.89,522358
2020-12-18,218.97,219.53,216.50999,217.94,567307
2020-12-17,216.57001,218.42999,215.83,217.92,478081
2020-12-16,214.14,216.11,212.95,215.48,516100
2020-12-15,213.72,214.21001,211.99001,213.63,349131
2020-12-14,209.75,214.83,209.07001,212.11,647589
2020-12-11,206.62,210.14,205.2,209.99001,406666
2020-12-10,204.06,208.63,202.05,207.75,460400
2020-12-09,210.85001,210.85001,203.64,204.41,653300
2020-12-08,205.25999,207.73,204.2,206.97,361015
2020-12-07,203.36,205.89999,203.36,205.25999,588780
2020-12-04,201.32001,204.53999,200.87,204.11,260851
2020-12-03,199.59,202.19,198.94,200.81,1022700
2020-12-02,200.45,202.14,199.72,200.24001,535500
2020-12-01,201.0,202.14,199.63,200.75,464600
2020-11-30,199.73,201.07001,196.62,200.72,1024491
2020-11-27,199.24001,200.89999,197.58,200.52,661400
2020-11-25,198.50999,199.75,197.5,198.72,741100
2020-11-24,196.5,197.92999,194.05,197.46001,634800
2020-11-23,197.3,197.49001,194.25,196.57001,387083
2020-11-20,196.39999,198.67,195.12,196.44,573200
2020-11-19,193.67999,198.55,191.74001,197.44,532700
2020-11-18,195.41,195.94,193.06,194.22,509144
2020-11-17,194.10001,196.42999,193.67999,194.50999,382000
2020-11-16,197.77,198.41,194.11,194.88,555044
2020-11-13,199.67,200.69501,197.12,198.50999,324054
2020-11-12,202.69,203.71001,197.59,198.97,417100
2020-11-11,201.59,204.75,200.57001,201.89999,583600
2020-11-10,200.0,201.5,196.63,199.98,861300
2020-11-09,207.5,211.84,203.42,203.46001,728593
2020-11-06,208.63,208.63,205.42999,206.67,505200
2020-11-05,207.23,209.11,205.8,208.32001,684400
2020-11-04,197.87,204.12,197.13,203.39,741000
2020-11-03,191.52,194.66,190.28,191.50999,599500
2020-11-02,193.25999,193.67,187.88,189.2,515146
2020-10-30,189.85001,192.10001,189.37,190.7,421760
2020-10-29,188.35001,193.83,188.35001,191.59,624800
2020-10-28,195.81,196.87,188.67,189.83,892300
2020-10-27,200.13,201.61,198.16,199.06,604277
2020-10-26,198.73,199.83,197.14999,198.58,1000992
2020-10-23,202.63,203.71001,197.12,200.8,1364374
2020-10-22,206.02,209.03999,203.75,207.86,645000
2020-10-21,204.46001,206.75999,203.75,205.56,512500
2020-10-20,204.06,206.27,203.0,203.96001,385400
2020-10-19,207.47,208.61,202.53,203.17,379569
2020-10-16,208.56,210.75,207.19,207.34,351500
2020-10-15,209.47,210.69,206.37,208.60001,436500
2020-10-14,215.69,217.55,211.42999,212.19,350922
2020-10-13,214.88,218.0,214.08,215.98,383110
2020-10-12,212.22,216.23,210.53,214.14999,472384
2020-10-09,207.03,210.07001,206.72,209.55,315680
2020-10-08,204.45,206.41,204.17999,205.53999,247256
2020-10-07,202.28,204.64999,201.23,203.82001,380400
2020-10-06,203.3,206.41,201.17,202.09,587700
2020-10-05,202.42,204.045,201.05,203.45,438252
2020-10-02,203.46001,205.00999,200.85001,202.25999,416542
2020-10-01,206.52,208.17,206.03999,207.22,272124
2020-09-30,205.03,207.36,203.60001,204.85001,637700
2020-09-29,204.57001,206.2,204.27,204.91,402655
2020-09-28,208.33,208.33,202.72,204.72,601629
2020-09-25,202.67,206.53,200.56,205.84,305805
2020-09-24,199.78999,204.42,198.96001,202.00999,447100
2020-09-23,205.33,206.25999,199.47,200.22,608119
2020-09-22,204.19,205.85001,201.44,205.53,439937
2020-09-21,202.74001,203.73,200.00999,202.88,573597
2020-09-18,204.14999,206.505,202.88,204.87,956229
2020-09-17,199.19,203.55,198.78,203.5,636794
2020-09-16,205.74001,207.52,202.75999,203.11,401408
2020-09-15,203.62,204.85001,202.005,204.33,765540
2020-09-14,200.58,203.2457,200.23,202.0,588672
2020-09-11,198.0,200.75,195.10001,198.11501,586659
2020-09-10,200.19,200.8475,195.0,198.0,703900
2020-09-09,199.23,201.69,195.64999,200.33,500629
2020-09-08,199.09,199.5,194.95,196.89999,803042
2020-09-04,207.42999,209.17999,200.73,203.53999,851114
2020-09-03,220.08,220.13,205.96001,207.85001,1058312
2020-09-02,217.0,220.505,217.0,219.57001,658854
2020-09-01,215.50999,215.94,213.03,215.91,504434
2020-08-31,209.35001,215.72,209.11,214.8,706007
2020-08-28,208.03999,208.55499,206.13,208.22,321914
2020-08-27,209.97,209.97,207.13,207.87,319511
2020-08-26,206.84,209.38,205.94501,208.50999,502790
2020-08-25,205.89,207.98531,205.42,205.89999,456490
2020-08-24,206.405,208.0,206.0,207.14,305954
2020-08-21,207.25999,207.5,205.35001,206.73,701608
2020-08-20,204.95,208.74001,204.8,208.14999,533864
2020-08-19,207.47,207.98,205.66,206.23,562098
2020-08-18,207.87,208.95,206.58,206.99001,473358
2020-08-17,207.82001,209.14,206.36,206.81,491897
2020-08-14,210.92999,211.19,206.52,207.28,410080
2020-08-13,205.22,211.73,205.22,210.33,567774
2020-08-12,202.14,205.47,202.05,205.17999,469885
2020-08-11,206.83,206.86,201.5103,201.84,514274
2020-08-10,210.0,210.0,205.09,206.38,395940
2020-08-07,211.31,212.19,208.82001,210.39999,332530
2020-08-06,211.47,213.69949,208.87,211.8,456028
2020-08-05,215.0,215.75,211.14,212.16,417185
2020-08-04,211.87,214.72,211.34,214.5,630853
2020-08-03,211.63,213.23,211.14,212.23,328235
2020-07-31,209.19,211.73,208.17999,211.67999,419668
2020-07-30,205.19,208.99001,204.45,208.53,475537
2020-07-29,206.83,211.14999,206.83,208.87,472667
2020-07-28,209.47,210.39999,206.19,206.45,523240
2020-07-27,208.25999,210.845,207.175,209.84,479996
2020-07-24,207.10001,213.0,204.575,208.7,1145714
2020-07-23,206.12,210.41,204.89,205.92,1251445
2020-07-22,205.87,207.25,204.69501,205.74001,481836
2020-07-21,208.10001,208.77499,204.23,205.03,662245
2020-07-20,200.0,208.63,199.45,207.66,687391
2020-07-17,199.42999,201.37,198.0,199.52,530883
2020-07-16,198.0,198.96001,197.48,198.23,166105
2020-07-15,199.99001,201.31,198.53,199.19,649000
2020-07-14,199.22,200.95,196.34,198.62,115158
2020-07-13,210.985,211.19,200.7,201.16,136308
2020-07-10,211.78,212.22,209.48,209.8,109678
2020-07-09,210.92,213.62,209.60001,212.61,91593
2020-07-08,211.95,213.03999,209.03,210.81,102377
2020-07-07,211.11,216.66,210.75999,210.86,113856
2020-07-06,213.67999,216.00999,211.63,212.2,117298
2020-07-02,209.49001,213.78999,209.49001,211.03,130151
2020-07-01,206.13,211.49001,205.925,210.48,371754
2020-06-30,203.39,207.98,203.32001,206.83,502900
2020-06-29,205.10001,205.61,200.45,204.10001,445949
2020-06-26,204.71001,207.42999,201.58,203.64,889500
2020-06-25,202.39999,205.45,197.95,205.45,120600
2020-06-24,205.42999,208.3,201.58,202.72,159710
2020-06-23,207.89,209.31,206.44,207.19,198109
2020-06-22,205.14999,206.67999,204.13,205.8,100869
2020-06-19,209.05,210.57001,204.17999,205.3,189539
2020-06-18,209.28,209.28,206.06,207.23,121626
2020-06-17,208.55,210.39,207.8,209.02,153876
2020-06-16,210.0,210.13,205.39999,207.39999,129682
2020-06-15,201.78999,207.11,200.505,205.86,143442
2020-06-12,207.32001,208.64,200.96001,204.17,146255
2020-06-11,211.48,213.10001,203.97,204.16,181124
2020-06-10,214.16,216.14,212.42999,213.22,143263
2020-06-09,214.75999,215.155,212.78999,213.42,203894
2020-06-08,208.12,214.48,205.81,214.27,140927
