datetime,open,high,low,close,volume
2021-01-29,46.93,47.39,45.52,46.07,2429978
2021-01-28,46.12,48.46,45.96,47.19,2993600
2021-01-27,46.72,47.17,45.4,46.1,2468300
2021-01-26,47.96,48.82,46.88,47.23,1680300
2021-01-25,48.9,49.79,47.7622,47.91,2211887
2021-01-22,48.24,49.42,48.0,49.13,2438100
2021-01-21,48.33,48.75,47.41,48.58,2367800
2021-01-20,47.41,49.3,47.1,48.73,2575800
2021-01-19,48.63,48.86,47.0153,47.77,2707454
2021-01-15,48.31,49.32,47.9,48.98,2581800
2021-01-14,48.4,48.89,48.11,48.47,1017500
2021-01-13,46.76,48.32,46.76,48.1,1203100
2021-01-12,46.4,46.99,45.99,46.7,2159100
2021-01-11,46.86,47.23,45.8445,46.2,1319083
2021-01-08,46.86,47.39,46.37,47.14,1338500
2021-01-07,48.21,48.21,46.65,47.44,1776400
2021-01-06,47.52,49.07,47.47,48.37,2596400
2021-01-05,47.13,47.89,46.82,47.44,2120000
2021-01-04,48.98,49.2,46.82,46.88,1712146
2020-12-31,48.42,49.08,47.8,49.04,1701400
2020-12-30,48.99,49.83,48.57,48.86,1382000
2020-12-29,49.41,49.73,48.75,49.03,1713600
2020-12-28,49.32,49.36,48.6,49.36,1313938
2020-12-24,49.21,49.54,48.85,49.19,529400
2020-12-23,49.58,49.96,48.62,48.99,1411800
2020-12-22,48.98,49.62,48.7,49.24,2458800
2020-12-21,49.84,50.15,48.69,48.83,2232073
2020-12-18,51.11,51.92,50.2076,50.88,3326340
2020-12-17,50.88,51.54,50.32,51.47,1906676
2020-12-16,49.99,50.8,49.54,50.74,1835600
2020-12-15,48.18,49.98,47.49,49.96,1576842
2020-12-14,49.27,49.44,47.8,47.84,2191913
2020-12-11,48.8,49.41,48.26,49.05,1459367
2020-12-10,49.25,49.91,48.6,48.83,2017300
2020-12-09,49.06,49.76,48.37,49.53,1547700
2020-12-08,49.02,49.67,48.78,49.11,1312627
2020-12-07,49.14,49.72,48.47,49.09,1678792
2020-12-04,48.95,49.61,48.84,49.47,1092671
2020-12-03,47.53,49.34,47.24,48.82,1715800
2020-12-02,47.75,48.0,47.17,47.68,1572000
2020-12-01,48.52,49.07,47.89,48.02,1683500
2020-11-30,48.94,49.28,47.81,47.91,2677124
2020-11-27,49.34,49.42,47.64,47.9,874600
2020-11-25,50.02,50.2,49.12,49.23,1513200
2020-11-24,49.61,50.87,49.37,50.34,1502100
2020-11-23,48.82,49.8,48.55,48.79,3197812
2020-11-20,48.51,48.78,47.8,48.72,2098400
2020-11-19,48.0,48.76,47.04,48.62,3048800
2020-11-18,50.59,50.79,48.2,48.2,2506768
2020-11-17,50.04,51.07,49.0,50.49,2178500
2020-11-16,52.22,52.7,50.2,51.0,2566999
2020-11-13,48.29,50.25,47.99,50.09,2627062
2020-11-12,48.17,48.42,46.64,47.75,3387400
2020-11-11,48.25,48.54,46.91,48.43,3189900
2020-11-10,47.23,49.35,47.11,48.39,5187000
2020-11-09,43.49,52.5,42.83,46.85,9126143
2020-11-06,41.43,42.4,39.26,39.64,2557900
2020-11-05,42.03,42.15,41.04,41.12,2762700
2020-11-04,42.94,42.95,41.55,41.67,2917800
2020-11-03,41.58,43.33,41.42,42.98,2649300
2020-11-02,39.82,40.99,39.355,40.97,2193992
2020-10-30,39.77,40.22,38.83,39.47,2122800
2020-10-29,38.57,40.24,37.83,39.9,2717700
2020-10-28,39.0,39.77,38.75,38.84,2065400
2020-10-27,40.91,41.32,39.95,39.96,1661095
2020-10-26,41.91,41.91,40.315,40.96,2323702
2020-10-23,43.12,43.79,42.17,42.245,1600043
2020-10-22,41.38,42.99,41.15,42.86,2040500
2020-10-21,41.32,41.6,40.71,41.15,2811000
2020-10-20,41.66,42.26,41.43,41.67,2099500
2020-10-19,42.92,42.92,41.07,41.27,2397705
2020-10-16,43.18,43.81,42.16,42.7,3635800
2020-10-15,43.54,44.95,43.08,43.56,2884600
