datetime,open,high,low,close,volume
2021-01-29,55.0,55.27,54.475,54.75,26229985
2021-01-28,55.0,56.33,55.0,55.37,23985800
2021-01-27,56.64,56.96,55.06,55.13,37210700
2021-01-26,56.99,57.28,56.41,56.57,37870700
2021-01-25,57.47,58.62,57.18,58.42,21962851
2021-01-22,57.17,57.69,56.76,57.47,16358900
2021-01-21,57.19,57.51,57.05,57.27,13601500
2021-01-20,57.01,57.39,56.66,57.26,19919100
2021-01-19,57.44,57.58,56.98,57.05,18821289
2021-01-15,56.78,57.5,56.71,57.38,15765900
2021-01-14,56.89,57.43,56.66,57.04,18336700
2021-01-13,57.22,57.25,56.88,57.06,16979500
2021-01-12,57.27,57.45,56.69,57.26,22696200
2021-01-11,57.75,58.05,57.285,57.46,14568609
2021-01-08,58.23,58.36,57.37,57.8,28408000
2021-01-07,58.27,58.76,58.08,58.53,19077600
2021-01-06,58.81,59.54,58.54,59.29,22661900
2021-01-05,58.86,59.09,58.46,58.58,16211700
2021-01-04,58.96,59.145,58.44,58.85,17510960
2020-12-31,58.06,58.8,58.02,58.75,12900600
2020-12-30,58.83,58.94,58.06,58.14,18251700
2020-12-29,59.03,59.24,58.64,58.81,15684100
2020-12-28,59.16,59.18,58.65,58.98,15095728
2020-12-24,59.08,59.08,58.66,58.84,8072740
2020-12-23,59.2,59.28,58.89,58.96,14012100
2020-12-22,59.32,59.42,58.86,58.99,12951500
2020-12-21,60.06,60.13,59.2819,59.49,17370888
2020-12-18,60.0,60.78,59.79,60.48,15819312
2020-12-17,59.98,60.1482,59.61,60.01,9403876
2020-12-16,60.2,60.45,59.67,59.91,17164300
2020-12-15,60.09,60.74,59.97,60.56,12393213
2020-12-14,60.61,61.06,59.77,59.98,14210933
2020-12-11,60.07,60.53,59.97,60.37,11158162
2020-12-10,61.26,61.35,60.33,60.51,15462000
2020-12-09,61.45,61.82,61.09,61.46,14948300
2020-12-08,61.16,61.7,60.875,61.46,10928031
2020-12-07,61.52,61.7,61.175,61.35,12531312
2020-12-04,61.63,61.79,61.265,61.575,8791463
2020-12-03,61.11,61.83,61.04,61.74,11931800
2020-12-02,61.4,61.95,61.01,61.36,14167500
2020-12-01,60.43,60.92,60.28,60.58,14282600
2020-11-30,60.32,60.6,60.185,60.41,21622517
2020-11-27,60.52,60.74,60.41,60.58,5763700
2020-11-25,60.67,60.74,60.33,60.41,10599800
2020-11-24,60.6,60.8,60.36,60.64,15481400
2020-11-23,60.01,60.39,60.0,60.23,11600071
2020-11-20,60.21,60.33,59.95,60.04,14225400
2020-11-19,60.4,60.44,59.9,60.21,12659500
2020-11-18,61.13,61.15,60.3,60.32,11695800
2020-11-17,60.56,61.02,60.36,60.75,11697000
2020-11-16,60.81,61.46,60.695,60.89,14249231
2020-11-13,60.67,61.185,60.38,61.055,8492034
2020-11-12,60.91,61.01,60.34,60.79,13293300
2020-11-11,61.29,61.35,60.47,61.0,12191000
2020-11-10,60.28,61.41,60.2,61.1,22049300
2020-11-09,60.04,60.58,59.51,59.84,24263609
2020-11-06,58.08,58.75,58.01,58.53,11982800
2020-11-05,58.01,58.97,57.8,58.15,20149900
