datetime,open,high,low,close,volume
2021-01-29,74.75,75.505,73.41,74.21,1065814
2021-01-28,75.37,76.36,74.35,74.86,1067700
2021-01-27,75.43,75.98,73.44,74.57,1223400
2021-01-26,79.99,80.1,76.64,76.81,1047300
2021-01-25,80.07,80.64,78.9,79.13,1164577
2021-01-22,80.34,80.79,79.52,80.47,692500
2021-01-21,80.79,81.71,80.41,80.86,804500
2021-01-20,82.12,82.2,80.98,81.28,782700
2021-01-19,82.68,83.6,81.62,81.63,1036455
2021-01-15,83.29,83.29,80.48,81.9,965100
2021-01-14,83.12,83.9,82.5,83.7,1050500
2021-01-13,83.58,84.32,82.19,82.7,1178600
2021-01-12,82.04,84.31,81.34,83.58,1465000
2021-01-11,80.59,81.93,80.23,81.67,1052125
2021-01-08,82.11,82.72,80.58,81.23,1364800
2021-01-07,79.19,82.25,79.15,81.94,1738500
2021-01-06,74.92,79.79,74.7,79.15,2063100
2021-01-05,72.23,74.68,72.23,73.56,1219000
2021-01-04,73.45,74.22,72.34,72.65,1542078
2020-12-31,72.71,73.45,71.99,73.2,714900
2020-12-30,72.55,73.07,72.06,72.4,691200
2020-12-29,73.03,73.16,71.25,72.17,824400
2020-12-28,73.73,74.0,72.52,72.59,584059
2020-12-24,73.3,73.42,72.13,73.31,218200
2020-12-23,72.49,73.23,71.47,72.86,952000
2020-12-22,73.0,73.2,71.87,72.21,789500
2020-12-21,71.74,73.19,71.56,73.0,901957
2020-12-18,73.5,73.82,72.51,73.43,792623
2020-12-17,74.13,74.36,72.77,73.53,973810
2020-12-16,74.74,74.8,73.19,73.65,1078100
2020-12-15,74.15,74.99,73.8,74.7,1199478
2020-12-14,75.48,76.0,73.21,73.26,1110614
2020-12-11,75.0,75.49,74.36,74.84,554946
2020-12-10,75.82,76.5,75.21,75.4,1161800
2020-12-09,76.55,77.17,75.67,76.5,1147000
2020-12-08,75.58,76.85,75.5,76.51,1084527
2020-12-07,75.48,75.88,74.7,75.68,1424213
2020-12-04,73.88,75.63,73.88,75.52,837715
2020-12-03,73.02,73.53,72.52,73.13,774600
2020-12-02,72.0,72.78,71.74,72.58,771000
2020-12-01,74.8,74.84,72.2,72.3,1612700
2020-11-30,73.3,73.63,72.39,73.3,1316211
2020-11-27,73.73,74.43,73.25,73.82,701100
2020-11-25,75.43,75.61,73.93,74.09,720800
2020-11-24,74.57,77.22,74.21,76.21,2260000
2020-11-23,71.36,73.56,71.295,73.55,809004
2020-11-20,72.04,72.28,70.4,70.98,1030500
2020-11-19,71.97,72.56,71.16,72.35,1033700
2020-11-18,71.585,73.29,71.41,72.63,1435789
2020-11-17,70.44,71.8,69.94,71.39,1269300
2020-11-16,72.5,72.9,70.89,71.57,2129148
2020-11-13,68.71,70.09,68.53,69.58,1806951
2020-11-12,67.27,68.47,67.01,67.93,1383200
2020-11-11,69.54,69.54,67.17,68.11,1033600
2020-11-10,68.93,69.69,67.99,69.01,3502900
2020-11-09,66.54,76.11,64.87,68.61,4953691
2020-11-06,62.23,62.59,60.95,61.13,2418600
2020-11-05,62.55,63.95,62.2,62.4,1790000
2020-11-04,64.77,64.85,61.71,61.71,2202000
2020-11-03,62.71,66.23,62.29,65.62,1708300
2020-11-02,60.45,62.03,59.8999,61.68,1715114
2020-10-30,58.62,60.0,58.0,59.3,1784300
2020-10-29,59.4,59.6,56.17,58.75,3257600
2020-10-28,57.0,57.78,55.83,56.17,2884900
2020-10-27,60.04,60.04,58.51,58.65,765924
2020-10-26,61.19,61.3,59.09,60.27,894104
2020-10-23,62.99,63.45,61.97,62.08,563564
2020-10-22,62.4,62.63,61.75,62.42,1173400
2020-10-21,62.98,63.8,62.08,62.1,828600
2020-10-20,62.79,64.19,62.28,63.16,853900
2020-10-19,63.44,63.99,61.96,62.1,819033
2020-10-16,63.76,64.31,63.24,63.33,554300
2020-10-15,63.28,63.95,62.64,63.51,955200
2020-10-14,64.32,65.04,64.12,64.27,567973
2020-10-13,62.74,64.46,62.74,64.01,1178882
2020-10-12,64.78,64.98,62.91,62.96,1299097
2020-10-09,65.17,65.61,63.88,64.52,766374
2020-10-08,65.28,65.33,63.74,64.83,575641
2020-10-07,64.31,65.27,63.9,64.62,747700
2020-10-06,65.0,66.05,63.63,63.73,896200
2020-10-05,63.43,64.57,63.34,64.43,676785
2020-10-02,59.34,63.34,59.34,62.73,667675
2020-10-01,62.06,62.55,60.22,60.74,1276048
2020-09-30,62.9,63.77,61.5,61.88,1143500
2020-09-29,62.72,63.115,61.81,62.47,398797
2020-09-28,61.89,63.54,61.805,62.96,834091
2020-09-25,59.72,61.03,59.57,60.6,560852
2020-09-24,60.14,61.44,59.28,60.34,774983
2020-09-23,62.3,62.728,60.13,60.35,1365232
2020-09-22,62.58,63.11,61.27,62.18,1205618
2020-09-21,66.37,66.37,62.41,62.94,1991151
2020-09-18,68.55,69.56,67.71,67.79,1090841
2020-09-17,67.3,68.9,66.65,68.82,754049
2020-09-16,67.215,68.77,66.53,68.02,1055716
2020-09-15,68.06,68.6202,66.78,66.85,609284
2020-09-14,67.6,68.36,67.05,67.99,1463968
2020-09-11,67.35,68.26,67.06,67.49,455901
2020-09-10,68.62,68.94,67.09,67.29,641551
2020-09-09,67.91,68.97,67.39,68.4,684080
2020-09-08,68.11,68.935,67.22,67.65,766343
2020-09-04,69.2,69.72,67.85,69.04,1065997
2020-09-03,69.59,70.44,67.32,67.96,787730
2020-09-02,68.73,69.74,68.26,69.26,848293
2020-09-01,66.27,69.09,66.13,68.94,1206623
2020-08-31,66.93,67.15,66.16,66.53,910547
2020-08-28,66.6,67.39,66.17,67.08,499328
2020-08-27,67.02,67.5,66.16,66.2,615293
2020-08-26,66.125,67.82,65.52,66.76,1046168
2020-08-25,66.52,67.15,64.945,65.64,1451312
2020-08-24,65.07,66.5,64.6878,65.92,906931
2020-08-21,65.56,65.93,64.76,64.78,782727
2020-08-20,65.4,65.8484,64.94,65.32,692738
2020-08-19,66.685,67.27,65.94,66.04,677522
2020-08-18,68.31,68.56,66.4,66.555,1129596
2020-08-17,69.08,69.83,67.9,68.47,640465
2020-08-14,68.315,70.23,68.255,69.53,486630
2020-08-13,68.98,69.7647,68.39,69.0,792623
2020-08-12,71.23,71.375,69.175,69.88,1040204
2020-08-11,71.39,72.87,70.26,70.57,1555056
2020-08-10,67.65,70.425,67.42,70.29,1862239
2020-08-07,64.345,67.24,64.33,67.23,891937
2020-08-06,62.94,64.58,62.69,64.56,892364
2020-08-05,62.29,63.47,62.09,62.9,1161365
2020-08-04,61.43,62.11,61.365,61.69,934543
2020-08-03,62.16,62.2,61.3,61.47,1064170
2020-07-31,63.1,63.1,61.24,62.2,941090
2020-07-30,64.083,64.083,62.83,63.115,909736
2020-07-29,64.435,65.65,63.65,65.28,833377
2020-07-28,63.02,66.96,63.0,64.25,2582959
2020-07-27,61.58,62.84,61.58,62.01,1063674
2020-07-24,61.725,62.54,61.665,61.88,895823
2020-07-23,61.335,61.95,60.31,61.76,1472159
2020-07-22,60.2479,61.76,60.2479,61.61,1104769
2020-07-21,59.35,61.59,59.35,60.79,717895
2020-07-20,60.15,61.04,59.26,59.38,724607
2020-07-17,61.32,61.82,60.61,60.78,556621
2020-07-16,61.48,62.38,61.01,61.46,152872
2020-07-15,60.86,62.23,60.84,61.67,130690
2020-07-14,58.1,59.49,57.41,59.35,128245
2020-07-13,58.0,59.44,57.29,58.45,128847
2020-07-10,56.92,57.9972,56.61,57.64,164953
2020-07-09,57.21,57.26,55.59,56.61,186908
2020-07-08,57.73,58.14,56.6025,57.525,136572
2020-07-07,59.82,59.82,57.6175,57.7,202129
2020-07-06,59.98,60.5,59.005,60.47,150162
2020-07-02,59.1,61.0449,58.53,58.69,188685
2020-07-01,57.94,58.5,56.6,58.0,2275681
2020-06-30,56.93,58.07,56.33,57.57,2394600
2020-06-29,57.0,57.96,56.54,57.35,2117724
2020-06-26,57.85,57.89,55.6,55.85,2699000
2020-06-25,57.75,58.455,56.83,58.12,434990
2020-06-24,60.45,60.45,58.25,58.31,367990
2020-06-23,61.35,61.91,60.58,61.47,252627
2020-06-22,59.99,61.11,58.825,60.74,305617
2020-06-19,62.28,62.3,59.3,60.185,256253
2020-06-18,60.9,62.07,60.1,61.13,173279
2020-06-17,62.93,63.52,61.135,61.25,244611
2020-06-16,64.59,65.345,62.365,62.93,404347
2020-06-15,59.0,61.82,57.7834,61.76,305093
2020-06-12,62.58,63.25,59.62,60.89,547048
2020-06-11,62.49,62.49,59.94,60.0,336863
2020-06-10,68.44,68.52,65.13,65.17,310271
2020-06-09,70.74,70.74,69.07,69.12,277549
2020-06-08,71.89,72.75,71.2,72.08,480413
2020-06-05,71.37,72.72,70.37,70.68,1966500
2020-06-04,65.32,67.97,65.23,67.38,1159500
