datetime,open,high,low,close,volume
2021-01-29,50.24,51.41,49.85,50.25,10489355
2021-01-28,50.55,51.95,50.44,50.68,6283800
2021-01-27,51.52,55.49,50.47,51.18,15934200
2021-01-26,47.76,49.29,47.55,49.19,5323200
2021-01-25,46.69,47.94,46.3005,47.82,5428372
2021-01-22,46.83,47.46,46.14,47.45,4676300
2021-01-21,47.79,47.9,46.7,47.07,5624400
2021-01-20,47.96,48.17,47.06,48.09,5728200
2021-01-19,49.27,49.27,47.935,48.15,5860575
2021-01-15,48.7,49.27,48.43,48.92,7425600
2021-01-14,49.19,49.66,48.57,49.32,7418500
2021-01-13,49.03,49.55,47.72,48.94,10241200
2021-01-12,47.99,48.48,47.32,47.96,6649800
2021-01-11,45.73,47.84,45.59,47.7,10763768
2021-01-08,45.05,46.47,44.62,45.21,9889200
2021-01-07,44.04,46.71,43.11,45.26,15545100
2021-01-06,42.21,43.43,41.87,43.03,12487500
2021-01-05,41.5,42.04,40.77,41.16,7426700
2021-01-04,40.1706,41.56,39.94,41.4,9101845
2020-12-31,39.33,40.0,39.03,39.88,7689500
2020-12-30,39.52,39.73,39.2,39.34,4191600
2020-12-29,39.81,40.34,39.24,39.41,3998600
2020-12-28,39.68,40.29,39.31,39.66,4714499
2020-12-24,39.97,40.01,39.075,39.62,2681986
2020-12-23,39.47,40.24,39.44,39.87,4197000
2020-12-22,40.6,40.61,39.17,39.27,8079800
2020-12-21,40.55,41.02,40.16,40.67,4575217
2020-12-18,41.0,41.1774,40.4,40.7,6089033
2020-12-17,40.83,40.96,40.35,40.89,4805008
2020-12-16,41.4,41.4,40.24,40.44,7865500
2020-12-15,41.54,42.01,41.19,41.34,4684188
2020-12-14,42.05,42.14,41.2,41.48,6695702
2020-12-11,41.6,41.665,40.85,41.54,5071988
2020-12-10,41.37,42.04,41.28,41.65,4852200
2020-12-09,42.53,42.62,41.46,41.77,6504500
2020-12-08,41.91,42.47,41.655,41.97,5344702
2020-12-07,43.18,43.33,42.07,42.43,6127194
2020-12-04,43.1261,43.45,41.7286,43.41,10248926
2020-12-03,39.99,43.67,39.97,42.82,17226700
2020-12-02,38.5,40.1,38.39,39.84,8342700
2020-12-01,38.38,39.2,38.31,38.46,8002200
2020-11-30,39.01,39.1,37.89,38.01,13859287
2020-11-27,39.24,39.24,38.61,39.0,2647739
2020-11-25,38.5,39.18,38.07,39.07,6641400
2020-11-24,38.42,38.59,37.7,38.52,8786000
2020-11-23,37.68,38.0399,37.226,37.98,7705240
2020-11-20,37.41,38.08,37.14,37.53,9018500
2020-11-19,38.13,38.44,37.02,37.85,12773200
2020-11-18,39.77,39.87,38.22,38.23,13094662
2020-11-17,39.91,40.77,39.56,39.85,25087600
2020-11-16,43.79,44.87,43.72,44.1,7835779
2020-11-13,41.062,42.74,40.94,42.71,5508904
2020-11-12,41.07,41.24,40.17,40.77,5858400
2020-11-11,42.52,42.75,41.31,41.44,7337600
2020-11-10,39.8,43.76,39.55,42.35,18127200
2020-11-09,39.48,40.71,38.55,39.785,12109936
2020-11-06,37.69,38.17,37.17,37.31,6370700
2020-11-05,36.32,37.59,36.07,37.53,6100600
2020-11-04,36.85,37.68,36.23,36.3,8559700
2020-11-03,36.37,37.62,36.32,37.37,7852400
2020-11-02,34.53,35.805,34.37,35.79,7448070
2020-10-30,33.37,34.05,33.36,34.04,10511600
2020-10-29,34.37,34.48,33.46,33.52,9193000
2020-10-28,35.24,35.83,34.54,34.59,7282800
2020-10-27,37.0,37.29,35.92,35.98,5028530
2020-10-26,37.89,38.0,37.0,37.21,7342643
2020-10-23,37.6975,38.075,37.57,38.05,3249599
2020-10-22,37.53,37.67,37.16,37.51,4082200
2020-10-21,37.37,37.87,36.97,37.39,3706200
2020-10-20,37.15,37.77,36.72,37.49,6033700
