datetime,open,high,low,close,volume
2021-01-29,58.66,60.68,55.12,56.43,15496407
2021-01-28,53.55,53.88,52.07,52.65,6646100
2021-01-27,51.0,55.44,50.78,53.19,8686400
2021-01-26,51.79,52.6,51.49,52.06,3656300
2021-01-25,50.7,51.36,50.1782,51.28,3260978
2021-01-22,52.08,52.36,50.16,50.71,5235300
2021-01-21,51.87,53.84,51.83,53.51,4350500
2021-01-20,52.58,52.92,51.38,51.82,2937500
2021-01-19,51.48,52.16,50.7,51.99,3607320
2021-01-15,50.19,52.12,49.98,51.21,5864800
2021-01-14,49.56,51.13,48.94,50.37,4605000
2021-01-13,49.49,49.75,48.62,49.47,6431900
2021-01-12,51.49,51.73,49.75,49.9,4916300
2021-01-11,50.85,52.1951,50.61,51.56,3540138
2021-01-08,55.39,55.45,51.27,51.82,7542000
2021-01-07,54.1,55.39,53.91,54.74,4400900
2021-01-06,53.05,54.6,52.64,53.41,4520100
2021-01-05,52.66,54.01,52.65,53.06,3866600
2021-01-04,54.95,55.32,52.04,52.23,7498225
2020-12-31,49.9,55.95,49.81,55.39,15467500
2020-12-30,48.28,50.29,48.28,49.53,3964800
2020-12-29,50.64,50.64,48.23,48.29,4621200
2020-12-28,50.59,50.97,49.63,50.06,2642196
2020-12-24,50.31,50.38,49.35,49.92,1224500
2020-12-23,49.95,50.6,49.41,49.93,2683300
2020-12-22,52.21,52.39,49.68,49.72,4112600
2020-12-21,51.615,52.46,51.45,52.21,3817443
2020-12-18,53.6409,54.59,52.96,53.19,4406537
2020-12-17,53.21,53.51,52.862,53.47,2624861
2020-12-16,53.7,53.94,52.86,53.02,2984600
2020-12-15,52.17,53.59,51.88,53.59,4234079
2020-12-14,51.795,52.3933,51.04,51.14,3521671
2020-12-11,50.6,51.71,50.58,51.1,2794846
2020-12-10,49.99,51.96,49.91,51.61,3740500
2020-12-09,52.6,53.21,50.6,51.1,4665000
2020-12-08,50.81,52.46,50.7683,52.4296,3203060
2020-12-07,51.9352,52.48,50.95,51.14,4607582
2020-12-04,49.0,51.82,48.91,51.75,6099239
2020-12-03,48.12,49.01,47.64,48.48,4703700
2020-12-02,47.16,47.92,46.93,47.72,4515900
2020-12-01,45.47,48.12,45.36,47.27,6725900
2020-11-30,45.97,46.54,44.74,44.88,4834136
2020-11-27,45.3,46.22,45.29,45.85,1940137
2020-11-25,45.51,45.63,44.45,45.26,3207700
2020-11-24,45.09,45.95,44.65,45.84,4529700
2020-11-23,42.78,44.74,42.61,44.48,5795055
2020-11-20,42.58,43.16,42.4,42.42,2584300
2020-11-19,42.14,42.67,41.8,42.61,2610500
2020-11-18,42.82,43.43,42.47,42.49,3901900
2020-11-17,43.02,43.17,42.16,42.72,3660100
2020-11-16,42.64,43.59,42.19,43.58,5485794
2020-11-13,39.8,41.57,39.72,41.46,4403404
2020-11-12,40.28,40.46,38.96,39.31,4067400
2020-11-11,41.67,41.93,40.36,40.6,3639400
2020-11-10,41.4,41.9,40.91,41.27,3961100
2020-11-09,41.5,42.94,41.16,41.48,5957574
2020-11-06,39.3,40.07,39.1,39.81,3047200
2020-11-05,37.75,39.24,37.73,39.15,4546000
2020-11-04,37.81,37.93,36.7,37.51,4177300
2020-11-03,37.63,38.09,37.31,37.48,4316400
2020-11-02,38.09,38.09,36.59,37.03,5193259
2020-10-30,37.98,38.24,36.97,37.73,5068300
2020-10-29,38.0,38.72,37.38,38.1,5829129
2020-10-28,38.63,39.6,38.6,38.81,5625700
2020-10-27,40.33,40.76,40.12,40.3,3631843
2020-10-26,41.34,41.47,39.845,40.495,4886861
2020-10-23,42.51,42.74,41.315,41.71,5522717
2020-10-22,42.09,43.77,41.65,42.94,6099500
2020-10-21,41.78,42.52,41.69,42.06,6867900
2020-10-20,40.9,41.84,40.8,41.41,7436400
2020-10-19,38.25,41.9552,38.04,40.92,17145050
2020-10-16,38.09,38.91,37.58,37.94,17425700
2020-10-15,37.16,38.03,36.84,38.0,3674800
2020-10-14,38.1,38.34,37.63,37.74,2971048
2020-10-13,38.45,38.98,37.745,37.86,3823275
2020-10-12,38.08,38.46,37.6,38.32,5258784
2020-10-09,39.275,39.55,37.97,38.1303,4379448
2020-10-08,37.9759,38.82,37.89,38.69,4191361
2020-10-07,36.99,37.82,36.71,37.55,5257500
2020-10-06,36.63,37.12,36.17,36.26,4738700
2020-10-05,36.23,36.94,36.2101,36.57,5200353
2020-10-02,35.51,36.58,35.29,35.96,4758798
2020-10-01,36.82,37.02,36.09,36.33,7107033
2020-09-30,37.78,38.02,36.47,36.55,14128100
2020-09-29,38.45,40.05,38.45,39.32,6206376
2020-09-28,38.8466,39.24,38.3975,38.62,5223753
2020-09-25,37.4,38.51,36.95,38.48,3475973
2020-09-24,38.45,38.64,37.41,37.535,5034961
2020-09-23,38.6182,41.12,38.56,38.92,12912960
2020-09-22,36.37,36.62,35.99,36.47,2821239
2020-09-21,36.45,36.47,35.565,36.095,4230868
2020-09-18,38.32,38.39,36.69,37.2189,4265576
2020-09-17,37.77,38.69,37.4,38.28,3422884
2020-09-16,38.0504,39.39,38.03,38.78,5268431
2020-09-15,39.09,39.09,37.58,37.785,4420431
2020-09-14,38.0,39.0,38.0,38.94,8435762
2020-09-11,36.5,37.81,36.26,37.37,5863608
2020-09-10,36.8,37.19,36.04,36.25,4658399
2020-09-09,36.67,36.85,35.63,36.55,5519408
2020-09-08,37.03,37.52,36.41,36.45,5195139
2020-09-04,37.63,38.38,37.09,38.16,6756601
2020-09-03,38.59,38.81,36.7,37.72,6658583
2020-09-02,37.68,39.26,37.68,38.86,6709795
2020-09-01,38.0535,38.25,36.831,37.35,5378381
2020-08-31,37.58,38.53,37.16,38.42,8423722
2020-08-28,35.4427,37.86,35.36,37.84,10809839
2020-08-27,34.5916,35.34,33.88,35.24,6442065
2020-08-26,34.55,34.61,34.04,34.295,3679482
2020-08-25,34.78,35.43,34.21,34.31,4581403
2020-08-24,34.09,34.625,33.73,34.54,5355207
2020-08-21,33.7104,33.9318,33.53,33.71,4345024
2020-08-20,33.8,34.355,33.61,34.1,4428291
2020-08-19,34.83,35.27,34.34,34.46,4836799
2020-08-18,35.66,35.66,34.575,34.72,5570195
2020-08-17,35.95,36.05,35.46,35.6,3060270
2020-08-14,35.7,36.07,35.43,35.75,4578910
2020-08-13,36.39,36.585,35.6301,35.75,7966632
2020-08-12,37.31,37.32,36.51,36.77,5749028
2020-08-11,37.6,38.13,36.88,36.98,5876831
2020-08-10,37.1243,37.78,36.72,37.36,7454314
2020-08-07,37.39,37.9,36.5,36.995,9807363
2020-08-06,39.036,39.2112,36.9,37.3,33231599
2020-08-05,45.26,45.31,44.0638,44.45,4398160
2020-08-04,43.43,44.78,43.39,44.76,3438175
2020-08-03,43.08,43.985,42.42,43.9,3712914
2020-07-31,42.91,43.14,42.03,43.1,3155933
2020-07-30,41.85,42.805,41.39,42.76,3260765
2020-07-29,42.09,42.95,41.84,42.42,5073418
2020-07-28,43.4,43.83,42.77,42.85,2838565
2020-07-27,43.24,43.755,42.56,43.73,3740641
2020-07-24,45.36,45.44,42.71,42.85,7634140
2020-07-23,43.9428,47.39,43.9428,46.16,10550012
2020-07-22,44.1,44.24,43.48,43.96,3015130
2020-07-21,43.96,44.959,43.81,44.17,3864455
2020-07-20,43.09,43.87,42.77,43.58,2739201
2020-07-17,44.15,44.15,43.04,43.4,1401890
2020-07-16,43.5727,44.26,43.19,43.81,493743
2020-07-15,42.99,44.18,42.68,44.07,4838700
2020-07-14,41.38,42.17,40.57,42.045,3878549
2020-07-13,42.7,43.1269,41.825,41.85,4530304
2020-07-10,42.12,42.49,41.46,42.31,3258700
2020-07-09,42.82,43.0,41.41,42.32,3713900
2020-07-08,41.91,42.8,41.59,42.78,366059
2020-07-07,42.4,42.84,41.5,41.72,4682700
2020-07-06,43.27,43.74,42.55,42.95,4176903
2020-07-02,43.06,43.39,42.19,42.47,501377
2020-07-01,44.01,44.13,42.045,42.45,6047562
2020-06-30,43.22,44.31,42.82,44.15,6924300
2020-06-29,41.09,42.22,40.6,41.99,3729060
2020-06-26,42.37,42.47,40.71,40.87,5736400
2020-06-25,41.89,42.69,41.37,42.57,1076772
2020-06-24,43.39,43.42,41.93,42.25,5720800
2020-06-23,45.43,45.49,43.3,43.51,1292554
2020-06-22,45.5,45.54,43.75,45.11,1284853
2020-06-19,43.4,45.0199,43.21,44.39,1899492
2020-06-18,43.2821,43.5195,42.47,42.85,908712
2020-06-17,44.87,44.87,43.51,43.7,973279
2020-06-16,45.0652,46.1,43.63,44.47,1395076
2020-06-15,41.47,43.17,40.788,42.94,1195383
2020-06-12,43.97,44.66,41.77,42.95,1197771
2020-06-11,44.62,44.67,42.33,42.37,2031426
2020-06-10,47.93,48.0,46.34,46.85,1210343
2020-06-09,47.39,48.11,46.89,47.83,1068825
2020-06-08,49.42,49.516,47.57,48.53,1393837
2020-06-05,48.19,49.88,47.41,48.46,7708200
2020-06-04,45.0,46.68,44.47,45.98,6973000
2020-06-03,45.05,45.81,44.69,45.44,4904000
2020-06-02,43.16,44.05,42.88,44.0,4428800
2020-06-01,43.4,43.78,42.78,43.08,4657700
2020-05-29,43.72,44.54,42.76,44.37,5368100
2020-05-28,45.46,45.56,43.48,43.62,4314300
2020-05-27,45.5,46.31,43.16,46.01,8902100
2020-05-26,44.36,45.79,43.87,45.07,5612600
2020-05-22,42.88,42.89,41.91,42.42,3430300
2020-05-21,42.71,43.35,41.95,42.69,4296700
2020-05-20,43.1,44.25,42.39,42.98,5737900
2020-05-19,42.3,42.95,41.51,41.74,4186700
2020-05-18,40.81,42.52,40.7,42.38,6082000
2020-05-15,39.04,39.81,38.6,39.21,5521700
2020-05-14,38.61,40.4,37.65,40.34,5743900
2020-05-13,40.8,40.97,38.84,39.25,6359100
2020-05-12,42.94,43.05,40.97,40.98,5158900
2020-05-11,43.33,43.33,41.85,42.39,5175000
2020-05-08,42.65,44.3,42.62,44.2,4858900
2020-05-07,41.43,42.08,41.06,41.85,4432500
2020-05-06,40.78,41.74,40.29,40.63,3930200
2020-05-05,40.52,41.95,40.14,40.34,6205900
2020-05-04,39.95,40.63,38.85,39.67,8890800
2020-05-01,40.5,41.44,38.42,40.48,25139100
2020-04-30,47.15,47.22,45.21,46.08,9183700
2020-04-29,46.0,48.83,45.29,47.73,8785600
2020-04-28,44.32,45.04,43.31,44.7,6040300
2020-04-27,41.29,43.25,41.21,43.09,4864800
2020-04-24,39.67,40.91,39.04,40.69,4208000
2020-04-23,40.06,40.63,39.01,39.39,5167500
2020-04-22,39.21,40.35,38.9,39.93,4630100
2020-04-21,38.56,38.99,37.69,37.83,6168100
2020-04-20,41.58,41.58,39.49,39.55,7781400
2020-04-17,43.14,43.16,41.66,42.32,5856700
2020-04-16,42.79,43.0,40.4,41.08,6075300
2020-04-15,43.15,43.59,41.8,42.65,5064100
2020-04-14,44.76,45.9,44.2,44.77,5780500
2020-04-13,44.27,44.81,42.81,43.76,5688600
2020-04-09,46.71,48.16,43.58,45.05,6497600
2020-04-08,43.76,45.92,43.51,45.34,4974300
2020-04-07,45.55,47.18,42.66,42.86,7256600
2020-04-06,40.64,43.68,40.64,43.31,6465800
2020-04-03,38.61,39.38,37.5,38.21,3422900
2020-04-02,38.56,40.69,37.43,38.4,5425100
2020-04-01,39.7,41.28,37.91,38.67,6616600
2020-03-31,43.1,44.13,41.07,41.62,6797300
2020-03-30,42.75,44.58,41.82,43.51,5753100
2020-03-27,42.36,43.68,40.57,42.25,6539200
2020-03-26,43.49,46.19,42.7,44.29,8747000
2020-03-25,40.8,45.41,38.94,41.63,9430300
2020-03-24,37.59,41.35,36.61,40.47,10365300
