datetime,open,high,low,close,volume
2021-01-29,89.06,90.1378,88.19,88.9,1085192
2021-01-28,90.56,92.3,89.48,89.5,1622400
2021-01-27,88.92,93.05,88.54,90.84,3078100
2021-01-26,89.14,89.68,87.59,89.34,1170400
2021-01-25,87.18,89.9,86.82,89.44,1138060
2021-01-22,87.95,87.95,86.83,87.38,1189000
2021-01-21,87.66,88.31,87.32,87.83,999800
2021-01-20,87.62,88.78,87.22,88.35,1232700
2021-01-19,89.01,89.24,87.7,87.87,1030419
2021-01-15,86.82,89.01,86.41,88.69,1354100
2021-01-14,87.99,88.12,86.11,86.86,1134200
2021-01-13,86.22,88.27,85.46,87.86,1308600
2021-01-12,85.76,86.49,84.44,85.27,1159200
2021-01-11,87.83,88.1,86.0608,86.9201,878378
2021-01-08,88.48,88.8,86.94,87.95,1488600
2021-01-07,91.28,91.54,88.11,88.26,1555000
2021-01-06,89.99,91.77,89.4,91.23,1624200
2021-01-05,90.36,90.75,88.97,90.09,1584200
2021-01-04,92.1,92.13,89.99,90.38,1511892
2020-12-31,90.5,92.08,90.19,92.03,1174800
2020-12-30,90.13,90.94,90.13,90.55,790400
2020-12-29,90.58,91.39,90.09,90.31,882600
2020-12-28,90.18,90.5,89.46,90.48,933473
2020-12-24,88.71,89.51,88.34,89.43,556530
2020-12-23,89.86,90.04,88.27,88.68,1331500
2020-12-22,89.97,90.2,89.17,89.47,1009400
2020-12-21,90.38,90.69,88.96,90.06,1123379
2020-12-18,92.23,92.7,90.62,91.35,781171
2020-12-17,92.2,93.53,92.07,92.21,886678
2020-12-16,93.1,94.11,92.17,92.27,1167700
2020-12-15,91.58,93.72,91.29,92.91,891916
2020-12-14,92.65,93.66,91.555,91.58,1069907
2020-12-11,91.97,92.31,91.15,92.22,1005680
2020-12-10,92.93,93.16,91.44,91.98,1195900
2020-12-09,93.43,93.81,92.08,92.74,1013200
2020-12-08,93.66,94.29,92.61,93.45,977660
2020-12-07,92.89,94.09,92.89,93.65,793165
2020-12-04,94.45,94.6273,92.75,93.29,776262
2020-12-03,95.18,95.78,94.1,94.38,1267500
2020-12-02,95.24,95.78,93.93,95.76,1050200
2020-12-01,95.74,96.55,95.16,95.6,1315600
2020-11-30,95.23,95.455,94.13,94.95,2659838
2020-11-27,96.05,96.35,94.91,95.74,840100
2020-11-25,96.6,97.37,94.83,96.0,1412900
2020-11-24,96.31,96.59,95.15,96.24,1331900
2020-11-23,96.35,96.515,95.23,95.8,1268225
2020-11-20,95.83,97.29,95.65,96.1,1710000
2020-11-19,96.3,96.36,94.38,95.55,1254200
2020-11-18,100.15,100.52,96.68,96.75,1294646
2020-11-17,102.85,103.54,99.97,100.18,1145700
2020-11-16,103.12,104.15,101.925,104.03,1435982
2020-11-13,102.49,103.53,101.8,102.18,750950
2020-11-12,103.57,103.58,101.72,102.45,909400
2020-11-11,105.31,105.97,103.86,104.43,1004500
2020-11-10,103.88,106.0,103.77,104.85,1251000
2020-11-09,104.7,106.85,103.63,103.83,1287407
2020-11-06,101.96,103.11,101.29,102.36,659400
2020-11-05,102.72,104.14,101.2,101.6,1556400
2020-11-04,103.78,105.6,101.8,101.81,1483200
2020-11-03,104.09,105.35,103.38,104.25,1499700
2020-11-02,101.68,103.47,101.056,103.14,1178637
2020-10-30,99.92,101.0,99.04,100.55,1393600
2020-10-29,99.52,101.69,98.27,100.42,1026000
2020-10-28,101.31,102.83,99.61,99.76,1378300
2020-10-27,102.18,103.485,101.7,102.47,598006
2020-10-26,101.95,102.45,100.731,102.21,595371
2020-10-23,101.8,102.52,101.63,102.18,495910
2020-10-22,100.87,101.98,100.55,101.8,738800
2020-10-21,100.83,101.83,100.44,101.09,935600
2020-10-20,100.87,101.34,99.95,100.63,1427200
2020-10-19,102.11,102.11,100.01,100.4,1072464
2020-10-16,100.11,101.88,99.92,101.56,1253600
2020-10-15,99.13,100.61,98.63,99.96,975400
2020-10-14,99.48,99.76,98.44,99.59,686101
2020-10-13,99.8,99.85,97.66,99.08,802793
2020-10-12,99.6,101.0,99.33,99.83,642045
2020-10-09,99.01,99.88,98.64,99.45,590547
2020-10-08,98.355,99.09,98.16,99.03,736720
2020-10-07,98.78,99.48,97.46,98.05,898700
2020-10-06,98.15,99.58,97.33,98.51,1486700
2020-10-05,97.93,98.455,96.82,98.14,1059662
2020-10-02,98.26,98.305,96.78,97.7,943741
2020-10-01,96.88,98.31,96.88,98.24,797335
2020-09-30,97.0,97.61,96.38,96.9,1345900
2020-09-29,96.46,97.54,96.1558,96.66,410484
2020-09-28,96.36,97.46,95.72,96.48,746880
2020-09-25,93.31,96.39,93.31,96.31,0
2020-09-24,93.26,94.6,92.77,94.0,100
2020-09-23,95.12,95.17,92.95,93.06,0
2020-09-22,95.01,96.18,94.31,95.4,0
2020-09-21,94.23,95.59,93.48,94.86,500938
2020-09-18,96.0,96.43,94.13,94.87,612958
2020-09-17,98.03,98.37,95.59,96.1,602995
2020-09-16,99.18,100.41,98.11,98.78,555232
2020-09-15,97.16,99.28,97.16,99.16,585243
2020-09-14,96.95,97.76,95.84,97.18,367889
2020-09-11,95.95,96.26,94.96,95.96,275118
2020-09-10,96.9,97.67,95.87,95.97,445542
2020-09-09,95.61,99.04,95.61,97.77,332069
2020-09-08,96.67,96.71,94.65,95.62,810812
2020-09-04,96.77,97.84,95.7,96.46,607826
2020-09-03,97.67,98.21,95.5,96.36,868431
2020-09-02,93.67,97.76,93.64,97.41,853510
2020-09-01,93.61,93.75,92.7,93.59,529468
2020-08-31,93.435,94.39,93.39,94.08,612343
2020-08-28,92.29,93.73,91.7,93.62,454112
2020-08-27,92.05,92.9,91.59,92.35,534902
2020-08-26,92.25,92.66,91.32,92.04,785692
2020-08-25,92.24,92.63,91.67,92.28,647143
2020-08-24,91.99,92.31,90.89,92.24,341007
2020-08-21,91.29,92.06,90.69,91.99,524706
2020-08-20,91.73,91.82,90.72,91.29,267584
2020-08-19,91.69,92.32,91.46,91.72,257528
2020-08-18,92.11,92.61,91.53,91.92,308379
2020-08-17,91.21,92.75,90.84,92.12,440947
2020-08-14,91.19,92.1065,90.64,91.21,379159
2020-08-13,92.26,92.26,90.8,91.44,276347
2020-08-12,90.92,93.31,90.92,92.27,503758
2020-08-11,93.46,93.82,90.69,90.93,395572
2020-08-10,94.33,94.4839,93.31,93.75,309731
2020-08-07,92.96,94.98,92.63,94.33,429273
2020-08-06,93.35,93.72,92.45,92.99,436643
2020-08-05,95.1,95.14,92.62,93.31,669319
2020-08-04,93.72,96.13,92.119,95.11,701177
2020-08-03,95.45,95.48,92.64,93.7,534462
2020-07-31,94.67,95.72,93.96,95.26,326288
2020-07-30,94.28,95.49,94.23,95.19,439148
2020-07-29,94.51,95.41,94.31,94.97,452196
2020-07-28,92.78,95.18,92.78,94.58,736974
2020-07-27,93.19,93.6,92.64,93.34,696238
2020-07-24,94.07,94.77,93.1,93.59,628262
2020-07-23,93.42,94.36,93.2,93.79,514140
2020-07-22,90.76,93.79,90.54,93.46,535641
2020-07-21,90.24,91.73,90.21,91.14,158831
