datetime,open,high,low,close,volume
2021-01-29,204.67,206.39,202.03999,202.94,1230817
2021-01-28,206.53999,209.69,205.86,206.31,1218600
2021-01-27,207.53999,210.89999,203.58,205.97,1587200
2021-01-26,210.31,211.53999,207.61,210.22,629200
2021-01-25,205.19,210.57001,205.12,209.32001,829249
2021-01-22,207.73,208.05,205.8,206.5,1141600
2021-01-21,210.23,212.75,208.44,208.57001,928400
2021-01-20,208.84,211.07001,207.31,210.27,887100
2021-01-19,207.01199,209.16,206.08,208.5,941529
2021-01-15,203.59,207.23,203.59,206.64999,979900
2021-01-14,204.53999,206.09,200.91,205.5,1049400
2021-01-13,199.75,205.12,199.13,204.27,1148700
2021-01-12,198.48,202.11,197.63,199.95,1075400
2021-01-11,204.42999,204.42999,199.14,199.23,872409
2021-01-08,206.25,207.11,202.08,203.64,925300
2021-01-07,203.83,207.0,202.56,205.25,1324300
2021-01-06,203.78,205.21001,200.60001,203.7,1791600
2021-01-05,204.12,205.23,199.99001,202.0,1435000
2021-01-04,210.67999,211.17,203.05008999999998,203.7,1256754
2020-12-31,205.75999,211.97,205.7,210.67999,599200
2020-12-30,207.53,209.60001,205.39999,206.14,692200
2020-12-29,208.89,209.62,207.08,207.78999,344160
2020-12-28,212.10001,214.05,207.85001,207.94,781489
2020-12-24,208.41,212.09,208.38,211.81,290907
2020-12-23,210.34,212.67,208.00999,208.82001,1233400
2020-12-22,206.87,211.0,205.12,209.62,2032900
2020-12-21,204.48,208.59,200.08,207.71001,2192970
2020-12-18,211.71001,212.32001,203.77,204.89,879512
2020-12-17,211.82001,215.39999,211.82001,212.3,766099
2020-12-16,210.00999,214.14999,210.00999,211.98,1087300
2020-12-15,207.49001,211.5,204.73,210.10001,368359
2020-12-14,206.38,208.67999,204.625,205.75999,1089154
2020-12-11,204.75,208.4425,203.92999,204.5,629429
2020-12-10,206.25999,207.98,205.53999,206.82001,897300
2020-12-09,211.41,212.99001,205.87,207.57001,891200
2020-12-08,207.74001,211.99001,207.55,210.88,714502
2020-12-07,213.08,216.41,208.92999,209.45,731606
2020-12-04,212.7,215.84,212.52499,214.49001,838640
2020-12-03,210.69,213.95,210.03999,212.82001,350600
2020-12-02,212.87,216.24001,211.75,212.49001,731900
2020-12-01,211.95,214.25,211.3,214.09,704000
2020-11-30,211.48,211.48,207.23,208.19,872367
2020-11-27,208.67999,211.97,207.99001,209.55,564700
2020-11-25,207.96001,210.57001,205.37,209.44,691600
2020-11-24,205.50999,211.71001,205.25,209.0,826500
2020-11-23,200.39999,204.53,199.92,203.92,1198969
2020-11-20,203.5,204.86,198.60001,199.39999,1091600
2020-11-19,205.69,207.06,202.87,204.49001,779200
2020-11-18,210.67999,211.32001,205.69,205.69,363778
2020-11-17,208.66,213.13,205.34,210.13,1012200
2020-11-16,210.0,210.86,207.69501,210.61,824626
2020-11-13,203.8,207.7,202.38,206.98,409392
2020-11-12,201.78999,203.75999,200.75999,202.2,502100
2020-11-11,202.39,204.88,201.62,202.95,1088500
2020-11-10,196.37,202.78,195.12,202.00999,673800
2020-11-09,198.46001,207.44,194.28999,196.0,1164241
2020-11-06,188.50999,193.47,185.67,192.17,373100
2020-11-05,186.22,189.52,185.33,186.72,1003400
2020-11-04,180.92999,187.98,179.87,184.25,1759400
2020-11-03,183.57001,184.64,180.2,180.50999,1341200
2020-11-02,182.72,184.33501,179.31,179.57001,832613
2020-10-30,186.09,187.66,179.34,182.48,1144300
2020-10-29,194.2,194.2,185.73,186.25,1053100
2020-10-28,196.45,197.17,192.85001,193.91,879500
2020-10-27,204.47,204.98,200.27,200.38,307406
2020-10-26,207.88,207.88,201.34,203.28,727792
2020-10-23,210.56,210.56,207.44,209.96001,264213
2020-10-22,209.21001,210.17,207.77,209.56,442700
2020-10-21,208.85001,213.03,208.81,209.37,360600
2020-10-20,214.83,214.83,209.00999,209.39999,743600
2020-10-19,216.0,217.7375,212.08,212.71001,918338
2020-10-16,217.27,219.3,216.3,216.75999,466100
2020-10-15,209.99001,216.67999,209.99001,216.62,647900
2020-10-14,212.55,217.12,212.21001,212.21001,380819
2020-10-13,216.52,219.07001,212.21001,212.60001,429471
2020-10-12,211.16,217.89999,211.16,217.03,1550518
2020-10-09,211.64,213.72,211.28,211.55,572464
2020-10-08,211.85001,216.11,210.78,211.07001,298059
2020-10-07,210.47,212.77,210.14999,211.12,882400
2020-10-06,211.34,213.53999,208.25,209.05,514300
2020-10-05,210.81,212.19501,208.96001,210.14,953917
2020-10-02,207.5,211.99001,207.5,209.45,261456
2020-10-01,208.5,210.84,207.49001,210.08,521311
2020-09-30,211.33,211.5,207.42,208.82001,888500
2020-09-29,204.83,208.50999,204.83,208.09,253553
2020-09-28,201.17999,208.46001,201.17,206.85001,1121443
2020-09-25,196.36,200.36,194.84,198.67,0
2020-09-24,202.3,204.56,197.96001,198.32001,0
2020-09-23,205.36,209.38,203.92999,203.99001,0
2020-09-22,202.67999,204.39999,199.72,203.67,0
2020-09-21,201.67999,203.89999,200.08,202.53,592459
2020-09-18,205.24001,208.25,204.95,205.31,179673
2020-09-17,204.22,207.41,202.97,205.71001,250488
2020-09-16,206.86,209.21001,206.63,206.94,251540
2020-09-15,207.46001,208.24001,205.95,206.25,164078
2020-09-14,206.09,209.52,205.98,206.17999,498900
2020-09-11,207.42999,207.83501,204.44501,206.12,260541
2020-09-10,208.91,211.92999,207.27,207.27,203752
2020-09-09,205.83,210.91,205.36591,209.19,234125
2020-09-08,206.56,207.21001,203.07001,203.13,389602
2020-09-04,211.00999,211.97,205.74001,208.66,404191
2020-09-03,216.0,218.64999,208.11,209.46001,568376
2020-09-02,208.59,216.87,208.10001,216.17,348326
2020-09-01,205.53999,208.75,204.31,208.37,307214
2020-08-31,205.745,208.0,205.255,205.53,287921
2020-08-28,207.16,207.38,204.48,205.78,359018
2020-08-27,202.10001,206.66,201.56,205.62,196774
2020-08-26,196.14999,203.3,195.22,201.5,470668
2020-08-25,195.92999,199.31,194.37,197.25999,609529
2020-08-24,198.69,198.745,193.16,194.60001,634372
2020-08-21,201.53999,201.99001,198.0,198.08,313425
2020-08-20,201.92,203.59,201.69,202.10001,404602
2020-08-19,201.0,204.71001,200.67999,203.3,163380
2020-08-18,202.19,203.0,199.33,201.5,421479
2020-08-17,201.32001,204.48,201.32001,201.64999,297430
2020-08-14,199.8,201.64,199.36,201.50999,217409
2020-08-13,193.13,198.89999,193.13,198.75,223917
2020-08-12,197.45,198.09,194.48,195.3705,803948
2020-08-11,198.09,198.09,195.84,196.0,544968
2020-08-10,199.95,200.46001,196.74001,197.08,196777
2020-08-07,198.8,200.03999,197.66,199.47,344607
2020-08-06,202.36,202.39999,198.72501,199.95,339226
2020-08-05,202.17,205.03999,202.03999,202.52,408602
2020-08-04,205.39999,206.84,202.0,204.73,328287
2020-08-03,210.73,211.61,204.17,204.64999,425408
2020-07-31,210.64999,211.87399,205.49001,210.00999,228843
2020-07-30,209.22,211.96001,207.03,211.49001,190598
2020-07-29,209.59,211.19,208.075,210.13,296173
2020-07-28,211.31,212.82001,209.47,209.94,396512
2020-07-27,212.07001,212.535,209.53,211.60001,118118
2020-07-24,212.64999,213.57001,211.0,211.52,186216
2020-07-23,212.86,213.39799,210.84,212.2,276502
2020-07-22,210.89,212.67999,209.53999,212.63,156295
2020-07-21,209.64,210.98,208.71001,210.98,111884
2020-07-20,208.19,209.08,207.10001,207.92999,138807
2020-07-17,208.33,208.77,206.67999,208.5,47698
2020-07-16,205.96001,208.07001,205.96001,207.49001,16946
2020-07-15,205.99001,206.59,204.39,206.12,21125
2020-07-14,203.35001,205.03999,202.46001,203.95,7949
2020-07-13,203.64,204.59,201.05,201.47,0
2020-07-10,199.58,202.58,198.64999,202.33,0
2020-07-09,200.06,200.06,197.17,199.02,0
2020-07-08,196.89999,199.56,196.89999,199.24001,0
2020-07-07,197.67,198.60001,196.3,196.58,5874
2020-07-06,199.83,199.96001,197.06,197.48,3993
2020-07-02,197.50999,198.50999,195.75999,196.60001,461
2020-06-30,191.60001,197.75999,191.07001,196.95,816003
2020-06-26,198.17,201.35001,195.67,196.53999,542811
2020-06-25,191.81,199.92999,190.92,199.44,594305
2020-06-24,192.08,192.98,190.235,190.92,188311
2020-06-23,195.42,195.91,193.75,194.00999,196035
2020-06-22,188.14999,195.19,188.14999,193.55,185663
2020-06-19,199.60001,199.60001,188.44,190.78,458375
2020-06-18,196.09,200.52,195.565,196.14,178760
2020-06-17,191.53999,199.325,191.53999,197.35001,210942
2020-06-16,193.48,194.62,189.64999,191.545,185963
2020-06-15,181.57001,190.66,181.57001,189.47,156383
2020-06-12,189.56,190.56,182.14,186.87,195347
2020-06-11,196.44,196.44,185.32001,185.88,190473
2020-06-10,200.00999,201.16,197.44,199.0,268202
2020-06-09,202.46001,204.16,199.71001,201.02,164138
2020-06-08,205.12,206.72,202.61,203.98,187206
2020-06-05,208.13,209.92999,205.82001,206.81,604500
2020-06-04,203.35001,204.96001,202.47,204.05,595800
2020-06-03,201.24001,208.0,201.24001,204.89,698100
2020-06-02,202.17999,204.00999,200.03999,201.13,834000
2020-06-01,202.82001,204.05,201.31,202.46001,548300
2020-05-29,204.69,206.10001,201.81,202.89999,915800
2020-05-28,207.77,208.78999,202.83,205.64999,560900
2020-05-27,204.48,207.25,202.84,204.56,702100
2020-05-26,203.67999,204.3,201.42999,201.64999,530700
2020-05-22,200.89,201.50999,197.52,198.50999,571500
2020-05-21,201.58,202.92999,199.10001,200.16,956000
2020-05-20,203.75999,207.14999,202.33,202.63,507300
2020-05-19,203.62,206.21001,202.91,202.99001,735200
2020-05-18,205.75999,208.94,204.03999,204.74001,955000
2020-05-15,201.03,201.07001,198.3,200.48,1363900
2020-05-14,195.83,202.2,193.28,201.66,877600
2020-05-13,199.58,201.81,196.50999,197.17,840200
2020-05-12,199.91,202.53999,199.91,200.78999,1028600
2020-05-11,196.03999,202.07001,196.03999,200.0,868600
2020-05-08,195.28999,197.39999,193.13,197.35001,455900
2020-05-07,186.14999,193.7,186.14999,193.14999,659600
2020-05-06,190.13,191.86,183.05,183.64,529600
2020-05-05,184.02,190.78999,184.02,189.86,520600
2020-05-04,181.00999,184.41,181.00999,183.53999,756300
2020-05-01,174.14999,186.55,174.14999,183.34,968900
2020-04-30,174.57001,179.42,173.06,178.28999,1235700
2020-04-29,176.8,179.06,174.39999,175.25999,3863400
2020-04-28,178.27,178.78,174.46001,174.92999,1198800
2020-04-27,179.06,180.42,174.75,175.99001,873600
2020-04-24,177.28,179.64999,175.64,177.22,1441400
2020-04-23,184.89999,184.89999,175.61,177.0,1938800
2020-04-22,184.87,186.66,181.82001,185.86,612900
2020-04-21,182.85001,186.89999,181.58,182.5,961200
2020-04-20,192.83,192.83,186.95,188.89,1486900
2020-04-17,192.45,196.59,191.67999,195.39,847100
2020-04-16,186.44,190.82001,183.67,189.19,1009200
2020-04-15,190.83,194.23,184.16,185.64999,1078100
2020-04-14,192.12,197.10001,190.05,197.0,1107200
2020-04-13,193.88,195.64,187.48,189.7,802600
2020-04-09,191.07001,196.85001,189.17999,196.02,824100
2020-04-08,179.63,193.31,177.99001,190.05,1376400
2020-04-07,180.03999,182.3,176.02,178.69,1126700
2020-04-06,164.14,176.96001,162.58,175.36,1296100
2020-04-03,157.5,159.75999,153.13,157.09,1351600
2020-04-02,153.28999,162.38,153.16,158.41,1053600
