datetime,open,high,low,close,volume
2021-01-29,111.71,112.64,110.45,111.32,1891500
2021-01-28,111.5,114.46,111.3,112.11,1952600
2021-01-27,113.0,113.23,110.15,110.96,2504800
2021-01-26,114.51,114.54,113.66,113.95,1709100
2021-01-25,115.36,116.02,113.95,114.19,1408456
2021-01-22,114.44,115.8,113.82,115.36,1978100
2021-01-21,114.92,115.2,112.97,114.58,2268400
2021-01-20,115.07,115.85,114.83,115.05,1916200
2021-01-19,115.56,116.3252,114.78,115.01,1636884
2021-01-15,114.25,115.5,114.1,114.72,3799200
2021-01-14,116.63,116.76,114.43,114.64,1605200
2021-01-13,116.13,116.84,115.61,116.21,1444800
2021-01-12,117.2,117.64,115.52,116.4,1477200
2021-01-11,117.6,118.12,116.6608,117.04,1513368
2021-01-08,118.39,118.95,117.23,118.6,1372700
2021-01-07,117.5,118.39,116.88,118.05,1827600
2021-01-06,115.8,118.44,115.21,117.76,1617800
2021-01-05,114.51,115.42,114.05,115.21,1335100
2021-01-04,118.0,118.07,114.2562,114.83,1600724
2020-12-31,116.57,118.06,116.48,117.93,898500
2020-12-30,116.87,117.46,116.46,116.93,735900
2020-12-29,118.5,118.9,116.53,116.82,863900
2020-12-28,117.5,118.29,116.7,118.09,1143742
2020-12-24,116.21,117.01,116.21,117.0,520465
2020-12-23,117.81,118.31,116.23,116.25,957100
2020-12-22,116.79,118.02,115.97,117.92,1695200
2020-12-21,116.49,116.705,114.17,116.51,1333573
2020-12-18,117.51,118.6131,116.92,117.41,1135235
2020-12-17,116.64,118.345,116.42,117.53,1612214
2020-12-16,116.65,117.13,115.88,116.08,997200
2020-12-15,115.98,116.82,115.56,116.78,1143675
2020-12-14,115.97,116.84,114.73,114.78,1182816
2020-12-11,114.98,116.125,114.16,115.4,982904
2020-12-10,116.14,116.65,114.71,114.94,1672900
2020-12-09,117.28,117.28,115.6,116.58,1611700
2020-12-08,115.78,117.27,115.78,116.8,898293
2020-12-07,117.54,117.91,116.46,116.77,1038518
2020-12-04,116.81,117.67,116.81,117.53,1147813
2020-12-03,116.6,117.93,116.2,117.14,1619500
2020-12-02,119.34,119.75,116.62,117.13,1621000
2020-12-01,120.17,120.6,119.27,119.64,1545200
2020-11-30,118.65,119.8821,118.29,119.13,1376294
2020-11-27,119.83,119.98,118.87,119.19,616100
2020-11-25,120.0,120.1,118.67,119.64,1400600
2020-11-24,120.76,121.54,120.05,120.43,1433100
2020-11-23,120.84,121.01,119.58,120.11,886615
2020-11-20,121.03,121.21,119.99,120.35,950900
2020-11-19,120.15,121.09,118.88,120.58,1172700
2020-11-18,121.97,122.75,120.47,120.47,810486
2020-11-17,121.37,121.67,120.61,121.3,1634100
2020-11-16,122.47,123.19,121.035,121.99,1639041
2020-11-13,121.89,122.6,121.3,121.92,645667
2020-11-12,122.45,122.84,120.69,121.09,1216800
2020-11-11,123.42,123.74,122.26,122.8,1025700
2020-11-10,120.9,123.74,120.16,123.38,1962900
2020-11-09,123.49,125.56,120.7501,120.96,2398473
2020-11-06,120.0,120.36,118.91,119.28,1311300
2020-11-05,117.99,120.6,117.06,119.69,2682300
2020-11-04,114.16,118.17,114.16,116.05,1989200
2020-11-03,112.2,115.13,112.2,114.71,2357000
2020-11-02,109.08,111.9,108.9,110.67,2000365
2020-10-30,107.36,108.33,106.22,107.91,1930700
2020-10-29,107.38,108.61,106.11,107.55,2082600
2020-10-28,109.22,109.82,106.75,106.96,1883600
2020-10-27,111.8,112.5975,110.35,110.6201,2080781
2020-10-26,115.79,116.02,112.81,113.4,1372712
2020-10-23,116.34,116.825,115.51,116.71,1390121
2020-10-22,114.28,116.04,114.06,115.77,1324400
2020-10-21,113.9,115.15,113.62,114.17,1008000
2020-10-20,114.75,115.59,114.06,114.31,832800
2020-10-19,116.0,116.21,113.54,113.7,1181570
2020-10-16,115.58,116.46,115.49,115.87,1910100
2020-10-15,114.32,115.49,114.0,115.27,884000
2020-10-14,115.2,115.815,114.3,114.56,709219
2020-10-13,117.1,117.6,115.08,115.45,1185885
