datetime,open,high,low,close,volume
2021-01-29,21.25,21.67,21.0629,21.23,9253486
2021-01-28,21.34,21.66,21.23,21.46,9057200
2021-01-27,21.34,21.41,21.05,21.21,10041100
2021-01-26,21.87,22.17,21.19,21.44,7628100
2021-01-25,21.6,21.83,21.205,21.66,10323027
2021-01-22,21.31,21.71,21.11,21.6,9705900
2021-01-21,22.44,22.6,21.6,21.67,7693800
2021-01-20,22.54,22.64,22.01,22.43,8888300
2021-01-19,22.65,22.72,22.41,22.45,12455333
2021-01-15,22.53,22.57,22.05,22.5,10452200
2021-01-14,22.39,22.88,22.25,22.69,15295700
2021-01-13,22.38,22.52,22.06,22.24,7347400
2021-01-12,21.73,22.56,21.66,22.43,10469600
2021-01-11,20.9,21.7,20.79,21.51,4913140
2021-01-08,21.62,21.65,20.93,21.3,13048500
2021-01-07,21.68,21.7,21.27,21.54,8601600
2021-01-06,20.92,21.56,20.73,21.5,10285000
2021-01-05,20.27,21.16,20.24,20.71,9363900
2021-01-04,20.3,20.5179,19.87,20.1,9703542
2020-12-31,19.92,20.11,19.85,20.05,6848100
2020-12-30,20.09,20.27,19.89,19.94,6792400
2020-12-29,20.31,20.36,19.92,20.08,6033900
2020-12-28,20.81,20.915,20.13,20.14,6037339
2020-12-24,20.825,20.83,20.54,20.74,2878858
2020-12-23,20.85,21.08,20.7,20.75,6606700
2020-12-22,20.84,21.0,20.61,20.61,8429600
2020-12-21,20.7,20.875,20.482,20.7,11291542
2020-12-18,21.81,21.815,21.02,21.2,7247015
2020-12-17,22.09,22.1,21.53,21.81,6954911
2020-12-16,22.3,22.31,21.73,21.75,6837000
2020-12-15,21.72,22.53,21.64,22.33,7975481
2020-12-14,22.13,22.185,21.22,21.51,15224061
2020-12-11,21.75,21.935,21.52,21.93,7426088
2020-12-10,21.91,22.2,21.75,22.0,11988500
2020-12-09,22.4,22.85,22.25,22.4,11933500
2020-12-08,21.43,22.35,21.42,22.09,10723389
2020-12-07,22.3,22.45,21.46,21.6,11251704
2020-12-04,21.83,22.545,21.78,22.49,10415107
2020-12-03,21.59,22.0,21.37,21.56,12474500
2020-12-02,20.85,21.85,20.77,21.65,9117200
2020-12-01,21.34,21.4,20.68,20.9,7958800
2020-11-30,21.41,21.615,20.87,20.98,10349272
2020-11-27,21.54,21.7,21.34,21.46,4241400
2020-11-25,21.87,21.87,21.33,21.62,7386400
2020-11-24,21.7,22.02,21.53,21.96,10427000
2020-11-23,20.61,21.33,20.35,21.28,8001184
2020-11-20,20.13,20.37,19.98,20.34,7399100
2020-11-19,19.86,20.24,19.57,20.16,11609600
2020-11-18,20.94,20.94,19.99,20.0,10124859
2020-11-17,20.11,20.84,19.98,20.83,12104300
2020-11-16,20.63,20.65,20.165,20.23,9259569
2020-11-13,19.6,20.16,19.47,20.04,5461422
2020-11-12,19.81,19.98,19.07,19.34,8294200
2020-11-11,20.18,20.21,19.74,20.02,8656000
2020-11-10,19.61,20.02,19.25,19.99,10901000
2020-11-09,19.78,20.07,19.22,19.35,14372982
2020-11-06,19.13,19.47,18.26,18.26,9440800
2020-11-05,19.11,19.55,19.06,19.11,7951600
2020-11-04,19.13,19.63,18.73,19.09,6642500
2020-11-03,19.03,19.23,18.45,18.98,6950100
2020-11-02,19.5,19.5,18.61,18.77,11240083
2020-10-30,18.91,19.2,18.61,19.19,8927900
2020-10-29,18.78,19.18,18.32,19.1,7855800
2020-10-28,19.0,19.27,18.7,18.86,8483100
2020-10-27,19.33,19.56,19.135,19.44,6249400
2020-10-26,19.66,19.67,18.845,19.2,8718973
2020-10-23,20.4,20.43,19.66,19.97,5386463
2020-10-22,19.26,20.32,19.23,20.31,7531900
2020-10-21,19.64,19.8,19.3,19.3,8004700
2020-10-20,19.46,19.87,19.43,19.69,7906000
2020-10-19,19.43,19.67,19.13,19.29,8062094
2020-10-16,19.76,19.98,19.26,19.27,8206300
2020-10-15,19.25,19.77,19.01,19.71,10619700
2020-10-14,19.49,20.16,19.49,19.68,7692391
2020-10-13,19.345,19.605,19.2721,19.42,7784446
2020-10-12,19.54,19.56,19.23,19.45,9308123
2020-10-09,20.05,20.11,19.34,19.42,8551094
2020-10-08,19.47,20.01,19.29,20.0,5337014
2020-10-07,19.46,19.58,19.14,19.39,7281200
2020-10-06,19.79,19.88,19.28,19.33,11579000
2020-10-05,19.32,19.69,19.175,19.54,6061145
2020-10-02,18.388,19.27,18.31,19.1,10205684
2020-10-01,19.52,19.6,18.655,18.78,13118066
2020-09-30,20.37,20.5,19.63,19.65,11834100
2020-09-29,20.4,20.63,20.09,20.26,4448834
2020-09-28,20.19,20.64,20.02,20.4,7504383
2020-09-25,19.74,20.03,19.58,19.98,0
2020-09-24,19.87,20.17,19.34,19.93,0
2020-09-23,20.86,20.97,19.9,19.91,0
2020-09-22,20.61,21.01,20.61,20.81,0
2020-09-21,20.26,20.7,20.02,20.67,4605858
2020-09-18,21.16,21.17,20.53,20.74,1944171
2020-09-17,21.07,21.33,20.84,21.31,4612056
2020-09-16,21.05,21.63,20.93,21.43,4198102
2020-09-15,20.91,21.22,20.76,20.87,3534132
2020-09-14,20.31,20.98,20.18,20.86,4423388
2020-09-11,20.24,20.61,20.11,20.23,3022014
2020-09-10,20.61,20.63,20.17,20.18,4070872
2020-09-09,20.8,21.315,20.77,21.02,3582359
2020-09-08,20.5,20.74,20.22,20.48,4679327
2020-09-04,21.03,21.11,20.41,20.69,2943005
2020-09-03,21.21,21.4,20.73,20.9,3053063
2020-09-02,20.96,21.35,20.86,21.28,4004958
2020-09-01,20.56,21.045,20.44,20.96,3280343
2020-08-31,21.21,21.21,20.75,20.76,2433089
2020-08-28,21.05,21.26,20.8,21.07,2712709
2020-08-27,21.06,21.29,20.735,20.97,4037420
2020-08-26,21.29,21.38,20.89,21.05,3036176
2020-08-25,21.8,21.83,21.1127,21.39,3420614
2020-08-24,21.59,21.69,21.18,21.68,2720130
2020-08-21,21.31,21.46,21.12,21.41,2405410
2020-08-20,21.58,21.58,21.19,21.4,2148799
2020-08-19,21.85,22.09,21.62,21.65,2096044
2020-08-18,22.21,22.31,21.725,21.8,3313443
2020-08-17,22.17,22.42,21.93,22.35,3251547
2020-08-14,21.42,22.325,21.41,22.13,2665460
2020-08-13,21.48,21.77,21.37,21.57,2123372
2020-08-12,21.74,21.86,21.48,21.61,3400334
2020-08-11,21.71,21.85,21.38,21.42,4639670
2020-08-10,20.84,21.67,20.84,21.54,2472106
2020-08-07,20.6,20.86,20.46,20.85,2631879
2020-08-06,21.21,21.27,20.71,20.82,5097691
2020-08-05,21.72,21.83,21.17,21.29,8890300
2020-08-04,19.83,21.44,19.81,21.34,15004600
2020-08-03,19.14,20.0,19.01,19.73,5211472
2020-07-31,19.25,19.34,18.73,19.13,3851118
2020-07-30,19.32,19.43,19.09,19.34,3117377
2020-07-29,18.87,19.85,18.86,19.77,5422558
2020-07-28,18.68,19.04,18.68,18.87,3916443
2020-07-27,19.12,19.12,18.62,18.83,3389940
2020-07-24,19.41,19.56,19.17,19.21,2370836
2020-07-23,19.36,19.5,19.045,19.32,3989572
2020-07-22,19.78,19.81,19.21,19.45,3361660
2020-07-21,19.56,20.12,19.53,20.11,1130710
2020-07-20,19.67,19.8,19.23,19.29,5976400
2020-07-17,19.92,20.28,19.67,19.77,390577
2020-07-16,19.95,20.12,19.62,19.9,195261
2020-07-15,19.48,20.13,19.37,20.08,18636
2020-07-14,18.44,19.1479,18.34,19.1,8185883
2020-07-13,18.55,18.91,18.45,18.56,0
2020-07-10,18.18,18.56,18.11,18.55,0
2020-07-09,18.84,18.87,18.25,18.27,24061
2020-07-08,18.9,19.23,18.78,18.94,27027
2020-07-07,18.96,19.33,18.84,18.91,6266300
2020-07-06,19.66,20.0,19.09,19.31,128329
2020-07-02,19.31,19.37,18.92,19.08,0
2020-07-01,18.97,19.24,18.72,18.81,7289711
2020-06-30,18.24,19.09,18.04,19.02,9309742
2020-06-26,19.04,19.04,18.325,18.395,4386907
2020-06-25,18.63,19.35,18.53,19.095,5950906
2020-06-24,19.06,19.06,18.375,18.84,3337189
2020-06-23,19.77,19.87,19.35,19.4,2104367
2020-06-22,19.16,19.65,18.955,19.54,1854847
2020-06-19,19.9,19.905,19.17,19.2,3218698
2020-06-18,18.85,19.57,18.8,19.455,2172018
2020-06-17,19.33,19.56,18.96,18.98,1452729
2020-06-16,19.69,19.73,18.74,19.38,2156087
2020-06-15,17.57,19.42,17.48,19.14,3230347
2020-06-12,18.86,18.91,17.775,18.23,2316505
2020-06-11,18.6,18.9201,18.1,18.18,3290800
2020-06-10,20.455,20.59,19.99,20.14,2531091
2020-06-09,21.14,21.225,20.5287,20.53,2601734
2020-06-08,21.4555,21.615,21.25,21.58,3095629
2020-06-05,21.5,21.5,20.88,21.14,10104700
2020-06-04,20.55,20.71,20.35,20.71,8332900
2020-06-03,20.59,20.76,20.22,20.66,8659500
2020-06-02,20.51,20.71,20.19,20.34,14894200
2020-06-01,20.38,20.64,20.0,20.44,8675200
2020-05-29,19.82,20.51,19.61,20.43,15328700
2020-05-28,20.68,20.8,19.89,19.96,10025200
2020-05-27,20.75,20.9,19.95,20.47,10471900
2020-05-26,20.13,20.49,19.91,20.43,7778200
2020-05-22,19.25,19.68,18.97,19.65,5256800
2020-05-21,19.84,19.89,19.35,19.47,6457600
2020-05-20,19.75,20.15,19.57,19.72,7978100
2020-05-19,19.58,19.65,19.19,19.42,10702500
2020-05-18,19.7,19.82,19.32,19.58,8632000
2020-05-15,18.47,18.98,18.34,18.76,8071900
2020-05-14,18.12,18.56,17.68,18.49,10973900
2020-05-13,18.98,19.07,18.17,18.48,12659900
2020-05-12,19.35,19.7,18.99,19.08,11739900
2020-05-11,19.17,19.73,19.15,19.53,7670900
2020-05-08,19.59,19.7,19.05,19.47,8303300
2020-05-07,18.92,19.55,18.86,19.21,10776000
2020-05-06,19.0,19.31,18.45,18.61,10324800
2020-05-05,19.68,19.82,18.85,19.0,12698800
2020-05-04,18.22,19.2,18.11,19.13,14933200
2020-05-01,18.93,18.98,18.39,18.55,13346500
2020-04-30,19.33,19.55,18.82,19.37,15052100
2020-04-29,19.46,19.7,19.05,19.46,10785600
2020-04-28,18.89,19.3,18.64,18.91,9803400
2020-04-27,18.18,18.64,17.77,18.52,11262600
2020-04-24,17.85,18.4,17.48,18.28,11483200
2020-04-23,17.9,18.08,17.35,17.51,15783700
2020-04-22,18.62,18.73,17.63,17.66,15215500
2020-04-21,17.83,18.22,17.8,18.02,19287900
2020-04-20,17.52,18.79,16.91,18.49,19199500
2020-04-17,16.92,18.1,16.9,18.08,13609400
2020-04-16,16.64,16.91,16.37,16.59,10492400
2020-04-15,16.42,16.99,16.27,16.81,13693600
2020-04-14,17.09,17.5,17.0,17.31,13708800
2020-04-13,16.92,17.29,16.6,17.1,15167800
2020-04-09,16.02,16.71,15.61,16.59,20871100
2020-04-08,15.19,16.08,14.96,15.34,13552700
2020-04-07,14.66,15.88,14.14,15.15,30594200
2020-04-06,14.13,14.49,13.49,13.5,25110100
2020-04-03,14.65,15.07,13.18,13.65,27093600
2020-04-02,13.89,15.21,13.6,14.38,23678200
2020-04-01,13.75,14.25,13.2,13.33,18135200
2020-03-31,13.99,14.37,13.75,14.15,22671900
2020-03-30,13.75,14.09,12.94,13.82,19610600
2020-03-27,13.5,14.6,12.89,13.91,17717100
2020-03-26,13.64,14.81,13.01,14.25,16218700
2020-03-25,13.09,14.26,12.33,13.39,20759500
2020-03-24,11.8,13.0,11.59,12.92,17570900
2020-03-23,11.41,11.76,11.0,11.15,19182800
2020-03-20,11.66,12.57,11.0,11.53,25383800
2020-03-19,9.21,11.13,8.41,10.82,31158400
2020-03-18,11.2,11.34,8.7,9.25,44538500
2020-03-17,13.62,13.69,11.89,12.13,28707600
2020-03-16,13.61,14.21,13.02,13.49,17948900
2020-03-13,14.38,15.81,13.83,15.81,28506300
2020-03-12,14.47,14.47,13.28,13.29,22845500
2020-03-11,15.74,16.78,15.57,16.02,24863000
2020-03-10,15.78,16.64,14.18,16.29,33543100
2020-03-09,14.68,15.44,13.17,14.99,37463600
2020-03-06,17.98,18.0,17.12,17.45,23905700
2020-03-05,18.85,19.12,18.22,18.56,18141400
2020-03-04,19.3,19.44,18.99,19.42,10981600
2020-03-03,19.7,20.19,18.54,18.98,21729400
2020-03-02,19.17,19.6,18.48,19.6,21628600
2020-02-28,18.62,19.06,18.25,19.05,29172000
2020-02-27,18.88,19.66,18.31,18.9,23786200
2020-02-26,19.39,19.83,19.11,19.22,17381100
2020-02-25,20.48,20.6,19.22,19.25,20907600
2020-02-24,20.89,21.0,20.38,20.4,13015300
2020-02-21,21.89,22.11,21.36,21.52,13704900
2020-02-20,21.95,22.8,21.71,22.05,15277600
2020-02-19,21.55,21.75,21.36,21.55,8204500
2020-02-18,21.43,21.58,21.38,21.49,6607300
2020-02-14,21.64,21.69,21.42,21.54,6068600
2020-02-13,21.49,21.65,21.39,21.62,7657300
2020-02-12,21.57,21.7,21.26,21.55,7426700
2020-02-11,21.62,21.94,21.37,21.47,8698000
2020-02-10,20.96,21.5,20.94,21.43,15350600
2020-02-07,21.33,21.39,21.02,21.06,7454700
2020-02-06,21.72,21.79,21.41,21.44,6453300
2020-02-05,21.75,21.91,21.6,21.65,8917300
2020-02-04,21.41,21.79,21.38,21.48,10581900
2020-02-03,20.66,21.13,20.59,21.12,12666100
2020-01-31,20.98,21.07,20.58,20.69,15468300
2020-01-30,21.1,21.3,20.74,21.27,20132400
2020-01-29,21.71,21.8,21.11,21.16,11649800
2020-01-28,21.71,21.82,21.53,21.64,9035000
2020-01-27,21.88,21.91,21.54,21.61,11809000
2020-01-24,22.44,22.5,22.09,22.19,11813100
2020-01-23,22.5,22.67,22.4,22.44,18374100
2020-01-22,23.04,23.14,22.61,22.64,12649400
2020-01-21,23.66,23.73,23.0,23.01,14177600
2020-01-17,24.06,24.07,23.84,23.86,10783700
2020-01-16,23.95,24.17,23.9,24.04,6574700
2020-01-15,23.87,24.0,23.77,23.81,8308100
2020-01-14,23.73,23.84,23.6,23.84,9979100
