datetime,open,high,low,close,volume
2021-01-29,143.17999,143.75,140.35001,140.49001,10787603
2021-01-28,144.46001,146.25999,143.63,143.75,7409100
2021-01-27,146.96001,147.86,143.55,143.84,9962500
2021-01-26,145.63,147.81,145.47,147.50999,4998200
2021-01-25,145.36,146.25,144.27,146.2,6177501
2021-01-22,145.60001,147.34,145.12,146.33,6398400
2021-01-21,145.36,145.73,144.21001,144.85001,4775300
2021-01-20,143.59,145.66,142.89,145.50999,7923600
2021-01-19,144.64,145.07001,142.67,143.39,8041153
2021-01-15,145.14,145.89999,143.67,144.64,11969300
2021-01-14,147.82001,148.0,146.03999,146.97,7654400
2021-01-13,148.75,149.07001,147.42999,147.45,5351400
2021-01-12,149.0,149.92999,148.32001,148.97,7786800
2021-01-11,146.0,147.99001,146.0,147.28999,7196997
2021-01-08,146.88,147.0,145.81,146.63,8156500
2021-01-07,147.62,147.75999,146.03999,146.64999,6842300
2021-01-06,145.09,148.10001,145.00999,146.66,7301300
2021-01-05,146.60001,147.07001,144.49001,145.75,8825400
2021-01-04,144.3,146.89,144.28,146.53,9317607
2020-12-31,144.2,144.27,142.85001,144.14999,5933600
2020-12-30,144.88,145.14999,143.94,144.17999,6245400
2020-12-29,145.64,145.85001,143.59,144.3,5974800
2020-12-28,144.03999,145.3,143.33,145.22,6008933
2020-12-24,143.599,144.39,143.17999,143.5,3001915
2020-12-23,143.53999,144.22,142.3,143.22,6806300
2020-12-22,145.14999,146.23,143.14,144.2,12533000
2020-12-21,145.5,146.67,145.0638,145.97,7608883
2020-12-18,146.62,147.1795,145.16,145.61,8045859
2020-12-17,146.12,146.44,145.14999,146.06,9003782
2020-12-16,146.24001,146.89,145.08,145.42999,8543000
2020-12-15,146.0,146.36,144.87,145.59,7722330
2020-12-14,147.7,147.72,145.39999,145.64999,7899487
2020-12-11,146.95,147.5081,145.9404,146.98,4941065
2020-12-10,147.75,148.14999,146.57001,147.03999,6875800
2020-12-09,150.0,150.0,147.89,148.27,6708000
2020-12-08,147.56,149.85001,147.17999,149.45,5800670
2020-12-07,148.46001,148.99001,147.16,148.11,5953970
2020-12-04,149.4537,149.4537,147.59,148.92,5617496
2020-12-03,150.28,150.28,148.39,149.3,8571900
2020-12-02,152.0,152.62,149.53,150.52,7842600
2020-12-01,153.60001,153.66,151.66,152.64,7645100
2020-11-30,151.60001,152.95,150.10001,152.78999,9189309
2020-11-27,152.14999,152.72,151.10001,151.60001,3666500
2020-11-25,151.25,152.39,151.21001,151.83,4608200
2020-11-24,151.74001,151.98,150.27,151.36,5718400
2020-11-23,150.37,151.39999,149.37,150.92999,6144765
2020-11-20,151.17,152.75999,149.81,150.24001,7312400
2020-11-19,149.46001,152.45,149.32001,152.12,6180100
2020-11-18,149.86,151.67,149.05,149.09,8298400
2020-11-17,150.5,153.24001,149.17999,149.37,14212400
2020-11-16,150.53,153.39999,149.28,152.44,11271781
2020-11-13,148.94,150.935,147.53,150.58,5589124
2020-11-12,148.48,148.71001,147.10001,148.23,4188100
2020-11-11,146.92,148.96001,146.39999,147.98,6264400
2020-11-10,143.75,146.44,143.53,145.56,6059300
2020-11-09,148.0,148.1992,143.48,143.53999,9396469
2020-11-06,144.36,146.22,143.55,145.77,5373100
2020-11-05,144.0,144.23,142.94,143.47,4727700
2020-11-04,141.57001,144.39,141.34,141.96001,5970900
2020-11-03,141.64999,144.16,141.57001,142.78,5133900
2020-11-02,140.59,140.81,139.03,140.39999,5119947
2020-10-30,139.17999,140.09,137.37,138.75,6200600
2020-10-29,139.97,141.11,138.72,139.92,4076806
2020-10-28,140.96001,142.13,139.88,140.03999,5612100
2020-10-27,142.16,143.7,141.97,142.88,3365467
2020-10-26,142.84,143.12399,140.94,142.16,4808058
2020-10-23,143.92,144.14,142.86,143.85001,3068236
2020-10-22,144.19,144.56,142.69,143.55,4448000
2020-10-21,143.84,145.73,143.84,144.39999,4366800
2020-10-20,144.11,145.53,143.62,143.89999,4841000
2020-10-19,145.10001,145.37,142.75101,142.95,4685751
2020-10-16,145.39999,146.14999,144.47,144.71001,5645000
2020-10-15,143.09,144.96001,142.84,144.53,4564200
2020-10-14,146.35001,146.50999,143.7601,143.95,5633766
2020-10-13,144.52,146.605,144.45,146.24001,6774400
2020-10-12,143.02,145.39,143.02,144.25,6028498
2020-10-09,141.56,143.33,141.56,142.8,4257752
2020-10-08,141.55,142.09,141.12,141.36,3772417
2020-10-07,141.25999,141.55,140.25,140.89,5635800
2020-10-06,141.87,142.94,140.25,140.63,7153400
2020-10-05,141.28999,142.1899,141.065,141.8,4513121
2020-10-02,142.0,143.09,140.13,140.50999,7514751
2020-10-01,140.771,144.37801000000002,140.25999,143.07001,12910959
2020-09-30,137.39,141.74001,137.2,139.91,11605300
2020-09-29,137.25999,138.14,136.39,137.13,7437187
2020-09-28,137.16,138.05,136.72,137.25,6623456
2020-09-25,136.311,137.53,135.96001,137.27,6584103
2020-09-24,135.69,137.795,135.07001,136.7,8852488
2020-09-23,139.12,139.23,135.81931,136.0,6892821
2020-09-22,137.74001,138.99001,136.57001,138.32001,10275868
2020-09-21,136.47,137.24001,135.3,137.07001,14600450
2020-09-18,136.32001,137.53,134.75,135.28999,10828930
2020-09-17,135.84,137.56,135.02,136.71001,11228996
2020-09-16,138.38,138.6825,136.05141,136.28999,8499225
2020-09-15,138.06,139.0799,136.67999,137.3,9593450
2020-09-14,135.94,141.09,135.88,137.27,14433792
2020-09-11,137.05,138.44,135.55,136.67999,8757801
2020-09-10,140.07001,140.535,136.60001,136.78999,10393684
2020-09-09,139.78999,142.61,139.46001,139.94,10268575
2020-09-08,141.49001,141.89999,138.25999,138.45,9883596
2020-09-04,144.05,145.035,140.11,142.84,10211920
2020-09-03,147.08,149.60001,141.81,144.57001,14766561
