datetime,open,high,low,close,volume
2021-01-29,62.77,63.15,61.72,62.14,795333
2021-01-28,62.07,63.7,62.02,63.26,871100
2021-01-27,64.35,65.33,61.49,61.64,1991300
2021-01-26,66.2,66.43,64.95,64.95,781800
2021-01-25,65.18,66.6,65.05,66.06,632445
2021-01-22,65.86,66.18,64.96,65.88,552500
2021-01-21,66.5,67.4,66.39,66.59,986900
2021-01-20,65.39,66.85,65.05,66.66,613400
2021-01-19,66.44,66.54,65.62,65.62,691185
2021-01-15,65.67,66.4,65.04,66.14,579900
2021-01-14,66.68,66.79,65.61,66.01,502800
2021-01-13,67.16,67.92,66.43,66.56,1149600
2021-01-12,66.42,67.7,66.29,67.25,1067100
2021-01-11,66.26,66.95,66.01,66.37,440095
2021-01-08,67.04,67.24,65.43,66.36,2421800
2021-01-07,66.94,67.08,65.56,66.01,1013700
2021-01-06,65.42,67.09,65.16,66.59,1619200
2021-01-05,64.98,65.41,63.96,64.38,637600
2021-01-04,66.51,66.67,64.74,64.94,770890
2020-12-31,66.23,66.55,65.58,66.42,749400
2020-12-30,65.9,66.7,65.9,66.1,365700
2020-12-29,66.44,66.49,65.42,65.73,398000
2020-12-28,66.38,66.575,65.88,66.09,533471
2020-12-24,66.15,66.29,65.17,66.1,149500
2020-12-23,65.87,66.66,65.83,65.98,457200
2020-12-22,65.25,65.79,65.08,65.38,492100
2020-12-21,66.24,66.465,64.4,65.45,605279
2020-12-18,66.78,67.23,65.76,66.28,514876
2020-12-17,66.13,66.83,65.87,66.74,529293
2020-12-16,66.0,66.43,65.55,66.04,522100
2020-12-15,64.4,65.98,64.39,65.78,362373
2020-12-14,65.43,65.64,64.08,64.11,852936
2020-12-11,64.555,65.63,64.48,64.78,557789
2020-12-10,64.7,65.5,64.5,64.84,693100
2020-12-09,65.18,65.64,64.34,65.07,820700
2020-12-08,64.96,65.695,64.72,65.14,363263
2020-12-07,66.83,67.24,65.06,65.21,624261
2020-12-04,67.46,67.67,66.775,67.57,371614
2020-12-03,67.28,67.81,66.49,66.95,1201900
2020-12-02,67.16,67.76,66.1,67.28,957800
2020-12-01,66.43,68.04,66.0,67.54,1521000
2020-11-30,64.0,65.16,63.12,65.13,10018684
2020-11-27,64.85,65.15,63.95,64.41,1001400
2020-11-25,65.25,65.41,64.0,64.96,1765500
2020-11-24,66.34,67.24,65.51,65.84,1129100
2020-11-23,66.13,66.185,64.455,65.22,1308910
2020-11-20,66.62,67.31,64.79,65.48,1274800
2020-11-19,68.29,68.29,66.12,66.86,1669000
2020-11-18,70.34,70.63,68.9,68.91,489903
2020-11-17,69.67,70.25,68.96,70.11,533000
2020-11-16,70.62,70.78,69.54,70.48,491390
2020-11-13,68.76,69.4,68.25,68.91,325037
2020-11-12,69.08,69.26,67.63,68.22,469000
2020-11-11,70.83,70.83,69.34,69.95,738100
2020-11-10,69.5,70.96,69.07,70.59,1011300
2020-11-09,66.53,69.89,66.51,69.22,1387435
2020-11-06,63.29,63.55,61.99,62.08,670700
2020-11-05,62.63,64.05,62.51,62.9,640700
2020-11-04,62.4,64.18,61.99,62.36,1099400
2020-11-03,63.13,64.0,62.9,63.54,842000
2020-11-02,61.28,62.1,60.74,62.0,893057
2020-10-30,60.83,61.57,59.61,60.12,980500
2020-10-29,60.54,62.09,59.9,61.04,960400
2020-10-28,60.54,61.85,60.54,60.73,796100
2020-10-27,63.75,63.88,61.4,61.44,492271
