datetime,open,high,low,close,volume
2021-01-29,297.69,306.73999,296.81,299.48999,1338902
2021-01-28,294.63,302.03,292.85999,298.92001,648300
2021-01-27,294.94,298.20001,290.14999,293.23001,798200
2021-01-26,300.32999,301.28,296.0,299.67999,520400
2021-01-25,302.44,309.04001,298.28,300.26001,407490
2021-01-22,299.17001,300.95999,296.51999,300.09,516900
2021-01-21,304.42999,305.31,297.73999,299.67999,486500
2021-01-20,299.64999,306.64001,298.79999,305.04999,418200
2021-01-19,303.12,304.0,297.42001,300.12,399160
2021-01-15,298.54001,299.88,294.82999,299.41,351700
2021-01-14,298.01999,301.13,296.70999,298.72,434200
2021-01-13,300.37,300.42001,295.57999,298.0,452700
2021-01-12,301.10001,303.79999,297.53,298.48999,499200
2021-01-11,307.17001,307.5,301.48999,302.41,338887
2021-01-08,305.39001,312.12,304.51001,307.53,437700
2021-01-07,297.51999,305.07001,294.73999,304.06,511000
2021-01-06,286.64999,294.79999,285.01999,294.14001,595600
2021-01-05,284.67001,291.34,283.95999,291.01999,479000
2021-01-04,283.42999,289.63,280.0,285.57001,454671
2020-12-31,280.23999,283.48001,276.07999,283.31,455600
2020-12-30,280.29001,284.29999,279.04001,279.94,233700
2020-12-29,278.19,280.34,274.82001,278.34,222700
2020-12-28,286.57999,286.57999,277.28,277.53,210306
2020-12-24,281.79001,284.54999,280.37,282.95999,147100
2020-12-23,284.17999,285.66,279.01999,281.42999,478400
2020-12-22,276.48999,283.32001,275.45999,282.91,462000
2020-12-21,273.84,276.09,266.28,276.09,455018
2020-12-18,273.98001,278.17999,269.375,277.92999,394636
2020-12-17,270.25,276.88,269.60999,273.42001,381757
2020-12-16,268.07999,270.73999,264.0,267.62,392700
2020-12-15,265.12,268.29001,265.12,267.20999,273340
2020-12-14,265.0,271.73001,263.97,264.92001,364903
2020-12-11,265.84,265.84,262.78,263.85001,515433
2020-12-10,260.5,270.14999,259.82999,266.67001,686400
2020-12-09,267.25,267.82999,260.0,261.16,766000
2020-12-08,268.0,268.54999,265.56,267.10999,560394
2020-12-07,272.16,273.81,267.23999,268.06,348596
2020-12-04,271.94501,274.35001,270.73999,271.67001,205580
2020-12-03,274.35999,276.57001,271.14999,272.23999,281900
2020-12-02,272.0,276.32999,268.60999,275.39001,344700
2020-12-01,274.79001,276.60001,271.25,272.01001,442200
2020-11-30,279.53,280.5,271.87,275.16,656062
2020-11-27,271.64999,278.0,271.64999,277.95999,190600
2020-11-25,268.85001,270.20999,264.06,269.20001,378300
2020-11-24,273.97,275.5,267.20999,267.70999,461100
2020-11-23,284.89999,285.76999,274.12,275.72,290910
2020-11-20,281.92001,287.07001,281.44,284.73001,351300
2020-11-19,281.87,287.84,278.19,281.22,391400
2020-11-18,286.91,287.51001,281.04999,281.29001,261132
2020-11-17,290.79999,290.79999,286.19,286.79001,297700
2020-11-16,291.51999,293.48999,288.70999,292.01001,277023
2020-11-13,292.42001,294.39001,288.45499,290.97,176590
2020-11-12,287.44,292.76001,286.95999,289.59,306700
2020-11-11,282.57999,286.81,281.03,285.07001,437700
2020-11-10,286.14001,291.53,272.78,279.42001,416700
2020-11-09,303.0,305.0,286.54001,286.54001,505889
2020-11-06,295.87,299.32999,294.22,295.79999,251500
2020-11-05,294.51999,296.25,289.60001,295.01999,309000
2020-11-04,283.89999,294.13,283.14999,289.79001,447000
2020-11-03,273.0,279.23999,271.63,277.03,296500
2020-11-02,273.67001,276.70999,266.78,271.39999,405897
2020-10-30,275.0,276.29999,264.79001,272.07001,439100
2020-10-29,279.54999,280.28,273.5,275.23001,316900
2020-10-28,282.14001,284.26001,276.39999,280.23999,495600
2020-10-27,281.51001,286.54999,281.39001,286.06,327273
2020-10-26,278.97,282.715,278.57001,280.10999,383250
2020-10-23,280.09,282.625,277.29141,282.10001,285639
2020-10-22,285.04999,286.70999,278.19,279.41,539600
2020-10-21,287.20001,290.51001,280.06,284.42001,336000
2020-10-20,286.85001,291.79999,285.25,286.98001,337400
2020-10-19,293.0,295.57999,284.33499,286.06,317064
2020-10-16,293.56,295.64001,291.04001,292.06,298600
2020-10-15,286.04001,291.89001,282.51001,291.37,341400
2020-10-14,298.215,298.87,287.26251,288.07001,471414
2020-10-13,299.67999,303.14001,299.04001,299.54999,241305
2020-10-12,300.0,302.04001,298.0,301.66,320375
2020-10-09,292.84,298.64001,292.70001,298.12,254316
2020-10-08,294.215,294.215,289.57001,291.25,315944
2020-10-07,291.95001,295.10001,291.63,292.70999,439100
2020-10-06,287.35001,295.39001,286.67999,290.32999,722600
2020-10-05,275.79999,288.07999,275.25,287.64001,873560
2020-10-02,275.10999,276.42999,270.51999,273.85001,221931
2020-10-01,278.29001,280.5,274.54999,275.78,282928
2020-09-30,273.78,277.79999,272.57001,274.89999,476500
2020-09-29,274.92999,277.14001,273.48999,273.64001,193070
2020-09-28,271.97,276.29999,270.0,272.39001,323244
2020-09-25,261.04999,270.07999,261.04999,269.82999,338999
2020-09-24,266.97,269.07999,261.92999,263.64999,424692
2020-09-23,276.37,276.37,267.13,268.25,351318
2020-09-22,276.01001,277.92999,270.64999,277.10001,229955
2020-09-21,275.00101,277.42001,269.67999,277.17001,322314
2020-09-18,274.98001,282.69,274.98001,277.67999,370123
2020-09-17,276.60999,279.09,271.29001,274.95999,417019
2020-09-16,285.45001,287.60999,280.41,281.23001,309186
2020-09-15,279.69,285.25,279.005,284.29999,299142
2020-09-14,274.60501,278.57001,274.17999,277.87,299695
