datetime,open,high,low,close,volume
2021-01-29,22.78,23.14,22.24,22.27,5316359
2021-01-28,23.43,23.83,22.92,22.93,7673200
2021-01-27,22.74,23.83,22.74,23.15,14704300
2021-01-26,22.83,23.03,22.27,22.83,5921000
2021-01-25,22.04,22.75,21.735,22.71,6154753
2021-01-22,21.92,22.18,21.72,22.06,2620000
2021-01-21,21.93,22.19,21.83,22.03,3799300
2021-01-20,22.41,22.46,21.77,21.96,4509000
2021-01-19,22.28,22.835,22.08,22.37,6056942
2021-01-15,21.62,21.93,21.57,21.93,4124300
2021-01-14,22.54,22.6,21.62,21.66,5800100
2021-01-13,22.49,22.64,22.27,22.39,3295400
2021-01-12,22.61,22.84,22.31,22.41,2992000
2021-01-11,23.0,23.22,22.54,22.58,3576298
2021-01-08,23.55,23.7,23.04,23.27,4359200
2021-01-07,23.18,23.31,22.77,22.86,4131700
2021-01-06,22.22,23.19,22.06,23.12,4707000
2021-01-05,21.75,22.22,21.75,22.1,4131400
2021-01-04,22.0,22.24,21.635,21.77,4013752
2020-12-31,21.87,21.95,21.64,21.94,1874100
2020-12-30,21.6,21.9,21.55,21.78,1555700
2020-12-29,21.78,21.91,21.49,21.58,2400900
2020-12-28,22.0,22.145,21.7,21.71,2330612
2020-12-24,21.78,21.87,21.66,21.86,814300
2020-12-23,21.86,21.93,21.69,21.73,2486900
2020-12-22,22.1,22.1,21.71,21.8,3574100
2020-12-21,22.51,22.6,21.7,22.05,4515705
2020-12-18,22.965,23.165,22.76,22.77,5445683
2020-12-17,22.89,23.36,22.75,23.08,4336940
2020-12-16,22.67,22.82,22.59,22.67,4249600
2020-12-15,22.145,22.57,22.12,22.49,2910845
2020-12-14,22.38,22.69,22.06,22.07,4532667
2020-12-11,21.79,22.27,21.74,22.13,3090823
2020-12-10,22.07,22.16,21.63,21.89,3669600
2020-12-09,21.94,22.32,21.75,22.28,5990200
2020-12-08,21.6,21.83,21.52,21.79,3201427
2020-12-07,21.66,22.1,21.6,21.73,4588053
2020-12-04,21.905,22.05,21.66,21.69,6155703
2020-12-03,22.34,22.43,21.89,21.93,3884600
2020-12-02,22.5,22.69,22.29,22.32,4489500
2020-12-01,22.72,23.07,22.58,22.6,4051800
2020-11-30,22.44,22.62,22.225,22.56,7629771
2020-11-27,22.57,22.61,22.43,22.52,1865600
2020-11-25,22.46,22.84,22.21,22.58,4811300
2020-11-24,21.55,22.51,21.44,22.43,5405200
2020-11-23,21.04,21.5281,20.93,21.34,2811517
2020-11-20,21.44,21.46,20.79,20.9,3628000
2020-11-19,21.58,21.75,21.41,21.53,3872400
2020-11-18,21.81,21.895,21.6,21.61,2970442
2020-11-17,21.67,21.87,21.5,21.83,2633800
2020-11-16,21.35,21.875,21.185,21.79,4383162
2020-11-13,21.045,21.34,20.915,21.24,2679584
2020-11-12,20.94,21.11,20.64,20.86,3750900
2020-11-11,21.77,21.89,20.77,21.03,6177400
2020-11-10,21.63,21.7,21.43,21.66,4942200
2020-11-09,21.41,22.25,21.41,21.44,5012357
2020-11-06,20.92,20.92,20.43,20.59,4204400
2020-11-05,20.48,21.16,20.48,20.88,4435500
2020-11-04,20.52,20.6,20.13,20.22,5685900
2020-11-03,20.53,20.74,20.46,20.6,4037100
2020-11-02,19.73,20.51,19.63,20.33,5798343
2020-10-30,20.63,20.68,19.07,19.44,8116200
2020-10-29,20.33,21.03,20.25,20.9,10229800
2020-10-28,20.5,20.79,20.16,20.26,5682400
2020-10-27,21.39,21.39,20.85,20.85,3597185
2020-10-26,21.73,21.755,21.04,21.39,4043467
2020-10-23,22.26,22.505,21.95,21.97,2566287
2020-10-22,21.74,22.31,21.55,22.23,2848100
2020-10-21,21.68,21.99,21.51,21.71,2995400
2020-10-20,21.84,22.07,21.64,21.66,2639100
2020-10-19,22.1,22.135,21.685,21.7,2394118
2020-10-16,22.19,22.33,21.98,22.07,2696100
2020-10-15,21.53,22.17,21.51,22.16,2897000
2020-10-14,21.73,22.075,21.73,21.86,3229517
2020-10-13,22.22,22.25,21.6,21.64,2538866
2020-10-12,22.29,22.38,21.99,22.27,2080065
2020-10-09,22.43,22.645,22.18,22.23,2272032
2020-10-08,22.115,22.5,22.115,22.33,1906053
2020-10-07,21.89,22.24,21.77,22.02,3457400
2020-10-06,21.59,22.13,21.48,21.73,4869500
2020-10-05,21.28,21.69,21.22,21.48,3214057
2020-10-02,21.13,21.64,21.05,21.4,2319329
2020-10-01,21.555,21.75,21.1218,21.49,3375390
2020-09-30,21.8,22.02,21.29,21.43,4639400
2020-09-29,22.02,22.16,21.73,21.78,1181327
2020-09-28,21.84,22.08,21.7,21.99,2877677
2020-09-25,21.37,21.7,21.27,21.57,0
2020-09-24,21.25,21.99,21.07,21.53,0
2020-09-23,21.92,22.06,21.15,21.39,0
2020-09-22,22.04,22.12,21.76,22.04,0
2020-09-21,22.46,22.48,21.71,21.93,1717817
2020-09-18,22.69,22.98,22.59,22.66,1749028
2020-09-17,22.04,22.61,21.91,22.61,1577351
2020-09-16,22.46,22.78,22.37,22.39,1218270
2020-09-15,22.66,22.89,22.41,22.43,1707501
2020-09-14,22.36,22.72,22.325,22.57,1724618
2020-09-11,22.21,22.23,21.84,22.12,1140564
2020-09-10,22.83,22.83,22.15,22.19,1766564
2020-09-09,22.93,22.93,22.68,22.69,1429160
2020-09-08,22.83,22.95,22.45,22.61,1928717
2020-09-04,23.35,23.5,22.78,23.03,1297593
2020-09-03,23.93,23.96,23.045,23.23,1570434
2020-09-02,23.65,24.08,23.33,23.97,3466900
2020-09-01,23.52,23.7,23.37,23.6,1208957
2020-08-31,24.01,24.01,23.58,23.59,3789669
2020-08-28,23.94,24.05,23.785,23.96,1579756
2020-08-27,24.04,24.11,23.59,23.85,1197571
2020-08-26,23.89,24.065,23.71,23.9,728899
2020-08-25,24.0,24.16,23.8,23.9,828954
2020-08-24,23.68,23.94,23.68,23.92,1009798
2020-08-21,23.45,23.56,23.3,23.49,2258800
2020-08-20,23.54,23.72,23.35,23.37,1313884
2020-08-19,23.77,23.955,23.57,23.7,1114153
2020-08-18,23.97,23.97,23.63,23.78,1889398
2020-08-17,23.74,24.14,23.57,23.97,3433254
2020-08-14,23.365,23.78,23.34,23.64,1883476
2020-08-13,23.32,23.45,23.21,23.44,1068760
2020-08-12,23.36,23.53,23.18,23.38,1774623
2020-08-11,23.64,23.75,23.16,23.23,1503636
2020-08-10,23.42,23.7,23.27,23.38,2092352
2020-08-07,22.69,23.32,22.43,23.27,2148109
2020-08-06,22.81,23.29,22.69,22.76,2368816
2020-08-05,24.36,25.13,22.48,22.88,5969502
2020-08-04,24.15,24.36,23.88,24.2,4281890
2020-08-03,24.23,24.45,23.47,24.21,4464311
2020-07-31,24.19,24.43,24.0,24.28,3135973
2020-07-30,23.9,24.395,23.79,24.23,4696917
2020-07-29,22.65,24.15,22.64,24.15,3881493
2020-07-28,22.75,22.78,22.42,22.46,1890335
2020-07-27,22.4,22.85,22.33,22.75,1861044
2020-07-24,22.74,22.91,22.34,22.47,2547192
2020-07-23,22.72,23.13,22.67,22.72,3072500
2020-07-22,21.93,23.06,21.93,22.67,4057725
2020-07-21,22.05,22.22,21.73,21.84,599287
2020-07-20,21.9,21.98,21.65,21.9,3221201
2020-07-17,21.98,22.09,21.75,21.99,333263
2020-07-16,21.96,22.2,21.89,21.95,0
2020-07-15,21.71,22.25,21.71,22.13,0
2020-07-14,21.23,21.575,21.12,21.56,4801103
2020-07-13,21.44,21.99,21.23,21.47,0
2020-07-10,20.64,21.4,20.62,21.33,0
2020-07-09,21.08,21.08,20.32,20.73,0
2020-07-08,20.9,21.14,20.86,21.06,3315
2020-07-07,21.56,21.6,20.96,20.99,2455
2020-07-06,21.9,21.97,21.565,21.62,1623504
2020-07-02,21.97,22.0,21.49,21.55,0
2020-07-01,21.84,22.26,21.69,21.69,4551272
2020-06-30,21.26,21.72,21.16,21.62,4030868
2020-06-29,21.28,21.46,21.175,21.3,4673053
2020-06-26,21.08,21.225,20.79,21.11,3987639
2020-06-25,20.87,21.18,20.75,21.17,4378350
2020-06-24,21.51,21.6,20.87,20.96,1551462
2020-06-23,22.06,22.07,21.625,21.65,1038592
2020-06-22,21.665,21.965,21.39,21.75,825397
2020-06-19,21.97,22.15,21.395,21.6,2207561
2020-06-18,21.83,21.895,21.5,21.68,1765698
2020-06-17,21.91,22.04,21.72,21.87,1320310
2020-06-16,22.65,22.665,21.88,22.0,1738459
2020-06-15,21.52,22.31,21.33,22.11,1436613
2020-06-12,23.07,23.09,22.08,22.52,1523628
2020-06-11,23.0,23.125,22.44,22.5,1953730
2020-06-10,24.41,24.41,23.44,23.72,1984834
2020-06-09,24.3201,24.505,23.95,24.39,1340103
2020-06-08,24.78,24.91,24.375,24.82,2288092
2020-06-05,24.13,24.82,24.02,24.55,7807100
2020-06-04,22.83,23.61,22.73,23.5,8079000
2020-06-03,23.2,23.36,22.69,22.9,7185700
2020-06-02,23.25,23.63,22.83,23.05,24359200
2020-06-01,20.03,20.88,19.9,20.71,9056300
2020-05-29,20.24,20.37,19.88,20.02,14433100
2020-05-28,20.47,20.7,20.02,20.38,8853600
2020-05-27,20.12,20.46,20.03,20.29,8231800
2020-05-26,19.51,20.01,19.3,19.82,6240300
2020-05-22,18.97,19.16,18.79,19.01,3720000
2020-05-21,19.13,19.23,18.84,18.89,4150100
2020-05-20,18.99,19.25,18.83,19.13,3525400
2020-05-19,19.3,19.3,18.7,18.76,4570800
2020-05-18,18.97,19.52,18.89,19.4,5961700
2020-05-15,18.23,19.1,18.05,18.57,14597800
2020-05-14,18.11,18.39,17.56,18.38,5974800
2020-05-13,18.83,18.94,18.16,18.32,4550400
2020-05-12,19.36,19.43,18.86,18.87,4849000
2020-05-11,19.84,19.95,19.24,19.31,5741700
2020-05-08,19.67,20.11,19.58,19.93,6852600
2020-05-07,19.72,20.05,19.29,19.45,6904800
2020-05-06,19.32,19.77,18.77,19.47,9472600
2020-05-05,18.99,19.64,18.98,19.36,8141700
2020-05-04,18.36,18.91,18.04,18.85,9101300
