datetime,open,high,low,close,volume
2021-01-29,102.0,102.77,99.36,99.53,2251894
2021-01-28,102.1,104.8,99.0,102.05,2976000
2021-01-27,104.0,105.77,100.19,100.8,3431100
2021-01-26,109.25,109.95,105.58,105.91,2055900
2021-01-25,106.59,109.5,104.655,108.06,3289426
2021-01-22,106.73,108.08,104.5,107.45,5035900
2021-01-21,110.34,111.95,108.7,109.16,2101900
2021-01-20,108.27,112.86,107.27,110.07,4019500
2021-01-19,107.54,108.28,105.75,107.17,3576902
2021-01-15,108.43,108.43,105.77,106.23,2834700
2021-01-14,108.6,111.35,108.2,109.0,2641800
2021-01-13,109.55,109.68,106.8,107.9,2773600
2021-01-12,108.49,110.87,106.8,110.0,2104100
2021-01-11,106.62,108.415,104.0653,108.03,2383198
2021-01-08,109.9,110.7,108.08,109.03,2809500
2021-01-07,112.42,112.71,108.51,109.75,3844500
2021-01-06,110.65,113.38,109.05,110.85,2431500
2021-01-05,106.28,111.52,106.01,110.19,1813800
2021-01-04,113.15,113.5,106.26,106.9,3596768
2020-12-31,112.77,113.92,110.06,112.83,2103400
2020-12-30,114.18,115.95,112.54,113.4,2087100
2020-12-29,116.28,116.59,113.84,114.31,1261900
2020-12-28,114.96,117.4,114.12,115.47,1911992
2020-12-24,114.41,115.45,113.61,114.39,850145
2020-12-23,113.93,116.93,113.62,115.3,1997000
2020-12-22,112.27,113.28,110.71,112.61,1637000
2020-12-21,110.71,113.75,108.73,112.54,3809701
2020-12-18,114.55,116.53,113.01,115.93,1679671
2020-12-17,116.87,117.16,114.14,114.81,1904616
2020-12-16,113.5,116.29,112.55,115.23,2316800
2020-12-15,109.6107,114.7,108.55,114.03,3034164
2020-12-14,112.41,112.74,107.2,107.54,2856065
2020-12-11,112.67,113.38,109.6,111.0,1944561
2020-12-10,109.09,113.09,109.09,112.88,1830900
2020-12-09,112.88,113.54,109.34,111.16,2158400
2020-12-08,110.53,113.1672,110.33,111.29,2682124
2020-12-07,112.76,112.92,109.52,111.32,3736476
2020-12-04,109.5,113.52,108.23,113.51,2864817
2020-12-03,107.11,110.39,105.9,108.49,3162700
2020-12-02,101.75,106.46,100.74,105.13,2950000
2020-12-01,102.02,104.69,100.89,102.36,2816000
2020-11-30,100.99,101.66,97.29,100.5,2987444
2020-11-27,101.33,103.39,100.67,101.22,1419600
2020-11-25,101.65,101.72,99.06,100.4,2221300
2020-11-24,97.59,102.91,97.41,102.76,4218400
2020-11-23,95.5,96.79,94.17,95.48,3340421
2020-11-20,97.82,98.8,95.29,95.29,3589000
2020-11-19,96.93,99.47,96.27,98.75,2753200
2020-11-18,94.34,98.86,93.71,95.66,3113932
2020-11-17,93.31,96.32,91.4,94.23,2498800
2020-11-16,97.67,98.25,93.46,94.74,4496046
2020-11-13,87.7,92.66,86.46,92.2,3851992
2020-11-12,89.69,89.89,85.96,86.67,7160600
2020-11-11,97.2,97.2,91.0,91.71,5041800
2020-11-10,100.0,102.19,95.4,96.66,5301500
2020-11-09,95.17,105.93,95.0,102.24,18916837
2020-11-06,77.89,80.9,77.51,80.07,3460800
2020-11-05,77.38,80.49,76.85,80.13,5284200
2020-11-04,75.08,77.78,73.7,76.12,4408400
2020-11-03,76.63,77.16,74.11,74.57,3076900
2020-11-02,74.42,76.07,73.42,75.85,3893583
2020-10-30,71.35,73.31,70.25,72.43,3303900
2020-10-29,69.28,73.12,69.05,72.19,3932800
2020-10-28,70.71,70.84,67.7,69.01,4378200
2020-10-27,73.61,73.84,71.17,71.83,2259693
2020-10-26,74.59,74.6,71.77,73.52,2959416
2020-10-23,76.65,76.84,74.79,76.56,1927123
2020-10-22,75.23,76.65,74.15,76.43,4012000
2020-10-21,72.01,73.4,71.32,72.85,2513600
2020-10-20,70.16,73.08,70.01,72.44,3506700
2020-10-19,71.395,72.215,69.5,69.67,3715272
2020-10-16,72.53,73.37,70.92,71.12,3007600
2020-10-15,71.45,72.75,70.66,72.7,2571600
2020-10-14,71.4,72.52,70.76,71.72,3035044
2020-10-13,73.1609,73.17,69.49,71.74,5024695
2020-10-12,72.85,74.2,72.35,74.11,2032971
2020-10-09,74.63,75.53,72.45,72.67,2873683
2020-10-08,75.27,76.0898,73.94,74.31,2457677
2020-10-07,75.92,75.95,74.23,75.06,2841600
2020-10-06,74.57,77.74,74.02,74.32,5077000
2020-10-05,73.06,74.06,72.03,73.85,3414421
2020-10-02,70.0,73.44,69.6,73.21,2849075
2020-10-01,72.15,72.715,71.13,72.07,3824563
2020-09-30,71.94,73.94,71.18,71.81,4446800
2020-09-29,72.98,73.09,70.571,70.98,2747525
2020-09-28,73.11,74.5599,72.43,73.62,3203504
2020-09-25,71.17,72.56,70.65,72.36,0
2020-09-24,70.23,72.34,68.84,71.07,0
2020-09-23,74.09,75.71,70.51,70.69,0
2020-09-22,72.66,75.0,72.01,73.42,0
2020-09-21,73.53,74.49,70.84,72.3,4692736
2020-09-18,78.79,79.66,76.27,77.7,1459487
2020-09-17,78.0,80.57,78.0,79.3,1393797
2020-09-16,81.17,81.19,77.33,79.68,3756133
2020-09-15,83.32,83.7,80.8,82.28,1693197
2020-09-14,82.86,83.84,81.9,83.8,958436
2020-09-11,84.44,84.61,80.94,82.12,926885
2020-09-10,84.25,86.4,83.12,83.33,1326929
2020-09-09,83.1438,83.6595,80.62,82.95,1333922
2020-09-08,85.05,85.4083,82.49,82.68,1916847
2020-09-04,88.34,89.95,84.68,87.72,1373817
2020-09-03,90.1387,91.83,85.9,87.36,2046491
2020-09-02,86.94,89.68,86.15,89.33,1610631
2020-09-01,87.28,88.61,85.43,86.28,1238729
2020-08-31,90.75,90.75,87.45,87.45,1601922
2020-08-28,87.39,93.19,86.83,91.55,3038937
2020-08-27,85.44,88.35,84.75,86.51,2082629
2020-08-26,85.94,86.0,84.32,84.8,1183457
2020-08-25,87.5,88.15,84.72,86.21,1446551
2020-08-24,83.66,86.83,81.35,86.79,2131338
2020-08-21,81.69,85.57,81.57,82.79,1906666
2020-08-20,79.56,81.07,79.02,80.28,1251100
2020-08-19,82.42,83.74,80.96,81.26,1496617
2020-08-18,83.9,83.9,81.52,81.63,1611930
2020-08-17,85.27,85.65,83.23,83.5,1087202
2020-08-14,85.2,86.06,84.24,84.98,1573699
2020-08-13,84.77,86.68,84.37,86.67,1098803
2020-08-12,89.19,89.19,83.38,85.92,3228188
2020-08-11,86.03,89.42,84.85,88.29,7622575
2020-08-10,78.0,81.75,77.36,81.48,5213670
2020-08-07,74.8,75.83,73.11,74.1,2281673
2020-08-06,70.91,77.08,70.77,76.57,4536112
2020-08-05,73.68,75.22,70.51,71.28,3510755
2020-08-04,72.73,74.35,71.85,72.75,1314778
2020-08-03,71.66,73.67,70.39,73.05,2752630
2020-07-31,75.86,75.97,71.5,72.43,2506888
