datetime,open,high,low,close,volume
2021-01-29,63.18,64.6,62.93,63.99,2540543
2021-01-28,63.18,65.44,61.99,63.64,2993700
2021-01-27,65.37,66.18,63.75,63.82,3343300
2021-01-26,66.2,66.26,65.01,65.81,2263200
2021-01-25,64.6,66.54,64.25,66.5,2481644
2021-01-22,65.02,65.18,64.41,64.76,1710100
2021-01-21,64.97,65.48,64.68,65.11,1805500
2021-01-20,64.5,65.64,64.31,65.43,2668200
2021-01-19,65.24,65.33,64.27,64.71,2518568
2021-01-15,63.41,65.05,63.04,64.96,3811600
2021-01-14,64.83,64.96,63.41,63.56,1750100
2021-01-13,63.55,65.11,63.19,65.01,2656300
2021-01-12,64.39,64.46,63.18,63.4,2765100
2021-01-11,65.68,65.8633,63.92,64.4,2009993
2021-01-08,65.06,65.93,64.89,65.76,2221500
2021-01-07,66.8,66.81,64.93,65.16,2629100
2021-01-06,64.58,67.01,64.58,66.46,2667000
2021-01-05,65.6,65.93,64.5,65.02,1976800
2021-01-04,66.54,66.88,65.12,65.655,3197205
2020-12-31,65.75,66.82,65.39,66.67,1743300
2020-12-30,65.52,65.85,65.39,65.65,1296400
2020-12-29,65.5,65.77,65.03,65.42,1761400
2020-12-28,64.88,65.43,64.76,65.32,1635528
2020-12-24,64.38,64.75,64.04,64.63,580614
2020-12-23,65.16,65.57,64.27,64.31,1153200
2020-12-22,64.87,65.11,64.45,64.83,1799600
2020-12-21,65.23,65.57,64.33,65.39,2901236
2020-12-18,67.31,67.51,65.89,66.1,2522130
2020-12-17,66.0,67.45,65.83,67.01,2017373
2020-12-16,66.17,66.9,65.48,65.59,1991600
2020-12-15,65.47,66.35,64.79,66.0,1561062
2020-12-14,65.25,66.45,65.015,65.04,2355619
2020-12-11,64.83,65.23,64.44,65.0,1786924
2020-12-10,65.71,65.89,64.85,65.18,2037700
2020-12-09,66.01,66.26,65.09,65.56,2075300
2020-12-08,66.26,66.695,65.79,66.04,1504844
2020-12-07,65.78,66.86,65.61,66.61,2074575
2020-12-04,67.3,67.54,65.41,65.74,1928786
2020-12-03,68.31,68.58,67.02,67.31,2216500
2020-12-02,68.18,68.86,67.33,68.68,3627000
2020-12-01,67.62,69.18,67.6,68.41,3937000
2020-11-30,67.61,67.97,67.005,67.36,5838162
2020-11-27,68.32,68.33,67.18,67.62,1949900
2020-11-25,68.18,68.7,67.39,68.11,4446500
2020-11-24,68.61,68.95,67.39,68.14,4927500
2020-11-23,69.68,69.68,67.82,68.36,4370177
2020-11-20,69.3,70.01,69.01,69.31,2362900
2020-11-19,70.48,70.59,68.5,69.35,3894200
2020-11-18,73.14,73.17,70.46,70.5,1752240
2020-11-17,74.4,74.77,72.52,72.63,2317300
2020-11-16,74.3,74.795,73.54,74.71,1960204
2020-11-13,74.12,74.49,73.755,74.08,943164
2020-11-12,74.08,74.58,73.16,73.76,2104500
2020-11-11,74.35,75.64,73.58,74.69,2086000
2020-11-10,73.13,74.07,72.9,73.73,2364600
2020-11-09,75.38,76.44,73.32,73.43,2840420
2020-11-06,74.24,74.4,73.17,73.31,1454600
2020-11-05,73.76,74.87,73.27,73.73,2011700
2020-11-04,73.88,74.61,72.58,72.72,2283700
2020-11-03,72.21,74.05,72.21,72.98,2471600
2020-11-02,71.05,72.5,70.25,71.78,2421313
2020-10-30,70.18,70.95,69.31,70.03,2393900
2020-10-29,69.97,71.52,68.9,70.74,3220900
2020-10-28,71.56,72.49,70.16,70.26,2679500
2020-10-27,71.97,73.12,71.46,72.32,2022346
2020-10-26,70.67,71.76,70.39,71.69,1661390
2020-10-23,71.92,71.94,71.135,71.47,1328549
2020-10-22,71.55,72.0,71.06,71.41,2035200
2020-10-21,71.53,72.08,71.1,71.53,1823300
2020-10-20,72.04,72.17,71.15,71.53,1857000
2020-10-19,72.89,73.34,71.465,71.69,4013327
2020-10-16,72.27,73.54,71.85,73.13,2701400
2020-10-15,71.84,72.92,71.75,72.2,2039700
2020-10-14,73.35,73.35,72.06,72.35,1380929
2020-10-13,73.39,73.45,72.5,72.99,1672447
2020-10-12,73.17,74.41,72.88,73.62,2274421
2020-10-09,72.99,73.08,72.2342,72.7,986794
2020-10-08,72.5,72.71,72.05,72.5,1574078
2020-10-07,72.61,72.81,71.27,72.09,1724500
2020-10-06,71.13,72.95,70.97,72.45,2525200
2020-10-05,70.44,71.55,69.6,71.47,1581856
2020-10-02,69.89,70.88,69.48,70.48,1873617
2020-10-01,69.41,70.41,69.31,70.38,1799264
2020-09-30,69.04,69.6,68.71,69.01,3189800
2020-09-29,69.12,69.52,68.4,68.65,1570743
2020-09-28,68.86,69.26,68.37,68.85,1847611
2020-09-25,66.63,68.6,66.51,68.5,1653606
2020-09-24,66.1,67.475,65.826,67.07,1583409
2020-09-23,66.96,67.14,66.08,66.19,1696735
