datetime,open,high,low,close,volume
2021-01-29,45.57,46.04,44.51,44.695,18313948
2021-01-28,45.94,46.59,45.69,46.06,24902300
2021-01-27,45.0,46.66,44.53,45.35,32393800
2021-01-26,47.26,47.86,45.85,45.87,23945800
2021-01-25,46.9,47.05,46.16,46.9,24889923
2021-01-22,47.01,47.64,46.64,47.43,23254900
2021-01-21,49.33,49.39,47.68,48.11,29044500
2021-01-20,49.11,49.74,48.99,49.53,22320200
2021-01-19,48.45,49.44,48.35,48.84,24932592
2021-01-15,48.91,49.08,47.29,47.89,42356000
2021-01-14,48.5,51.08,48.5,50.31,35429400
2021-01-13,48.53,48.71,47.69,48.42,28985900
2021-01-12,47.46,48.17,46.91,47.88,36897400
2021-01-11,45.04,47.135,44.75,46.84,35844799
2021-01-08,45.2,45.82,44.95,45.46,28614000
2021-01-07,45.0,45.57,44.53,44.96,29517300
2021-01-06,44.41,45.1,43.7,44.61,36467500
2021-01-05,41.84,44.8,41.83,43.5,43951900
2021-01-04,41.45,42.245,41.0,41.5,25556395
2020-12-31,41.47,41.68,40.97,41.22,22769300
2020-12-30,41.33,42.42,41.27,41.6,23786100
2020-12-29,42.04,42.12,41.2,41.27,20267800
2020-12-28,41.69,42.55,41.52,41.74,23606927
2020-12-24,41.65,41.85,41.38,41.6,8039000
2020-12-23,41.51,42.39,41.46,41.77,19075600
2020-12-22,41.58,41.9,41.23,41.24,21792900
2020-12-21,41.11,42.08,40.53,41.95,27355022
2020-12-18,43.27,43.7801,42.42,42.73,24639624
2020-12-17,43.95,44.04,43.4,43.48,17943678
2020-12-16,43.75,44.11,42.96,43.7,34254600
2020-12-15,42.37,43.22,42.06,43.04,22082184
2020-12-14,44.34,44.46,42.18,42.22,28472256
2020-12-11,43.7,43.925,43.21,43.8,20470641
2020-12-10,43.2,44.47,42.76,44.01,38036000
2020-12-09,42.71,43.73,42.38,42.8,37803600
2020-12-08,40.6,42.59,40.46,42.24,26065858
2020-12-07,41.42,41.54,40.67,40.9,23388552
2020-12-04,40.78,41.76,40.66,41.69,26203756
2020-12-03,40.07,40.64,39.73,40.21,27013800
2020-12-02,38.39,40.42,38.34,39.94,29312000
2020-12-01,38.96,39.65,38.47,38.5,32472900
2020-11-30,39.8,39.88,37.97,38.13,45419530
2020-11-27,40.7,40.94,39.87,40.19,14971900
2020-11-25,41.67,41.71,40.65,40.81,28148000
2020-11-24,40.51,42.08,40.22,41.98,46928900
2020-11-23,37.5,39.43,37.28,39.36,29316293
2020-11-20,37.35,37.41,36.78,36.94,18351000
2020-11-19,36.86,37.5,36.56,37.4,26910200
2020-11-18,39.02,39.13,37.2,37.21,31002400
2020-11-17,37.81,38.71,37.38,38.67,26502900
2020-11-16,37.59,38.17,37.1,38.16,38490420
2020-11-13,35.4,36.25,35.39,36.08,23067858
2020-11-12,35.86,36.29,34.87,35.23,30933700
2020-11-11,37.09,37.12,36.19,36.48,34105200
2020-11-10,37.05,37.43,35.98,36.86,49006600
2020-11-09,36.42,38.01,36.06,36.93,76858156
2020-11-06,33.1,33.66,32.62,32.78,33970100
2020-11-05,33.37,33.92,33.14,33.17,30774200
2020-11-04,33.27,34.14,32.53,33.23,35387400
