datetime,open,high,low,close,volume
2021-01-29,102.09,103.24,101.18,101.49,1824173
2021-01-28,102.25,104.2,102.08,102.53,1827300
2021-01-27,105.54,105.66,101.79,102.02,1914200
2021-01-26,105.65,107.23,103.93,106.34,1834400
2021-01-25,106.29,106.38,104.26,105.26,1404763
2021-01-22,107.36,107.61,106.07,107.09,951400
2021-01-21,109.5,109.5,107.87,107.88,1199400
2021-01-20,107.65,109.63,107.42,109.41,1543700
2021-01-19,106.96,108.0,106.75,107.39,1748438
2021-01-15,107.52,107.52,106.0,106.62,1077300
2021-01-14,107.78,109.66,107.31,107.78,1497600
2021-01-13,107.12,107.73,106.28,107.15,1538800
2021-01-12,107.49,108.45,106.48,107.67,1182600
2021-01-11,106.8,108.04,106.585,107.67,1214711
2021-01-08,105.81,107.45,105.62,107.15,1252200
2021-01-07,106.5,106.99,105.28,105.6,2222900
2021-01-06,105.63,106.7,105.39,106.41,1352700
2021-01-05,105.64,106.35,105.2,105.83,1475300
2021-01-04,109.02,109.02,104.86,105.82,1832823
2020-12-31,108.74,109.18,107.38,108.56,1651700
2020-12-30,109.35,110.66,109.33,109.51,1267900
2020-12-29,109.63,110.56,109.4,109.45,1818300
2020-12-28,108.49,109.85,107.38,109.78,1727114
2020-12-24,107.22,107.69,106.94,107.54,340400
2020-12-23,107.16,107.93,106.79,106.79,884700
2020-12-22,108.06,108.32,107.02,107.4,1199300
2020-12-21,108.12,109.45,106.67,108.63,1097669
2020-12-18,108.795,110.17,108.795,109.8,1868342
2020-12-17,108.49,108.85,107.85,108.78,1091620
2020-12-16,107.51,108.64,107.17,107.42,2412400
2020-12-15,106.1,107.65,105.965,107.35,1165833
2020-12-14,106.89,106.89,105.33,105.5,1525470
2020-12-11,105.985,106.5,105.35,105.99,1041714
2020-12-10,106.16,107.08,105.9,106.46,1343800
2020-12-09,105.6,106.91,105.1,106.57,1431700
2020-12-08,104.57,105.63,104.48,105.13,1080887
2020-12-07,105.53,105.69,104.67,105.24,1336267
2020-12-04,105.21,106.15,104.77,105.88,723086
2020-12-03,104.67,105.23,104.32,104.52,1329900
2020-12-02,105.87,105.97,104.8,104.98,1298100
2020-12-01,106.84,106.99,105.52,106.34,1726200
2020-11-30,106.2,106.49,105.01,105.8,2339113
2020-11-27,107.0,107.7,106.8,107.18,801200
2020-11-25,106.91,107.28,105.91,106.61,1376700
2020-11-24,105.68,107.31,105.25,107.19,1439900
2020-11-23,105.59,105.84,104.49,105.0,1270651
2020-11-20,105.16,105.46,104.68,104.99,1541200
2020-11-19,104.16,105.4,103.82,105.27,1081500
2020-11-18,104.42,105.02,103.77,104.17,1288000
2020-11-17,103.48,104.31,103.01,104.04,1000200
2020-11-16,103.71,105.89,103.48,104.76,1517404
2020-11-13,101.35,103.0,100.875,102.87,968300
2020-11-12,101.55,102.26,99.74,100.42,1326000
2020-11-11,103.21,103.53,101.56,101.82,1273200
2020-11-10,102.76,104.02,102.0,102.99,1545200
2020-11-09,103.99,106.33,101.9,101.98,2035702
2020-11-06,100.57,101.26,99.13,99.38,1745400
2020-11-05,99.42,101.23,98.97,100.7,2803100
2020-11-04,97.31,99.97,96.66,98.58,2024400
2020-11-03,96.42,97.7,95.79,96.77,1449700
2020-11-02,94.42,95.93,93.73,95.25,1878238
2020-10-30,94.36,95.21,92.35,93.33,2139000
2020-10-29,97.475,97.475,92.2201,94.94,1757012
2020-10-28,96.07,97.2,94.89,95.06,1549200
2020-10-27,98.82,99.17,97.82,97.99,849269
2020-10-26,100.54,100.54,97.52,99.2,1250779
2020-10-23,100.155,101.505,99.13,101.36,792757
2020-10-22,99.66,99.95,98.2,99.85,1336900
2020-10-21,97.29,99.38,97.14,99.07,1060600
2020-10-20,97.87,98.48,97.0,97.28,1112400
2020-10-19,98.39,99.79,97.03,97.25,1067185
2020-10-16,99.67,100.75,98.41,98.53,2282000
2020-10-15,95.93,99.75,95.62,99.49,2427900
2020-10-14,96.23,97.34,95.87,96.52,1103487
2020-10-13,95.48,96.37,95.39,95.97,642916
2020-10-12,95.51,96.23,94.85,95.98,956161
2020-10-09,95.75,96.03,94.83,95.5,1010513
2020-10-08,93.91,95.43,93.89,95.4,983409
2020-10-07,92.8,94.47,92.71,93.88,1523400
2020-10-06,94.56,94.83,91.83,91.92,1282300
2020-10-05,95.68,95.78,93.35,94.09,1261059
2020-10-02,90.33,95.31,90.33,95.17,1787123
2020-10-01,92.15,92.5,91.21,91.82,997293
2020-09-30,91.12,92.53,90.76,91.3,1735200
2020-09-29,91.8,91.88,90.24,90.71,1285462
2020-09-28,91.88,92.45,91.39,91.88,1623470
2020-09-25,91.12,91.74,89.79,91.42,890136
2020-09-24,89.71,91.48,89.14,91.39,1304707
2020-09-23,90.95,91.415,89.6,89.79,1514717
2020-09-22,89.41,90.82,88.87,90.62,968191
2020-09-21,90.301,91.1,88.08,89.38,1454730
2020-09-18,92.8203,94.38,92.07,92.11,1565886
2020-09-17,93.64,94.63,92.97,93.7,1253269
2020-09-16,93.92,95.45,93.6201,94.81,1326548
2020-09-15,92.9,94.32,92.9,93.52,1084325
2020-09-14,92.29,94.16,92.29,92.9,1004332
2020-09-11,92.3,93.43,91.53,92.28,1081733
2020-09-10,93.36,94.56,92.11,92.3,1478024
2020-09-09,94.29,94.835,93.305,93.36,822247
2020-09-08,95.22,96.13,93.47,93.67,1472806
2020-09-04,96.33,97.25,94.3,95.2154,1617184
2020-09-03,98.545,98.545,95.39,96.33,1224728
2020-09-02,96.16,98.64,95.915,97.89,1514294
2020-09-01,95.68,96.17,94.93,96.15,1363882
2020-08-31,97.315,97.315,95.72,95.85,1026076
2020-08-28,95.67,97.5859,95.57,97.46,1230172
2020-08-27,95.3,96.67,95.3,95.48,1391885
2020-08-26,96.0,96.0,94.81,95.3,1170626
2020-08-25,96.94,96.94,95.89,96.48,1170140
2020-08-24,96.4786,96.97,95.19,96.58,1217487
2020-08-21,95.36,96.325,95.32,96.095,1420763
2020-08-20,93.9,95.51,93.0069,95.36,1195600
2020-08-19,95.2893,95.44,93.53,93.9,1262132
2020-08-18,94.01,94.9,93.61,94.9,1216210
2020-08-17,92.67,94.1,92.55,93.6,786753
2020-08-14,92.02,93.15,92.02,92.67,784006
2020-08-13,93.13,93.715,92.6,92.79,906883
