datetime,open,high,low,close,volume
2021-01-29,45.29,45.54,43.64,44.14,1307617
2021-01-28,44.73,45.5,44.27,45.17,1608300
2021-01-27,44.67,45.1,43.72,43.81,2091800
2021-01-26,47.79,47.82,46.03,46.05,1413200
2021-01-25,47.47,47.79,46.25,47.21,1271326
2021-01-22,46.71,48.16,46.61,48.12,1514500
2021-01-21,48.6,49.0,47.3,47.39,1252800
2021-01-20,49.5,49.5,47.75,48.3,2056400
2021-01-19,49.21,49.52,48.6,49.33,1574827
2021-01-15,49.98,50.45,48.84,49.14,1450900
2021-01-14,50.51,51.22,50.09,50.92,1067600
2021-01-13,49.98,50.27,49.25,49.79,1011800
2021-01-12,50.0,51.16,49.0,50.36,1352100
2021-01-11,48.26,49.96,47.77,49.87,1059843
2021-01-08,49.92,49.92,47.64,48.72,2201000
2021-01-07,49.24,51.1,48.95,49.99,2333900
2021-01-06,45.81,49.04,45.34,48.51,3269500
2021-01-05,42.88,43.85,42.54,43.61,1349500
2021-01-04,43.08,43.61,42.12,42.93,1625537
2020-12-31,43.2,43.62,42.74,43.44,736300
2020-12-30,42.77,43.47,42.77,43.22,728400
2020-12-29,43.39,43.39,42.62,42.77,1084100
2020-12-28,43.66,44.14,43.26,43.36,813471
2020-12-24,43.62,43.62,42.66,43.34,321459
2020-12-23,42.29,43.7,42.29,43.51,706800
2020-12-22,42.51,42.86,42.03,42.04,1077800
2020-12-21,41.26,42.55,40.9,42.43,2183271
2020-12-18,41.55,41.845,40.76,41.08,962197
2020-12-17,41.92,42.22,41.11,41.88,1254032
2020-12-16,41.62,42.04,41.15,41.87,1681600
2020-12-15,41.24,41.62,40.54,41.61,1272128
2020-12-14,42.51,42.58,40.69,40.71,1482557
2020-12-11,41.91,42.11,41.28,41.675,1345446
2020-12-10,42.17,42.88,41.9,42.64,1051400
2020-12-09,43.44,43.85,42.63,42.72,1662200
2020-12-08,42.6,43.185,41.81,42.97,1301007
2020-12-07,43.94,43.94,42.83,42.91,1634119
2020-12-04,44.15,44.3,43.0,44.03,2519496
2020-12-03,41.77,42.75,41.51,42.42,2379800
2020-12-02,40.0,41.65,39.96,41.6,3058500
2020-12-01,39.53,40.16,39.04,40.07,2455800
2020-11-30,39.36,39.8,38.445,38.59,10242841
2020-11-27,40.44,41.02,39.3,39.46,2027900
2020-11-25,40.88,41.05,40.31,40.95,2633900
2020-11-24,40.44,42.24,40.06,41.86,2578600
2020-11-23,38.95,39.63,38.72,39.56,1872544
2020-11-20,38.01,38.54,37.67,38.28,2011400
2020-11-19,38.35,38.7,37.72,38.39,1993500
2020-11-18,39.96,40.13,38.93,38.94,1319965
2020-11-17,38.74,39.71,38.44,39.6,1812900
2020-11-16,40.335,40.335,38.93,39.75,2112354
2020-11-13,36.75,37.79,36.35,37.49,1277813
2020-11-12,36.24,36.94,35.74,36.33,1748400
2020-11-11,38.78,39.0,36.49,37.24,2713900
2020-11-10,39.63,39.88,38.46,38.98,2506200
