datetime,open,high,low,close,volume
2021-01-29,155.64999,156.57001,152.3,154.25,1862422
2021-01-28,154.3,160.64999,154.25011,156.53,1784639
2021-01-27,157.99001,158.28,152.55,153.14999,2235600
2021-01-26,161.35001,161.64,158.56,159.71001,1982000
2021-01-25,162.56,163.19,160.42999,161.34,1365146
2021-01-22,164.64999,165.2,162.64,163.33,1079100
2021-01-21,162.47,165.75,162.47,164.46001,2440200
2021-01-20,162.56,164.2,161.83,163.36,1618000
2021-01-19,162.37,163.95,161.25,162.57001,1464165
2021-01-15,161.42999,162.10001,159.62,161.56,2516500
2021-01-14,162.56,163.38,160.89999,160.96001,2213100
2021-01-13,165.10001,166.05,161.64,161.95,2593100
2021-01-12,169.02,169.75,164.25999,166.12,1304200
2021-01-11,167.89999,170.49001,167.58,169.39,1086939
2021-01-08,167.39999,169.88,166.69,168.11,1475900
2021-01-07,167.45,168.8,166.7,167.0,1710700
2021-01-06,162.92,167.91,162.67,167.14999,2139800
2021-01-05,163.14999,165.28999,162.5,164.73,1358600
2021-01-04,166.0,166.24001,160.72,163.59,1580077
2020-12-31,164.5,165.67999,163.23,165.5,1292600
2020-12-30,163.50999,164.8,163.16,164.27,1009000
2020-12-29,163.21001,165.10001,162.39999,163.12,1188400
2020-12-28,159.92,162.83,159.92,162.39,1400883
2020-12-24,159.92,161.87,159.85001,160.72,417400
2020-12-23,162.0,162.98,159.84,159.85001,1164600
2020-12-22,160.53,162.38,159.64,161.83,1209200
2020-12-21,160.74001,161.56,158.3,160.84,1290075
2020-12-18,162.64,164.53999,161.05,163.8,1147271
2020-12-17,161.545,163.97,161.535,162.7,1151502
2020-12-16,162.36,163.33,160.53999,160.62,1440900
2020-12-15,159.44,162.11,158.36,161.97,1293302
2020-12-14,160.10001,162.87,159.08501,159.5,1403955
2020-12-11,158.16,159.62,157.19,159.52,849284
2020-12-10,159.45,160.47,157.89,158.12,1847000
2020-12-09,159.69,160.17,157.66,158.7,1509600
2020-12-08,157.41499,159.48,156.58,158.99001,1304590
2020-12-07,157.56,159.2,157.56,158.45,1335392
2020-12-04,157.06,158.22,156.66,157.95,1249866
2020-12-03,158.58,159.09,156.44,157.07001,2308200
2020-12-02,161.0,161.84,158.48,158.95,1529400
2020-12-01,161.64,162.48,159.99001,161.36,1964400
2020-11-30,162.48,162.48,159.64999,160.38,4533930
2020-11-27,161.62,162.19,160.28999,161.47,853300
2020-11-25,161.99001,162.67999,159.25,160.19,1981800
